0821_ctrl_tracking_A.csv
t,set_x,set_y,set_z,set_ry,uav_x,uav_y,uav_z,uav_ry,e_x,e_y,e_z,e_ry,
664.831,1,1,1,-nan,-0.0268587,-0.0313405,-0.0723895,-0.0412535,1.02686,1.03134,1.07239,-nan,
664.84,1,1,1,-nan,-0.0268342,-0.0314429,-0.0717932,-0.0412026,1.02683,1.03144,1.07179,-nan,
664.86,1,1,1,-nan,-0.0268342,-0.0314429,-0.0717932,-0.0412026,1.02683,1.03144,1.07179,-nan,
664.881,1,1,1,-nan,-0.0271148,-0.0318535,-0.0708948,-0.0411649,1.02711,1.03185,1.07089,-nan,
664.901,1,1,1,-nan,-0.0271148,-0.0318535,-0.0708948,-0.0411649,1.02711,1.03185,1.07089,-nan,
664.92,1,1,1,-nan,-0.0275699,-0.0323927,-0.0703256,-0.0410963,1.02757,1.03239,1.07033,-nan,
664.94,1,1,1,-nan,-0.0279623,-0.0328662,-0.0698186,-0.0410484,1.02796,1.03287,1.06982,-nan,
664.96,1,1,1,-nan,-0.0279623,-0.0328662,-0.0698186,-0.0410484,1.02796,1.03287,1.06982,-nan,
664.98,1,1,1,-nan,-0.0287726,-0.033758,-0.0692245,-0.0410702,1.02877,1.03376,1.06922,-nan,
665.001,1,1,1,-nan,-0.0287726,-0.033758,-0.0692245,-0.0410702,1.02877,1.03376,1.06922,-nan,
665.02,1,1,1,-nan,-0.0295741,-0.0345948,-0.068726,-0.0411409,1.02957,1.03459,1.06873,-nan,
665.04,1,1,1,-nan,-0.0302957,-0.0353321,-0.0682524,-0.0411627,1.0303,1.03533,1.06825,-nan,
665.06,1,1,1,-nan,-0.0302957,-0.0353321,-0.0682524,-0.0411627,1.0303,1.03533,1.06825,-nan,
665.08,1,1,1,-nan,-0.0290261,-0.0343318,-0.0670751,-0.0412253,1.02903,1.03433,1.06708,-nan,
665.1,1,1,1,-nan,-0.0290261,-0.0343318,-0.0670751,-0.0412253,1.02903,1.03433,1.06708,-nan,
665.123,1,1,1,-nan,-0.0284514,-0.033916,-0.0662634,-0.041299,1.02845,1.03392,1.06626,-nan,
665.14,1,1,1,-nan,-0.0279017,-0.0334935,-0.0653618,-0.0413497,1.0279,1.03349,1.06536,-nan,
665.16,1,1,1,-nan,-0.0279017,-0.0334935,-0.0653618,-0.0413497,1.0279,1.03349,1.06536,-nan,
665.18,1,1,1,-nan,-0.0275515,-0.0333465,-0.0640996,-0.0413248,1.02755,1.03335,1.0641,-nan,
665.2,1,1,1,-nan,-0.0275515,-0.0333465,-0.0640996,-0.0413248,1.02755,1.03335,1.0641,-nan,
665.22,1,1,1,-nan,-0.0275627,-0.0335247,-0.0631221,-0.0414039,1.02756,1.03352,1.06312,-nan,
665.24,1,1,1,-nan,-0.0275143,-0.0336286,-0.0621032,-0.0414105,1.02751,1.03363,1.0621,-nan,
665.261,1,1,1,-nan,-0.0275143,-0.0336286,-0.0621032,-0.0414105,1.02751,1.03363,1.0621,-nan,
665.28,1,1,1,-nan,-0.0278057,-0.0340817,-0.0608812,-0.0413443,1.02781,1.03408,1.06088,-nan,
665.3,1,1,1,-nan,-0.0278057,-0.0340817,-0.0608812,-0.0413443,1.02781,1.03408,1.06088,-nan,
665.32,1,1,1,-nan,-0.0282724,-0.0346531,-0.0600159,-0.0413161,1.02827,1.03465,1.06002,-nan,
665.34,1,1,1,-nan,-0.0286723,-0.0351085,-0.0591715,-0.0412867,1.02867,1.03511,1.05917,-nan,
665.36,1,1,1,-nan,-0.0286723,-0.0351085,-0.0591715,-0.0412867,1.02867,1.03511,1.05917,-nan,
665.381,1,1,1,-nan,-0.0295176,-0.0359738,-0.0581943,-0.0412837,1.02952,1.03597,1.05819,-nan,
665.401,1,1,1,-nan,-0.0295176,-0.0359738,-0.0581943,-0.0412837,1.02952,1.03597,1.05819,-nan,
665.421,1,1,1,-nan,-0.0303772,-0.0368566,-0.0575843,-0.0413227,1.03038,1.03686,1.05758,-nan,
665.44,1,1,1,-nan,-0.0311574,-0.0376104,-0.0570797,-0.0413794,1.03116,1.03761,1.05708,-nan,
665.46,1,1,1,-nan,-0.0311574,-0.0376104,-0.0570797,-0.0413794,1.03116,1.03761,1.05708,-nan,
