0821_ctrl_tracking_B.csv
t,set_x,set_y,set_z,set_ry,uav_x,uav_y,uav_z,uav_ry,e_x,e_y,e_z,e_ry,
3489.72,1,1,1,-nan,0.983739,0.982431,0.981579,-0.000323482,0.0162607,0.0175691,0.0184207,-nan,
3489.74,1,1,1,-nan,0.983739,0.982431,0.981579,-0.000323482,0.0162607,0.0175691,0.0184207,-nan,
3489.76,1,1,1,-nan,0.983904,0.982652,0.98111,-0.000285495,0.0160956,0.0173476,0.0188901,-nan,
3489.78,1,1,1,-nan,0.98411,0.982905,0.98065,-0.000258817,0.0158898,0.0170952,0.0193495,-nan,
3489.8,1,1,1,-nan,0.98411,0.982905,0.98065,-0.000258817,0.0158898,0.0170952,0.0193495,-nan,
3489.82,1,1,1,-nan,0.984114,0.983005,0.980914,-0.000221667,0.0158857,0.0169953,0.0190862,-nan,
3489.84,1,1,1,-nan,0.984114,0.983005,0.980914,-0.000221667,0.0158857,0.0169953,0.0190862,-nan,
3489.86,1,1,1,-nan,0.983968,0.982893,0.981607,-0.00024184,0.0160319,0.0171068,0.0183926,-nan,
3489.88,1,1,1,-nan,0.983889,0.982814,0.982117,-0.00044042,0.0161107,0.0171865,0.0178826,-nan,
3489.9,1,1,1,-nan,0.983889,0.982814,0.982117,-0.00044042,0.0161107,0.0171865,0.0178826,-nan,
3489.92,1,1,1,-nan,0.983597,0.982436,0.98339,-0.000305478,0.0164026,0.0175638,0.0166097,-nan,
3489.94,1,1,1,-nan,0.983597,0.982436,0.98339,-0.000305478,0.0164026,0.0175638,0.0166097,-nan,
3489.96,1,1,1,-nan,0.983216,0.981955,0.984806,-0.000299563,0.0167838,0.0180447,0.0151937,-nan,
3489.98,1,1,1,-nan,0.982892,0.981547,0.985792,-0.000317572,0.0171084,0.0184533,0.0142078,-nan,
3490,1,1,1,-nan,0.982892,0.981547,0.985792,-0.000317572,0.0171084,0.0184533,0.0142078,-nan,
3490.02,1,1,1,-nan,0.982289,0.980757,0.987716,-0.000356053,0.0177109,0.0192433,0.0122838,-nan,
3490.04,1,1,1,-nan,0.982289,0.980757,0.987716,-0.000356053,0.0177109,0.0192433,0.0122838,-nan,
3490.06,1,1,1,-nan,0.982289,0.980482,0.988315,-0.000382105,0.0177108,0.0195175,0.0116854,-nan,
3490.08,1,1,1,-nan,0.98346,0.981181,0.987026,-0.000379136,0.0165395,0.018819,0.0129742,-nan,
3490.1,1,1,1,-nan,0.98346,0.981181,0.987026,-0.000379136,0.0165395,0.018819,0.0129742,-nan,
3490.12,1,1,1,-nan,0.98466,0.981768,0.98583,-0.000349239,0.0153396,0.0182319,0.0141702,-nan,
3490.14,1,1,1,-nan,0.98466,0.981768,0.98583,-0.000349239,0.0153396,0.0182319,0.0141702,-nan,
3490.16,1,1,1,-nan,0.985332,0.981945,0.985663,-0.000324437,0.0146676,0.0180547,0.0143374,-nan,
3490.18,1,1,1,-nan,0.985973,0.982148,0.985321,-0.000283152,0.0140267,0.0178518,0.0146789,-nan,
3490.2,1,1,1,-nan,0.985973,0.982148,0.985321,-0.000283152,0.0140267,0.0178518,0.0146789,-nan,
3490.22,1,1,1,-nan,0.986536,0.982153,0.985668,-0.000301347,0.0134639,0.0178468,0.0143318,-nan,
3490.24,1,1,1,-nan,0.986536,0.982153,0.985668,-0.000301347,0.0134639,0.0178468,0.0143318,-nan,
3490.26,1,1,1,-nan,0.986784,0.981952,0.98644,-0.000286353,0.0132164,0.0180482,0.0135598,-nan,
3490.28,1,1,1,-nan,0.987071,0.98179,0.987027,-0.000197358,0.0129294,0.0182096,0.0129733,-nan,
3490.3,1,1,1,-nan,0.987071,0.98179,0.987027,-0.000197358,0.0129294,0.0182096,0.0129733,-nan,
3490.32,1,1,1,-nan,0.987236,0.981303,0.988457,-0.000391357,0.0127639,0.0186972,0.011543,-nan,
3490.34,1,1,1,-nan,0.987236,0.981303,0.988457,-0.000391357,0.0127639,0.0186972,0.011543,-nan,
3490.36,1,1,1,-nan,0.987201,0.980754,0.989896,-0.000373948,0.0127991,0.0192464,0.0101041,-nan,
3490.38,1,1,1,-nan,0.987189,0.980298,0.991033,-0.000369876,0.0128113,0.0197017,0.00896698,-nan,
3490.4,1,1,1,-nan,0.987189,0.980298,0.991033,-0.000369876,0.0128113,0.0197017,0.00896698,-nan,
3490.42,1,1,1,-nan,0.986958,0.979446,0.992975,-0.000362303,0.0130422,0.0205536,0.00702542,-nan,
3490.44,1,1,1,-nan,0.986958,0.979446,0.992975,-0.000362303,0.0130422,0.0205536,0.00702542,-nan,
3490.46,1,1,1,-nan,0.987157,0.979228,0.993526,-0.000378277,0.0128432,0.0207715,0.0064739,-nan,
3490.48,1,1,1,-nan,0.988386,0.980225,0.991528,-0.000266037,0.0116139,0.0197746,0.00847179,-nan,
3490.5,1,1,1,-nan,0.988386,0.980225,0.991528,-0.000266037,0.0116139,0.0197746,0.00847179,-nan,
3490.52,1,1,1,-nan,0.989639,0.98116,0.989844,-0.000110069,0.0103612,0.0188402,0.0101557,-nan,
3490.54,1,1,1,-nan,0.990315,0.981601,0.98918,-8.94373e-05,0.00968486,0.0183992,0.0108196,-nan,
3490.56,1,1,1,-nan,0.990315,0.981601,0.98918,-8.94373e-05,0.00968486,0.0183992,0.0108196,-nan,
3490.58,1,1,1,-nan,0.990969,0.982062,0.988533,-0.000141724,0.00903064,0.0179378,0.0114665,-nan,
3490.6,1,1,1,-nan,0.990969,0.982062,0.988533,-0.000141724,0.00903064,0.0179378,0.0114665,-nan,
3490.62,1,1,1,-nan,0.99156,0.982319,0.988498,-8.73584e-05,0.00843996,0.0176808,0.0115018,-nan,
3490.64,1,1,1,-nan,0.99156,0.982319,0.988498,-8.73584e-05,0.00843996,0.0176808,0.0115018,-nan,
3490.66,1,1,1,-nan,0.991801,0.982275,0.989152,-7.95647e-05,0.00819886,0.0177251,0.010848,-nan,
3490.68,1,1,1,-nan,0.992062,0.982277,0.989594,-2.61468e-05,0.00793821,0.0177233,0.0104057,-nan,
3490.7,1,1,1,-nan,0.992062,0.982277,0.989594,-2.61468e-05,0.00793821,0.0177233,0.0104057,-nan,
3490.72,1,1,1,-nan,0.992138,0.981966,0.990862,-5.21178e-05,0.00786233,0.018034,0.00913846,-nan,
3490.74,1,1,1,-nan,0.992138,0.981966,0.990862,-5.21178e-05,0.00786233,0.018034,0.00913846,-nan,
3490.76,1,1,1,-nan,0.992021,0.981502,0.992128,-3.95347e-05,0.00797904,0.0184976,0.00787222,-nan,
3490.78,1,1,1,-nan,0.991936,0.981091,0.993117,-5.21954e-05,0.00806355,0.0189087,0.00688261,-nan,
3490.8,1,1,1,-nan,0.991936,0.981091,0.993117,-5.21954e-05,0.00806355,0.0189087,0.00688261,-nan,
3490.82,1,1,1,-nan,0.991604,0.980311,0.995007,-8.51413e-05,0.00839573,0.0196889,0.00499332,-nan,
3490.84,1,1,1,-nan,0.991604,0.980311,0.995007,-8.51413e-05,0.00839573,0.0196889,0.00499332,-nan,
3490.86,1,1,1,-nan,0.991638,0.980136,0.995611,-0.000145647,0.00836188,0.0198641,0.00438875,-nan,
3490.88,1,1,1,-nan,0.992521,0.981097,0.993509,-9.6702e-05,0.00747943,0.0189027,0.0064913,-nan,
3490.9,1,1,1,-nan,0.992521,0.981097,0.993509,-9.6702e-05,0.00747943,0.0189027,0.0064913,-nan,
3490.92,1,1,1,-nan,0.993369,0.981978,0.991731,2.7832e-06,0.0066306,0.0180224,0.00826889,-nan,
3490.94,1,1,1,-nan,0.993369,0.981978,0.991731,2.7832e-06,0.0066306,0.0180224,0.00826889,-nan,
3490.96,1,1,1,-nan,0.993787,0.982345,0.991199,1.52968e-05,0.00621331,0.0176551,0.00880104,-nan,
3490.98,1,1,1,-nan,0.994192,0.982694,0.990541,-8.5657e-05,0.00580817,0.0173061,0.00945854,-nan,
3491,1,1,1,-nan,0.994192,0.982694,0.990541,-8.5657e-05,0.00580817,0.0173061,0.00945854,-nan,
3491.02,1,1,1,-nan,0.994441,0.982811,0.990574,5.27398e-05,0.00555885,0.0171893,0.00942606,-nan,
3491.04,1,1,1,-nan,0.994441,0.982811,0.990574,5.27398e-05,0.00555885,0.0171893,0.00942606,-nan,
3491.06,1,1,1,-nan,0.994402,0.982653,0.991093,4.45974e-05,0.00559837,0.0173465,0.00890684,-nan,
3491.08,1,1,1,-nan,0.99441,0.982524,0.991346,5.58249e-05,0.0055899,0.0174759,0.00865394,-nan,
3491.1,1,1,1,-nan,0.99441,0.982524,0.991346,5.58249e-05,0.0055899,0.0174759,0.00865394,-nan,
3491.12,1,1,1,-nan,0.994203,0.982025,0.99233,-5.9632e-05,0.00579721,0.0179753,0.00766957,-nan,
3491.14,1,1,1,-nan,0.994203,0.982025,0.99233,-5.9632e-05,0.00579721,0.0179753,0.00766957,-nan,
3491.16,1,1,1,-nan,0.993871,0.981411,0.993654,-0.000123254,0.00612909,0.0185891,0.00634634,-nan,
3491.18,1,1,1,-nan,0.993585,0.980861,0.994337,-0.000164916,0.00641477,0.0191391,0.00566322,-nan,
3491.2,1,1,1,-nan,0.993585,0.980861,0.994337,-0.000164916,0.00641477,0.0191391,0.00566322,-nan,
3491.22,1,1,1,-nan,0.993024,0.979862,0.995828,-0.000172026,0.00697643,0.0201378,0.00417155,-nan,
3491.24,1,1,1,-nan,0.993024,0.979862,0.995828,-0.000172026,0.00697643,0.0201378,0.00417155,-nan,
3491.26,1,1,1,-nan,0.992938,0.979888,0.99588,-0.000269478,0.00706232,0.020112,0.00412029,-nan,
3491.28,1,1,1,-nan,0.993801,0.9818,0.993518,-0.00026859,0.00619853,0.0182003,0.00648201,-nan,
3491.3,1,1,1,-nan,0.993801,0.9818,0.993518,-0.00026859,0.00619853,0.0182003,0.00648201,-nan,
3491.32,1,1,1,-nan,0.994642,0.983784,0.990984,-0.000245139,0.0053575,0.016216,0.0090155,-nan,
3491.34,1,1,1,-nan,0.994642,0.983784,0.990984,-0.000245139,0.0053575,0.016216,0.0090155,-nan,
3491.36,1,1,1,-nan,0.995047,0.984898,0.990018,-0.000135301,0.00495273,0.0151016,0.00998175,-nan,
3491.38,1,1,1,-nan,0.995441,0.985992,0.989061,-0.00011602,0.00455868,0.0140083,0.010939,-nan,
3491.4,1,1,1,-nan,0.995441,0.985992,0.989061,-0.00011602,0.00455868,0.0140083,0.010939,-nan,
3491.42,1,1,1,-nan,0.995674,0.987001,0.988706,-8.64252e-05,0.0043264,0.0129985,0.0112945,-nan,
3491.44,1,1,1,-nan,0.995674,0.987001,0.988706,-8.64252e-05,0.0043264,0.0129985,0.0112945,-nan,
3491.46,1,1,1,-nan,0.995615,0.987456,0.989104,-0.000112672,0.00438523,0.0125437,0.0108957,-nan,
3491.48,1,1,1,-nan,0.995574,0.98788,0.989254,-1.99958e-05,0.00442564,0.0121199,0.0107464,-nan,
3491.5,1,1,1,-nan,0.995574,0.98788,0.989254,-1.99958e-05,0.00442564,0.0121199,0.0107464,-nan,
3491.52,1,1,1,-nan,0.995297,0.988026,0.990085,-7.84271e-05,0.00470257,0.0119735,0.00991493,-nan,
3491.54,1,1,1,-nan,0.995297,0.988026,0.990085,-7.84271e-05,0.00470257,0.0119735,0.00991493,-nan,
3491.56,1,1,1,-nan,0.994915,0.987817,0.991236,-0.000111267,0.00508481,0.0121826,0.00876367,-nan,
3491.58,1,1,1,-nan,0.99441,0.987437,0.992776,-0.000285962,0.00559026,0.0125631,0.00722414,-nan,
3491.6,1,1,1,-nan,0.99441,0.987437,0.992776,-0.000285962,0.00559026,0.0125631,0.00722414,-nan,
3491.62,1,1,1,-nan,0.994005,0.987106,0.993876,-0.000408841,0.00599492,0.0128936,0.00612444,-nan,
3491.64,1,1,1,-nan,0.994005,0.987106,0.993876,-0.000408841,0.00599492,0.0128936,0.00612444,-nan,
3491.66,1,1,1,-nan,0.993977,0.987176,0.994414,-0.000424724,0.00602251,0.0128244,0.00558645,-nan,
3491.68,1,1,1,-nan,0.995137,0.98866,0.991943,-0.000446557,0.00486284,0.0113397,0.008057,-nan,
3491.7,1,1,1,-nan,0.995137,0.98866,0.991943,-0.000446557,0.00486284,0.0113397,0.008057,-nan,
3491.72,1,1,1,-nan,0.996259,0.9901,0.989702,-0.0003516,0.00374079,0.00989991,0.0102975,-nan,
3491.74,1,1,1,-nan,0.996259,0.9901,0.989702,-0.0003516,0.00374079,0.00989991,0.0102975,-nan,
3491.76,1,1,1,-nan,0.996843,0.990796,0.988664,-0.000299315,0.00315696,0.00920421,0.0113363,-nan,
3491.78,1,1,1,-nan,0.997423,0.991473,0.987709,-0.000187867,0.00257665,0.0085265,0.0122907,-nan,
3491.8,1,1,1,-nan,0.997423,0.991473,0.987709,-0.000187867,0.00257665,0.0085265,0.0122907,-nan,
3491.82,1,1,1,-nan,0.997857,0.99192,0.987028,-0.000138652,0.00214291,0.00807953,0.012972,-nan,
3491.84,1,1,1,-nan,0.997857,0.99192,0.987028,-0.000138652,0.00214291,0.00807953,0.012972,-nan,
3491.86,1,1,1,-nan,0.997937,0.991907,0.987382,-0.000193949,0.00206304,0.00809312,0.012618,-nan,
3491.88,1,1,1,-nan,0.998027,0.991915,0.987188,-8.35309e-05,0.00197297,0.00808543,0.0128116,-nan,
3491.9,1,1,1,-nan,0.998027,0.991915,0.987188,-8.35309e-05,0.00197297,0.00808543,0.0128116,-nan,
3491.92,1,1,1,-nan,0.997858,0.991504,0.98782,-4.19803e-05,0.00214219,0.00849593,0.0121803,-nan,
3491.94,1,1,1,-nan,0.997858,0.991504,0.98782,-4.19803e-05,0.00214219,0.00849593,0.0121803,-nan,
3491.96,1,1,1,-nan,0.997533,0.990925,0.988747,-0.000151421,0.00246668,0.00907516,0.0112529,-nan,
3491.98,1,1,1,-nan,0.99725,0.990394,0.989368,-6.01155e-05,0.00274962,0.00960624,0.0106324,-nan,
3492,1,1,1,-nan,0.99725,0.990394,0.989368,-6.01155e-05,0.00274962,0.00960624,0.0106324,-nan,
3492.02,1,1,1,-nan,0.996649,0.989302,0.990711,-0.000158942,0.00335127,0.0106977,0.00928867,-nan,
3492.04,1,1,1,-nan,0.996649,0.989302,0.990711,-0.000158942,0.00335127,0.0106977,0.00928867,-nan,
3492.06,1,1,1,-nan,0.996534,0.988989,0.99085,-0.000148633,0.00346637,0.0110111,0.00914985,-nan,
3492.08,1,1,1,-nan,0.997426,0.990235,0.988389,-0.000177641,0.00257409,0.00976503,0.0116109,-nan,
3492.1,1,1,1,-nan,0.997426,0.990235,0.988389,-0.000177641,0.00257409,0.00976503,0.0116109,-nan,
3492.12,1,1,1,-nan,0.998219,0.991323,0.986172,-0.000192891,0.00178081,0.00867736,0.0138277,-nan,
3492.14,1,1,1,-nan,0.998219,0.991323,0.986172,-0.000192891,0.00178081,0.00867736,0.0138277,-nan,
3492.16,1,1,1,-nan,0.998564,0.991763,0.985346,-0.000267901,0.00143635,0.00823694,0.0146536,-nan,
3492.18,1,1,1,-nan,0.998897,0.992236,0.984338,-0.000329202,0.00110251,0.0077638,0.0156621,-nan,
3492.2,1,1,1,-nan,0.998897,0.992236,0.984338,-0.000329202,0.00110251,0.0077638,0.0156621,-nan,
3492.22,1,1,1,-nan,0.999005,0.992429,0.984064,-0.000290673,0.000995159,0.00757092,0.0159364,-nan,
3492.24,1,1,1,-nan,0.999005,0.992429,0.984064,-0.000290673,0.000995159,0.00757092,0.0159364,-nan,
3492.26,1,1,1,-nan,0.998863,0.99224,0.984514,-0.000172959,0.00113672,0.00775987,0.0154862,-nan,
3492.28,1,1,1,-nan,0.998763,0.992119,0.984861,5.23508e-06,0.00123698,0.00788063,0.0151385,-nan,
3492.3,1,1,1,-nan,0.998763,0.992119,0.984861,5.23508e-06,0.00123698,0.00788063,0.0151385,-nan,
3492.32,1,1,1,-nan,0.99835,0.991523,0.986029,-0.000151832,0.0016498,0.00847715,0.0139713,-nan,
3492.34,1,1,1,-nan,0.99835,0.991523,0.986029,-0.000151832,0.0016498,0.00847715,0.0139713,-nan,
3492.36,1,1,1,-nan,0.997832,0.990763,0.987573,-0.000159414,0.00216824,0.00923717,0.0124266,-nan,
3492.38,1,1,1,-nan,0.997382,0.990097,0.988547,-0.000223864,0.00261801,0.00990349,0.0114527,-nan,
3492.4,1,1,1,-nan,0.997382,0.990097,0.988547,-0.000223864,0.00261801,0.00990349,0.0114527,-nan,
3492.42,1,1,1,-nan,0.996551,0.988828,0.990637,-0.000303598,0.0034489,0.0111721,0.00936258,-nan,
3492.44,1,1,1,-nan,0.996551,0.988828,0.990637,-0.000303598,0.0034489,0.0111721,0.00936258,-nan,
3492.46,1,1,1,-nan,0.996178,0.988512,0.991348,-0.000372151,0.00382197,0.0114882,0.00865185,-nan,
3492.48,1,1,1,-nan,0.996687,0.990048,0.989402,-0.000297901,0.00331306,0.00995177,0.010598,-nan,
3492.5,1,1,1,-nan,0.996687,0.990048,0.989402,-0.000297901,0.00331306,0.00995177,0.010598,-nan,
3492.52,1,1,1,-nan,0.997046,0.991449,0.987831,-0.000271249,0.00295401,0.00855106,0.0121688,-nan,
3492.54,1,1,1,-nan,0.997046,0.991449,0.987831,-0.000271249,0.00295401,0.00855106,0.0121688,-nan,
3492.56,1,1,1,-nan,0.997091,0.992104,0.987413,-0.00029449,0.002909,0.00789607,0.0125871,-nan,
3492.58,1,1,1,-nan,0.997162,0.992783,0.986606,-0.000246138,0.00283766,0.00721705,0.0133939,-nan,
3492.6,1,1,1,-nan,0.997162,0.992783,0.986606,-0.000246138,0.00283766,0.00721705,0.0133939,-nan,
3492.62,1,1,1,-nan,0.99704,0.993199,0.986448,-0.000307465,0.00296003,0.00680143,0.0135516,-nan,
3492.64,1,1,1,-nan,0.99704,0.993199,0.986448,-0.000307465,0.00296003,0.00680143,0.0135516,-nan,
