0821_ctrl_tracking_C.csv
t,set_x,set_y,set_z,set_ry,uav_x,uav_y,uav_z,uav_ry,e_x,e_y,e_z,e_ry,
3368.93,1,1,1,-nan,0.993933,0.997743,0.995473,2.07068e-05,0.0060671,0.00225693,0.00452727,-nan,
3368.95,1,1,1,-nan,0.994389,0.99722,0.995709,8.69412e-05,0.0056113,0.00277996,0.0042913,-nan,
3368.97,1,1,1,-nan,0.994389,0.99722,0.995709,8.69412e-05,0.0056113,0.00277996,0.0042913,-nan,
3368.99,1,1,1,-nan,0.994819,0.99665,0.995917,0.000125332,0.00518113,0.00335014,0.00408304,-nan,
3369.01,1,1,1,-nan,0.994819,0.99665,0.995917,0.000125332,0.00518113,0.00335014,0.00408304,-nan,
3369.03,1,1,1,-nan,0.995373,0.996225,0.996035,0.000101377,0.00462663,0.00377518,0.00396472,-nan,
3369.05,1,1,1,-nan,0.995816,0.996132,0.996052,7.38859e-05,0.00418431,0.00386781,0.00394779,-nan,
3369.07,1,1,1,-nan,0.995816,0.996132,0.996052,7.38859e-05,0.00418431,0.00386781,0.00394779,-nan,
3369.09,1,1,1,-nan,0.996243,0.996033,0.996086,7.42338e-05,0.0037573,0.0039674,0.00391406,-nan,
3369.11,1,1,1,-nan,0.996243,0.996033,0.996086,7.42338e-05,0.0037573,0.0039674,0.00391406,-nan,
3369.13,1,1,1,-nan,0.996771,0.996134,0.996035,8.63193e-05,0.00322902,0.00386572,0.0039646,-nan,
3369.15,1,1,1,-nan,0.997173,0.996396,0.995723,5.00929e-05,0.00282675,0.00360364,0.00427681,-nan,
3369.17,1,1,1,-nan,0.997173,0.996396,0.995723,5.00929e-05,0.00282675,0.00360364,0.00427681,-nan,
3369.19,1,1,1,-nan,0.997536,0.996616,0.995424,1.58168e-05,0.002464,0.00338387,0.00457561,-nan,
3369.21,1,1,1,-nan,0.997536,0.996616,0.995424,1.58168e-05,0.002464,0.00338387,0.00457561,-nan,
3369.23,1,1,1,-nan,0.997972,0.997163,0.995001,5.36358e-06,0.00202787,0.00283664,0.00499934,-nan,
3369.25,1,1,1,-nan,0.998256,0.997217,0.994761,0.000119881,0.00174356,0.00278252,0.00523859,-nan,
3369.27,1,1,1,-nan,0.998256,0.997217,0.994761,0.000119881,0.00174356,0.00278252,0.00523859,-nan,
3369.29,1,1,1,-nan,0.998384,0.996195,0.994821,0.000119822,0.001616,0.00380486,0.00517911,-nan,
3369.31,1,1,1,-nan,0.998384,0.996195,0.994821,0.000119822,0.001616,0.00380486,0.00517911,-nan,
3369.33,1,1,1,-nan,0.998564,0.995238,0.994678,0.000137508,0.0014357,0.00476158,0.00532246,-nan,
3369.35,1,1,1,-nan,0.99874,0.994792,0.994301,0.000109639,0.00125998,0.00520772,0.00569946,-nan,
3369.37,1,1,1,-nan,0.99874,0.994792,0.994301,0.000109639,0.00125998,0.00520772,0.00569946,-nan,
3369.39,1,1,1,-nan,0.998868,0.994338,0.993935,0.000123383,0.00113195,0.00566232,0.00606459,-nan,
3369.41,1,1,1,-nan,0.998868,0.994338,0.993935,0.000123383,0.00113195,0.00566232,0.00606459,-nan,
3369.43,1,1,1,-nan,0.999072,0.994042,0.993245,7.1795e-05,0.000927508,0.00595838,0.0067547,-nan,
3369.45,1,1,1,-nan,0.99923,0.994066,0.99271,0.000167676,0.000770092,0.00593352,0.00729018,-nan,
3369.47,1,1,1,-nan,0.99923,0.994066,0.99271,0.000167676,0.000770092,0.00593352,0.00729018,-nan,
3369.49,1,1,1,-nan,0.999382,0.994055,0.992266,0.000149702,0.00061816,0.00594485,0.00773364,-nan,
3369.51,1,1,1,-nan,0.999382,0.994055,0.992266,0.000149702,0.00061816,0.00594485,0.00773364,-nan,
3369.53,1,1,1,-nan,0.999604,0.994301,0.991599,6.16174e-05,0.000395536,0.00569886,0.00840122,-nan,
3369.55,1,1,1,-nan,0.999724,0.994681,0.991021,2.53073e-05,0.000275791,0.00531906,0.00897908,-nan,
3369.57,1,1,1,-nan,0.999724,0.994681,0.991021,2.53073e-05,0.000275791,0.00531906,0.00897908,-nan,
3369.59,1,1,1,-nan,0.999841,0.995278,0.990312,-1.12426e-05,0.000159264,0.00472194,0.00968808,-nan,
3369.61,1,1,1,-nan,0.999841,0.995278,0.990312,-1.12426e-05,0.000159264,0.00472194,0.00968808,-nan,
3369.63,1,1,1,-nan,0.999933,0.99579,0.989814,-0.000166345,6.68764e-05,0.00420952,0.0101865,-nan,
3369.65,1,1,1,-nan,0.999899,0.995701,0.989281,-0.000120093,0.00010103,0.00429875,0.0107194,-nan,
3369.67,1,1,1,-nan,0.999899,0.995701,0.989281,-0.000120093,0.00010103,0.00429875,0.0107194,-nan,
3369.69,1,1,1,-nan,0.999802,0.995245,0.989109,-0.000109851,0.000197589,0.00475538,0.0108905,-nan,
3369.71,1,1,1,-nan,0.999802,0.995245,0.989109,-0.000109851,0.000197589,0.00475538,0.0108905,-nan,
3369.73,1,1,1,-nan,0.999634,0.994552,0.988615,4.87144e-05,0.000366151,0.0054484,0.0113853,-nan,
3369.75,1,1,1,-nan,0.999523,0.994332,0.988137,3.25771e-05,0.000477433,0.00566787,0.0118627,-nan,
3369.77,1,1,1,-nan,0.999523,0.994332,0.988137,3.25771e-05,0.000477433,0.00566787,0.0118627,-nan,
3369.79,1,1,1,-nan,0.999396,0.994117,0.987688,6.24949e-05,0.000603557,0.00588304,0.0123115,-nan,
3369.81,1,1,1,-nan,0.999396,0.994117,0.987688,6.24949e-05,0.000603557,0.00588304,0.0123115,-nan,
3369.83,1,1,1,-nan,0.999229,0.994197,0.986949,-5.06293e-05,0.000771105,0.00580293,0.0130509,-nan,
3369.85,1,1,1,-nan,0.999103,0.994508,0.986174,3.47782e-05,0.00089711,0.00549155,0.0138263,-nan,
3369.87,1,1,1,-nan,0.999103,0.994508,0.986174,3.47782e-05,0.00089711,0.00549155,0.0138263,-nan,
3369.89,1,1,1,-nan,0.998934,0.994751,0.985493,2.82954e-05,0.00106633,0.00524908,0.0145073,-nan,
3369.91,1,1,1,-nan,0.998934,0.994751,0.985493,2.82954e-05,0.00106633,0.00524908,0.0145073,-nan,
3369.93,1,1,1,-nan,0.998721,0.99536,0.984487,-5.5895e-05,0.00127935,0.00463963,0.0155132,-nan,
3369.95,1,1,1,-nan,0.998594,0.99605,0.983718,-0.000110793,0.00140595,0.00394982,0.0162815,-nan,
3369.97,1,1,1,-nan,0.998594,0.99605,0.983718,-0.000110793,0.00140595,0.00394982,0.0162815,-nan,
3369.99,1,1,1,-nan,0.998475,0.996649,0.983075,-0.000137768,0.00152475,0.00335115,0.0169253,-nan,
3370.01,1,1,1,-nan,0.998475,0.996649,0.983075,-0.000137768,0.00152475,0.00335115,0.0169253,-nan,
3370.03,1,1,1,-nan,0.998366,0.997764,0.98217,-2.83578e-05,0.001634,0.00223589,0.0178303,-nan,
3370.05,1,1,1,-nan,0.998296,0.997842,0.981941,2.42244e-05,0.0017035,0.00215751,0.0180594,-nan,
3370.07,1,1,1,-nan,0.998296,0.997842,0.981941,2.42244e-05,0.0017035,0.00215751,0.0180594,-nan,
3370.09,1,1,1,-nan,0.998284,0.9974,0.982157,2.69468e-05,0.0017156,0.00260043,0.0178434,-nan,
3370.11,1,1,1,-nan,0.998284,0.9974,0.982157,2.69468e-05,0.0017156,0.00260043,0.0178434,-nan,
3370.13,1,1,1,-nan,0.998289,0.996757,0.982549,8.35475e-05,0.00171077,0.00324339,0.0174506,-nan,
3370.15,1,1,1,-nan,0.998321,0.996542,0.982874,6.293e-05,0.00167906,0.0034582,0.0171264,-nan,
3370.17,1,1,1,-nan,0.998321,0.996542,0.982874,6.293e-05,0.00167906,0.0034582,0.0171264,-nan,
3370.19,1,1,1,-nan,0.998343,0.996299,0.983257,0.00010546,0.00165719,0.00370091,0.0167434,-nan,
3370.21,1,1,1,-nan,0.998343,0.996299,0.983257,0.00010546,0.00165719,0.00370091,0.0167434,-nan,
3370.23,1,1,1,-nan,0.998404,0.996341,0.983661,0.000161248,0.00159585,0.00365871,0.0163388,-nan,
3370.25,1,1,1,-nan,0.998454,0.996645,0.983875,0.000166885,0.00154626,0.00335485,0.0161253,-nan,
3370.27,1,1,1,-nan,0.998454,0.996645,0.983875,0.000166885,0.00154626,0.00335485,0.0161253,-nan,
3370.29,1,1,1,-nan,0.998499,0.996887,0.984272,0.00018235,0.00150114,0.00311285,0.0157279,-nan,
3370.31,1,1,1,-nan,0.998499,0.996887,0.984272,0.00018235,0.00150114,0.00311285,0.0157279,-nan,
3370.33,1,1,1,-nan,0.998584,0.997528,0.984747,0.000170258,0.00141627,0.00247246,0.0152525,-nan,
3370.35,1,1,1,-nan,0.998654,0.998234,0.985197,6.75675e-06,0.00134611,0.00176573,0.0148033,-nan,
3370.37,1,1,1,-nan,0.998654,0.998234,0.985197,6.75675e-06,0.00134611,0.00176573,0.0148033,-nan,
3370.39,1,1,1,-nan,0.998686,0.998841,0.985607,0.000107616,0.00131422,0.0011586,0.0143928,-nan,
3370.41,1,1,1,-nan,0.998686,0.998841,0.985607,0.000107616,0.00131422,0.0011586,0.0143928,-nan,
3370.43,1,1,1,-nan,0.998717,0.999952,0.98591,8.11309e-05,0.00128347,4.81009e-05,0.0140896,-nan,
3370.45,1,1,1,-nan,0.998695,1.00049,0.986586,7.45449e-05,0.00130516,-0.000486612,0.0134138,-nan,
3370.47,1,1,1,-nan,0.998695,1.00049,0.986586,7.45449e-05,0.00130516,-0.000486612,0.0134138,-nan,
3370.49,1,1,1,-nan,0.99852,0.999936,0.988186,3.71138e-05,0.00148034,6.38962e-05,0.0118141,-nan,
3370.51,1,1,1,-nan,0.99852,0.999936,0.988186,3.71138e-05,0.00148034,6.38962e-05,0.0118141,-nan,
3370.53,1,1,1,-nan,0.998307,0.99962,0.989999,0.000169345,0.00169253,0.000379682,0.0100008,-nan,
3370.55,1,1,1,-nan,0.998165,0.999679,0.991054,0.000130041,0.00183475,0.00032115,0.00894612,-nan,
3370.57,1,1,1,-nan,0.998165,0.999679,0.991054,0.000130041,0.00183475,0.00032115,0.00894612,-nan,
3370.59,1,1,1,-nan,0.998016,0.999673,0.991916,0.000129836,0.00198376,0.000327051,0.00808442,-nan,
3370.61,1,1,1,-nan,0.998016,0.999673,0.991916,0.000129836,0.00198376,0.000327051,0.00808442,-nan,
3370.62,1,1,1,-nan,0.997876,0.999987,0.992612,0.000244526,0.00212407,1.3411e-05,0.00738794,-nan,
3370.65,1,1,1,-nan,0.997786,1.00046,0.992916,0.000343696,0.00221419,-0.000464082,0.00708383,-nan,
3370.67,1,1,1,-nan,0.997786,1.00046,0.992916,0.000343696,0.00221419,-0.000464082,0.00708383,-nan,
3370.69,1,1,1,-nan,0.997684,1.00085,0.993132,0.000232533,0.00231647,-0.000852585,0.006868,-nan,
3370.71,1,1,1,-nan,0.997684,1.00085,0.993132,0.000232533,0.00231647,-0.000852585,0.006868,-nan,
3370.73,1,1,1,-nan,0.99755,1.00165,0.993238,7.80675e-05,0.00245029,-0.00164747,0.00676167,-nan,
3370.75,1,1,1,-nan,0.997485,1.00246,0.993166,9.27554e-06,0.00251549,-0.00246441,0.00683439,-nan,
3370.77,1,1,1,-nan,0.997485,1.00246,0.993166,9.27554e-06,0.00251549,-0.00246441,0.00683439,-nan,
3370.79,1,1,1,-nan,0.997431,1.00318,0.993209,0.000112898,0.00256866,-0.00318182,0.00679117,-nan,
3370.81,1,1,1,-nan,0.997431,1.00318,0.993209,0.000112898,0.00256866,-0.00318182,0.00679117,-nan,
3370.83,1,1,1,-nan,0.997378,1.00443,0.993109,0.000147845,0.00262159,-0.00442803,0.00689107,-nan,
3370.85,1,1,1,-nan,0.997331,1.00502,0.99315,8.35795e-05,0.00266922,-0.00502408,0.0068503,-nan,
3370.87,1,1,1,-nan,0.997331,1.00502,0.99315,8.35795e-05,0.00266922,-0.00502408,0.0068503,-nan,
3370.89,1,1,1,-nan,0.997217,1.00447,0.993653,7.81612e-05,0.0027833,-0.00446725,0.00634736,-nan,
3370.91,1,1,1,-nan,0.997217,1.00447,0.993653,7.81612e-05,0.0027833,-0.00446725,0.00634736,-nan,
3370.93,1,1,1,-nan,0.99713,1.00413,0.993863,0.000230249,0.00286973,-0.00412726,0.00613713,-nan,
3370.95,1,1,1,-nan,0.997111,1.00415,0.993736,0.000229945,0.0028891,-0.0041455,0.00626403,-nan,
3370.97,1,1,1,-nan,0.997111,1.00415,0.993736,0.000229945,0.0028891,-0.0041455,0.00626403,-nan,
3370.99,1,1,1,-nan,0.997089,1.00409,0.993679,0.000145674,0.00291079,-0.00408769,0.00632113,-nan,
3371.01,1,1,1,-nan,0.997089,1.00409,0.993679,0.000145674,0.00291079,-0.00408769,0.00632113,-nan,
3371.03,1,1,1,-nan,0.997106,1.00431,0.993314,0.000107517,0.00289387,-0.00430691,0.00668555,-nan,
3371.05,1,1,1,-nan,0.997141,1.00466,0.99285,0.000136939,0.00285935,-0.00466335,0.00715017,-nan,
3371.07,1,1,1,-nan,0.997141,1.00466,0.99285,0.000136939,0.00285935,-0.00466335,0.00715017,-nan,
3371.09,1,1,1,-nan,0.997186,1.00493,0.992421,2.79731e-05,0.00281352,-0.00492871,0.00757921,-nan,
3371.11,1,1,1,-nan,0.997186,1.00493,0.992421,2.79731e-05,0.00281352,-0.00492871,0.00757921,-nan,
3371.13,1,1,1,-nan,0.997277,1.00553,0.99159,9.13819e-05,0.00272292,-0.00553179,0.00840968,-nan,
3371.15,1,1,1,-nan,0.997406,1.00628,0.990629,0.00010447,0.00259364,-0.00628066,0.0093714,-nan,
3371.17,1,1,1,-nan,0.997406,1.00628,0.990629,0.00010447,0.00259364,-0.00628066,0.0093714,-nan,
3371.19,1,1,1,-nan,0.997492,1.00671,0.990112,0.000129754,0.00250834,-0.00670922,0.00988829,-nan,
3371.21,1,1,1,-nan,0.997492,1.00671,0.990112,0.000129754,0.00250834,-0.00670922,0.00988829,-nan,
