0821_rse_led_circle_A.csv
x,y,z,r,p,y,ori,vx,vy,vz,st_x,st_y,st_z,ugvx,ugvy,ugvz,ugv_vx,ugv_vy,ugv_vyaw,ms,dpth,t,
1.22395,0.524621,1.18668,6.67263e+186,3.79767e-315,6.90581e-310,0.111814,-0.087483,0.207471,0.21175,0,0,0,1.02162,0.479716,0.271018,-0.000215411,-0.00106681,-3.59032e-05,5,0.901387,0.210507,
1.22219,0.527944,1.18965,6.67263e+186,3.8804e-315,6.90581e-310,0.111157,-0.0921618,0.152616,0.208874,0,0,0,1.02164,0.479699,0.271019,-0.00275765,0.0014275,3.67043e-05,5,0.904551,0.225387,
1.22087,0.530807,1.19223,6.67263e+186,3.96313e-315,6.90581e-310,0.108775,-0.0824911,0.165802,0.173148,0,0,0,1.02164,0.479692,0.271044,0.00158697,-0.00142856,-2.16248e-05,5,0.905441,0.243066,
1.21926,0.533486,1.19402,6.67263e+186,4.04586e-315,6.90581e-310,0.113738,-0.0805561,0.168022,0.155291,0,0,0,1.02164,0.479688,0.271027,-0.00187743,-0.00267715,1.87555e-05,5,0.908973,0.263544,
1.21789,0.536778,1.19722,6.67263e+186,4.12859e-315,6.90581e-310,0.109803,-0.084155,0.195532,0.0941225,0,0,0,1.02164,0.479735,0.271033,-0.00210317,-0.000854406,-1.08619e-05,5,0.91113,0.278257,
1.21606,0.539831,1.19929,6.67263e+186,4.21132e-315,6.90581e-310,0.109203,-0.0835194,0.192281,0.152012,0,0,0,1.02162,0.479727,0.271042,-0.00184745,-0.00436361,2.1759e-05,5,0.912325,0.293231,
1.21457,0.542678,1.20197,6.67263e+186,4.29405e-315,6.90581e-310,0.106159,-0.106428,0.195305,0.1308,0,0,0,1.02164,0.479701,0.27105,-0.00134214,0.000358698,6.30542e-06,5,0.915003,0.31456,
1.21284,0.545435,1.20356,6.67263e+186,4.37677e-315,6.90581e-310,0.108988,-0.11235,0.207873,0.152335,0,0,0,1.02164,0.479714,0.271041,0.00492794,0.00386491,-1.13143e-05,5,0.91685,0.327277,
1.21084,0.548405,1.20373,6.67263e+186,4.4595e-315,6.90581e-310,0.109458,-0.0966052,0.169015,0.101636,0,0,0,1.02162,0.479691,0.271039,0.00281038,-0.000489084,-2.83415e-05,5,0.918542,0.345555,
1.20927,0.551487,1.20645,6.67263e+186,4.54222e-315,6.90581e-310,0.111164,-0.120127,0.166917,0.0560637,0,0,0,1.02164,0.479701,0.271047,0.000334587,0.0041624,-3.27243e-05,5,0.919591,0.36077,
1.20757,0.554399,1.20778,6.67263e+186,4.62495e-315,6.90581e-310,0.113365,-0.0990814,0.171779,0.108169,0,0,0,1.02163,0.479741,0.271003,2.43699e-05,0.000851774,2.08965e-05,5,0.921267,0.376261,
1.20588,0.557384,1.20934,6.67263e+186,4.70767e-315,6.90581e-310,0.108812,-0.098267,0.162236,0.0834153,0,0,0,1.02163,0.479751,0.270993,-0.000391291,-0.000186535,-2.46111e-05,5,0.921545,0.391631,
1.20425,0.560255,1.21154,6.67263e+186,4.7904e-315,6.90581e-310,0.107767,-0.0800385,0.174721,0.0725521,0,0,0,1.02161,0.479665,0.271022,0.00426596,-0.000425592,-1.25717e-05,5,0.9226,0.410148,
1.20247,0.563302,1.2123,6.67263e+186,4.87313e-315,6.90581e-310,0.109224,-0.0828794,0.19539,0.0817625,0,0,0,1.02161,0.479686,0.271048,-0.00273795,-0.00293044,3.59175e-05,5,0.92302,0.428107,
1.20048,0.566008,1.21171,6.67263e+186,1.51967e-317,6.90581e-310,0.107129,-0.0832414,0.199137,0.0337908,0,0,0,1.02163,0.47974,0.271034,0.00275268,0.00682779,-1.61465e-05,5,0.923291,0.448208,
1.19876,0.569209,1.21218,6.67263e+186,9.79202e-317,6.90581e-310,0.107911,-0.135338,0.17317,0.011927,0,0,0,1.02165,0.479729,0.271032,0.000806699,-0.0037736,2.35174e-05,5,0.923108,0.464754,
1.19673,0.571947,1.21268,6.67263e+186,1.80644e-316,6.9058e-310,0.10825,-0.100637,0.180429,-0.00190808,0,0,0,1.02166,0.479707,0.271016,0.0026725,0.00518153,-2.6541e-05,5,0.922951,0.477056,
1.19513,0.575093,1.21315,6.67263e+186,2.63366e-316,6.90581e-310,0.106164,-0.109967,0.128066,0.0314019,0,0,0,1.02162,0.47966,0.271027,-0.00359925,-0.0028863,7.76005e-06,5,0.922868,0.495299,
1.19318,0.577723,1.21308,6.67263e+186,3.46088e-316,6.90581e-310,0.107857,-0.105558,0.164736,0.026166,0,0,0,1.02162,0.479676,0.271031,-0.00249156,0.000371206,3.38358e-05,5,0.922046,0.511384,
1.19138,0.580784,1.21406,6.67263e+186,4.28811e-316,6.90581e-310,0.11025,-0.098061,0.163588,-0.012447,0,0,0,1.0216,0.479741,0.271047,-0.0018459,-0.000277897,-3.59713e-06,5,0.921194,0.53024,
1.18945,0.583797,1.21271,6.67263e+186,5.11536e-316,6.90581e-310,0.101925,-0.0876549,0.177991,0.00620181,0,0,0,1.02164,0.479694,0.271045,0.00314998,-0.003777,3.50559e-05,5,0.920041,0.554256,
1.18725,0.586073,1.209,6.67263e+186,5.94258e-316,6.9058e-310,0.105445,-0.144677,0.247805,-0.0568003,0,0,0,1.02163,0.479681,0.271025,-0.0045306,0.00299177,8.19645e-06,5,0.917796,0.570179,
1.18528,0.589096,1.20845,6.67263e+186,6.76979e-316,6.90581e-310,0.104508,-0.121874,0.175505,-0.167765,0,0,0,1.02163,0.479716,0.271024,0.00270209,0.00762686,-3.16385e-05,5,0.917023,0.584244,
1.18344,0.592145,1.20748,6.67263e+186,7.59699e-316,6.9058e-310,0.106918,-0.150551,0.164037,-0.0567608,0,0,0,1.02165,0.479741,0.271009,-0.000870052,0.00284431,-9.94009e-06,5,0.915626,0.601776,
1.18136,0.594588,1.20574,6.67263e+186,8.42419e-316,6.90581e-310,0.105667,-0.145924,0.165961,-0.047642,0,0,0,1.02165,0.479682,0.271014,-0.00132872,0.000491468,-2.98554e-05,5,0.913903,0.614672,
1.17958,0.597564,1.20525,6.67263e+186,9.25137e-316,6.9058e-310,0.103358,-0.156178,0.123388,-0.0470473,0,0,0,1.02162,0.479667,0.271016,-0.00307158,0.00155147,1.98601e-05,5,0.911658,0.62869,
