0821_rse_led_circle_B.csv
x,y,z,r,p,y,ori,vx,vy,vz,st_x,st_y,st_z,ugvx,ugvy,ugvz,ugv_vx,ugv_vy,ugv_vyaw,ms,dpth,t,
0.790014,0.453875,1.1492,-0.0335278,0.0312144,-0.0922925,0.102558,-0.0015332,-0.00236054,0.000960034,0,0,0,1.02161,0.479738,0.271057,-0.0032341,0.00193338,9.30304e-06,6,0.912461,6.32939,
0.787346,0.437313,1.16639,-0.033536,0.0336042,-0.0919541,0.102976,0.0301791,-0.016844,-0.0372336,0,0,0,1.02159,0.479696,0.271041,-0.00242492,-0.00717502,1.54488e-05,5,0.915663,6.35198,
0.7869,0.430822,1.17266,-0.0355022,0.0354141,-0.0931906,0.105261,-0.0213918,-0.289919,0.275832,0,0,0,1.0216,0.479697,0.271036,-0.00158996,0.000917904,6.3832e-07,5,0.919877,6.37193,
0.786523,0.427694,1.17589,-0.0306804,0.0359864,-0.0923193,0.103226,-0.0344409,-0.334276,0.331492,0,0,0,1.0216,0.479716,0.271041,-0.000973188,-0.00226297,-3.3424e-06,5,0.922138,6.38685,
0.786507,0.424226,1.17864,-0.0356837,0.0335955,-0.0941787,0.105626,-0.0285467,-0.23067,0.237683,0,0,0,1.0216,0.479716,0.271041,-0.000973188,-0.00226297,-3.3424e-06,5,0.922138,6.39875,
0.786125,0.421187,1.18286,-0.0372357,0.0311267,-0.0904669,0.102142,-0.0120629,-0.234741,0.194476,0,0,0,1.02161,0.479716,0.271058,0.00365058,-0.00166836,-1.88795e-05,5,0.927075,6.42034,
0.786884,0.417818,1.18397,-0.0413946,0.029697,-0.0940019,0.106368,-0.0487816,-0.164321,0.227065,0,0,0,1.02162,0.479721,0.271066,-0.00544951,0.00205194,5.72179e-05,5,0.930106,6.43439,
0.786508,0.414769,1.18616,-0.0365674,0.0391476,-0.0913286,0.105251,0.0279011,-0.195581,0.118196,0,0,0,1.02161,0.479699,0.271054,0.00422485,-0.0036107,3.46584e-05,5,0.933433,6.45396,
0.786453,0.411607,1.18753,-0.0403896,0.0376625,-0.0938516,0.108225,0.00183334,-0.191672,0.12184,0,0,0,1.02159,0.479682,0.271033,0.00249054,-9.25849e-05,2.17802e-05,5,0.934125,6.46934,
0.786717,0.408409,1.19076,-0.0374186,0.0325638,-0.0919117,0.103896,0.0215227,-0.165896,0.0743713,0,0,0,1.0216,0.479695,0.271063,0.000966714,0.00315625,-1.76101e-05,5,0.937003,6.4829,
0.786921,0.40575,1.19211,-0.0355893,0.0350721,-0.0912435,0.103471,0.0352005,-0.165797,0.125214,0,0,0,1.02163,0.479722,0.271073,0.00446729,-0.00126886,1.82864e-05,5,0.939477,6.50338,
0.78775,0.402307,1.19272,-0.0409017,0.0382046,-0.0922365,0.107208,0.00937659,-0.164331,0.0960246,0,0,0,1.02163,0.479743,0.27108,-0.00401358,0.00236035,1.94367e-05,5,0.940122,6.51798,
0.787307,0.399133,1.19573,-0.0409608,0.0386025,-0.0946589,0.109435,-0.00766564,-0.220192,0.0826496,0,0,0,1.0216,0.479692,0.271055,-0.0012878,0.000943435,-2.10829e-05,5,0.942071,6.5349,
0.78765,0.395979,1.19666,-0.0403135,0.0363085,-0.0932412,0.107232,0.00301089,-0.208044,0.126969,0,0,0,1.0216,0.479669,0.271044,-0.000206468,-0.00221903,-1.83755e-05,5,0.942794,6.55264,
0.787414,0.392934,1.20076,-0.0374254,0.0355977,-0.0912227,0.10424,0.00820907,-0.175321,0.0751829,0,0,0,1.0216,0.479718,0.271024,-0.000438655,0.00568802,-4.80891e-05,5,0.943918,6.56944,
0.789083,0.390255,1.19742,-0.0411804,0.0421739,-0.093563,0.109833,-0.0208953,-0.191367,0.188244,0,0,0,1.02161,0.47972,0.271057,0.00322521,-0.00121035,7.62993e-06,5,0.945058,6.58863,
0.789571,0.387038,1.19826,-0.0460632,0.039608,-0.0919356,0.109417,0.0492911,-0.174675,-0.0493481,0,0,0,1.02161,0.47972,0.271057,0.00322521,-0.00121035,7.62993e-06,5,0.945058,6.60005,
0.789608,0.384214,1.2016,-0.0364307,0.0374384,-0.0918478,0.10506,0.0392492,-0.163293,-0.00328879,0,0,0,1.02161,0.479707,0.271082,0.000232014,-0.00105858,-2.4758e-05,5,0.946037,6.6169,
0.790544,0.380984,1.19967,-0.0456146,0.0401546,-0.0938823,0.11105,-0.0100758,-0.151457,0.120674,0,0,0,1.02161,0.479676,0.271058,-0.000926431,-0.00303017,-1.24598e-05,5,0.946445,6.63393,
0.791308,0.378295,1.19971,-0.0432598,0.038319,-0.0941817,0.109778,0.0386863,-0.184399,-0.0278554,0,0,0,1.02161,0.479703,0.27106,-0.00174505,0.000672992,-2.71389e-05,5,0.946602,6.64953,
0.791781,0.375021,1.20192,-0.0467263,0.0375136,-0.0929783,0.109862,0.036864,-0.162519,-0.0109437,0,0,0,1.02162,0.479703,0.271034,0.00458187,-0.00286372,4.0466e-06,5,0.946363,6.6686,
0.79247,0.372193,1.20085,-0.0437285,0.0415274,-0.0947505,0.111532,0.045896,-0.187887,0.0710173,0,0,0,1.02161,0.479678,0.271058,0.00189243,0.00169542,4.97905e-06,5,0.945934,6.68676,
0.793119,0.369481,1.20141,-0.0414503,0.0361465,-0.0932932,0.107639,0.0330862,-0.209642,0.0030384,0,0,0,1.0216,0.479689,0.271058,0.00470486,0.00427073,1.25622e-05,5,0.945842,6.70123,
0.794077,0.366629,1.20164,-0.0443664,0.0343357,-0.0941633,0.108941,0.0224348,-0.190508,0.0266474,0,0,0,1.02161,0.479705,0.271069,-2.8592e-05,-0.000879115,1.17483e-05,5,0.944859,6.72118,
0.79475,0.363657,1.20117,-0.0381475,0.0408878,-0.0954423,0.109931,0.0818184,-0.195307,0.00289051,0,0,0,1.02163,0.479717,0.271074,0.00240099,0.00157643,-2.44858e-05,5,0.943949,6.73407,
