0821_rse_led_circle_C.csv
x,y,z,r,p,y,ori,vx,vy,vz,st_x,st_y,st_z,ugvx,ugvy,ugvz,ugv_vx,ugv_vy,ugv_vyaw,ms,dpth,t,
0.790023,0.453783,1.14922,0,0,0,0.102537,-0.00646945,-0.0328739,0.0180847,0,0,0,1.02162,0.479715,0.271069,0.000665205,0.000853828,-2.21149e-05,6,0.909788,2.25709,
0.788008,0.440811,1.16265,6.67261e+186,2.8792e-315,6.9306e-310,0.10245,0.0116349,0.0249866,-0.00919531,0,0,0,1.02161,0.479729,0.271054,0.000671999,-0.00266317,4.08615e-05,5,0.91315,2.28158,
0.786447,0.434073,1.17226,6.67261e+186,3.04467e-315,6.9306e-310,0.103632,-0.0248056,-0.211974,0.235829,0,0,0,1.02158,0.479686,0.271044,0.000871091,-0.00138298,-6.51786e-06,5,0.918015,2.29524,
0.786899,0.430821,1.17267,6.67261e+186,3.1274e-315,6.93059e-310,0.10527,-0.0499213,-0.303613,0.426761,0,0,0,1.0216,0.479697,0.271036,-0.00158996,0.000917904,6.3832e-07,5,0.919877,2.31141,
0.786546,0.427774,1.17588,6.67261e+186,3.21014e-315,6.93059e-310,0.103297,-0.0113751,-0.231622,0.186947,0,0,0,1.0216,0.479716,0.271041,-0.000973188,-0.00226297,-3.3424e-06,5,0.922153,2.32823,
0.78653,0.424307,1.17864,6.67261e+186,3.29287e-315,6.9306e-310,0.105694,-0.0190545,-0.189674,0.184908,0,0,0,1.02161,0.479706,0.271069,0.0082217,0.00120619,3.97355e-05,5,0.926216,2.34498,
0.786125,0.421187,1.18286,6.67261e+186,3.37561e-315,6.9306e-310,0.102142,-0.00838181,-0.238716,0.188759,0,0,0,1.02161,0.479716,0.271058,0.00365058,-0.00166836,-1.88795e-05,5,0.927075,2.36201,
0.786884,0.417818,1.18397,6.67261e+186,3.45834e-315,6.9306e-310,0.106368,-0.0352501,-0.165584,0.222882,0,0,0,1.02162,0.479721,0.271066,-0.00544951,0.00205194,5.72179e-05,5,0.930106,2.37764,
0.786459,0.414811,1.18613,6.67261e+186,3.54107e-315,6.93059e-310,0.105257,0.051143,-0.211607,0.119995,0,0,0,1.02161,0.479699,0.271054,0.00422485,-0.0036107,3.46584e-05,5,0.933433,2.39374,
0.786453,0.411607,1.18752,6.67261e+186,3.62381e-315,6.9306e-310,0.108225,0.000614991,-0.194549,0.135323,0,0,0,1.02159,0.479682,0.271033,0.00249054,-9.25849e-05,2.17802e-05,5,0.934125,2.40782,
0.786792,0.408511,1.19079,6.67261e+186,3.70654e-315,6.93059e-310,0.10396,0.0292788,-0.167985,0.0813022,0,0,0,1.0216,0.479695,0.271063,0.000966714,0.00315625,-1.76101e-05,5,0.937003,2.42483,
0.786921,0.40575,1.19211,6.67261e+186,3.78927e-315,6.9306e-310,0.103471,0.0379394,-0.166558,0.135653,0,0,0,1.0216,0.479695,0.271063,0.000966714,0.00315625,-1.76101e-05,5,0.937003,2.44055,
0.787685,0.40228,1.19268,6.67261e+186,3.872e-315,6.9306e-310,0.107148,-0.00668693,-0.172126,0.118493,0,0,0,1.02163,0.479743,0.27108,-0.00401358,0.00236035,1.94367e-05,5,0.940131,2.45789,
0.787367,0.399182,1.19576,6.67261e+186,3.95473e-315,6.9306e-310,0.109485,0.0328334,-0.203397,0.0675249,0,0,0,1.0216,0.479692,0.271055,-0.0012878,0.000943435,-2.10829e-05,5,0.941035,2.47272,
0.78767,0.395966,1.19666,6.67261e+186,4.03746e-315,6.9306e-310,0.107234,0.0291465,-0.203412,0.121841,0,0,0,1.0216,0.479669,0.271044,-0.000206468,-0.00221903,-1.83755e-05,5,0.942795,2.49159,
0.787459,0.392895,1.2008,6.67261e+186,4.12019e-315,6.9306e-310,0.104217,0.00290968,-0.155059,0.0851919,0,0,0,1.0216,0.479718,0.271024,-0.000438655,0.00568802,-4.80891e-05,5,0.943889,2.51066,
0.788969,0.390263,1.19736,6.67261e+186,4.20292e-315,6.9306e-310,0.109823,0.0336531,-0.168808,0.163699,0,0,0,1.02161,0.47972,0.271057,0.00322521,-0.00121035,7.62993e-06,5,0.945057,2.52281,
0.789527,0.386967,1.19824,6.67261e+186,4.28565e-315,6.9306e-310,0.109329,0.0561352,-0.173892,-0.0401068,0,0,0,1.02161,0.47972,0.271057,0.00322521,-0.00121035,7.62993e-06,5,0.945057,2.53975,
0.789557,0.384218,1.20156,6.67261e+186,4.36838e-315,6.9306e-310,0.105012,0.0433569,-0.147065,0.000470027,0,0,0,1.02161,0.479707,0.271082,0.000232014,-0.00105858,-2.4758e-05,5,0.946061,2.55885,
0.790544,0.380984,1.19967,6.67261e+186,4.45111e-315,6.9306e-310,0.11105,-0.01101,-0.163854,0.137707,0,0,0,1.02161,0.479676,0.271058,-0.000926431,-0.00303017,-1.24598e-05,5,0.946445,2.57461,
0.791315,0.378292,1.19974,6.67261e+186,4.53383e-315,6.9306e-310,0.10979,0.0545357,-0.196583,-0.0181893,0,0,0,1.02161,0.479703,0.27106,-0.00174505,0.000672992,-2.71389e-05,5,0.946581,2.59139,
0.791781,0.375021,1.20192,6.67261e+186,4.61656e-315,6.9306e-310,0.109862,0.0344584,-0.156957,0.00309643,0,0,0,1.02162,0.479703,0.271034,0.00458187,-0.00286372,4.0466e-06,5,0.946363,2.60472,
0.792491,0.37222,1.20086,6.67261e+186,4.69929e-315,6.9306e-310,0.111591,0.0494975,-0.181916,0.0794995,0,0,0,1.02161,0.479678,0.271058,0.00189243,0.00169542,4.97905e-06,5,0.945937,2.62779,
0.793134,0.369339,1.20141,6.67261e+186,4.78202e-315,6.9306e-310,0.107598,0.0644497,-0.167684,-0.0206368,0,0,0,1.0216,0.479714,0.271075,0.0013273,0.000394424,-6.5627e-06,5,0.945178,2.64545,
0.794077,0.366629,1.20164,6.67261e+186,4.86475e-315,6.9306e-310,0.10894,0.0170051,-0.182154,0.038241,0,0,0,1.02161,0.479705,0.271069,-2.8592e-05,-0.000879115,1.17483e-05,5,0.944859,2.65769,
