0821_rse_led_circle_D.csv
x,y,z,r,p,y,ori,vx,vy,vz,st_x,st_y,st_z,ugvx,ugvy,ugvz,ugv_vx,ugv_vy,ugv_vyaw,ms,dpth,t,
0.790014,0.453752,1.1492,-0.0333969,0.0312234,-0.0922798,0.102509,-0.00153288,-0.00236053,0.000959355,0,0,0,1.02161,0.479738,0.271057,-0.0032341,0.00193338,9.30304e-06,6,0.91246,11.2284,
0.787346,0.437313,1.16639,-0.0335431,0.0336,-0.0919548,0.102978,0.0469737,0.0057788,-0.0100253,0,0,0,1.02159,0.479696,0.271041,-0.00242492,-0.00717502,1.54488e-05,5,0.915663,11.2511,
0.786902,0.430813,1.17265,-0.0355243,0.0354156,-0.0931673,0.105248,0.0579991,0.0649798,-0.0218173,0,0,0,1.0216,0.479697,0.271036,-0.00158996,0.000917904,6.3832e-07,5,0.919885,11.2687,
0.78655,0.427779,1.17586,-0.0308168,0.0359908,-0.0923587,0.103301,0.0438498,0.0563508,-0.00728913,0,0,0,1.0216,0.479716,0.271041,-0.000973188,-0.00226297,-3.3424e-06,5,0.922153,11.2857,
0.78653,0.424307,1.17863,-0.035757,0.0336313,-0.0942152,0.105693,0.05051,0.0607038,-0.00759232,0,0,0,1.0216,0.479716,0.271041,-0.000973188,-0.00226297,-3.3424e-06,5,0.922153,11.2984,
0.786142,0.421211,1.18281,-0.0370497,0.0313449,-0.090455,0.10213,0.0576376,0.0142817,0.0117277,0,0,0,1.02161,0.479716,0.271058,0.00365058,-0.00166836,-1.88795e-05,5,0.927075,11.3189,
0.786852,0.417817,1.18397,-0.0413757,0.0296791,-0.093993,0.106349,0.0961687,0.0202352,-0.0112485,0,0,0,1.02164,0.479714,0.271067,-0.00125287,-0.00570543,-5.35453e-06,5,0.929648,11.3318,
0.786459,0.414811,1.18613,-0.0366027,0.0391084,-0.0913369,0.105256,0.101481,0.0413922,-0.00997732,0,0,0,1.02161,0.479699,0.271054,0.00422485,-0.0036107,3.46584e-05,5,0.933429,11.3535,
0.786466,0.411623,1.18745,-0.0402897,0.037993,-0.0938253,0.108277,0.0818684,0.0553007,0.00359588,0,0,0,1.02159,0.479682,0.271033,0.00249054,-9.25849e-05,2.17802e-05,5,0.934125,11.3678,
0.786723,0.408425,1.19071,-0.0372255,0.0327459,-0.0918731,0.10385,0.116228,0.106538,-0.0319878,0,0,0,1.0216,0.479684,0.271056,-0.00147274,0.00370346,-2.11531e-06,5,0.936226,11.3819,
0.786928,0.405755,1.1921,-0.0356544,0.0351132,-0.0912507,0.103512,0.120206,0.0935439,-0.0239395,0,0,0,1.0216,0.479695,0.271063,0.000966714,0.00315625,-1.76101e-05,5,0.937003,11.4016,
0.787686,0.40228,1.19268,-0.040885,0.0381471,-0.0921945,0.107147,0.0822106,0.0792515,0.00575676,0,0,0,1.02163,0.479743,0.27108,-0.00401358,0.00236035,1.94367e-05,5,0.940131,11.4193,
0.787378,0.399203,1.19571,-0.0409807,0.0388182,-0.0946745,0.109528,0.105179,0.074276,0.000607352,0,0,0,1.02161,0.479729,0.271073,-0.00061458,-0.00289291,4.54763e-05,5,0.941036,11.4308,
0.787664,0.395988,1.19661,-0.0402272,0.0364899,-0.0932165,0.107238,0.140209,0.0751783,-0.017146,0,0,0,1.0216,0.479669,0.271044,-0.000206468,-0.00221903,-1.83755e-05,5,0.942794,11.4517,
0.787476,0.392911,1.20075,-0.0373513,0.0357389,-0.0911941,0.104235,0.107114,0.129469,-0.00638173,0,0,0,1.0216,0.479718,0.271024,-0.000438655,0.00568802,-4.80891e-05,5,0.943889,11.4685,
0.78897,0.390263,1.19736,-0.0411487,0.0420604,-0.0936132,0.109822,0.163226,0.118023,-0.0232391,0,0,0,1.02161,0.47972,0.271057,0.00322521,-0.00121035,7.62993e-06,5,0.945061,11.4834,
0.789548,0.387052,1.19825,-0.0460572,0.0395845,-0.0918952,0.109373,0.133325,0.102767,0.00560948,0,0,0,1.02161,0.47972,0.271057,0.00322521,-0.00121035,7.62993e-06,5,0.945061,11.5009,
0.789558,0.384219,1.20156,-0.0364151,0.0373721,-0.0918243,0.105011,0.143844,0.150324,-0.0130102,0,0,0,1.02161,0.479707,0.271082,0.000232014,-0.00105858,-2.4758e-05,5,0.946061,11.5187,
0.790504,0.381066,1.19965,-0.0456891,0.0401035,-0.0938986,0.111075,0.144079,0.107351,0.00789936,0,0,0,1.02161,0.479676,0.271058,-0.000926431,-0.00303017,-1.24598e-05,5,0.946445,11.534,
0.791324,0.378298,1.19969,-0.0432146,0.0384571,-0.0941712,0.109797,0.167531,0.113551,-0.00327617,0,0,0,1.02161,0.479703,0.27106,-0.00174505,0.000672992,-2.71389e-05,5,0.946581,11.5518,
0.791802,0.375043,1.20186,-0.0466874,0.0377977,-0.0929567,0.10992,0.152193,0.146298,0.00398655,0,0,0,1.02162,0.479703,0.271034,0.00458187,-0.00286372,4.0466e-06,5,0.946363,11.5679,
0.792463,0.372148,1.20083,-0.043826,0.0415615,-0.0947849,0.111609,0.171036,0.162406,-0.00833544,0,0,0,1.0216,0.479697,0.27105,-0.000464801,-0.00333959,1.49971e-05,5,0.946358,11.5824,
0.79308,0.369355,1.20133,-0.0410819,0.0362927,-0.0932703,0.10753,0.203306,0.154625,-0.0184402,0,0,0,1.0216,0.479714,0.271075,0.0013273,0.000394424,-6.5627e-06,5,0.945181,11.604,
0.794092,0.366641,1.20157,-0.0443181,0.0346738,-0.094127,0.108991,0.1645,0.140369,0.0162934,0,0,0,1.02161,0.479705,0.271069,-2.8592e-05,-0.000879115,1.17483e-05,5,0.944859,11.6182,
0.794731,0.363655,1.20115,-0.0381291,0.0408749,-0.0954594,0.109935,0.225591,0.152553,-0.0205505,0,0,0,1.02163,0.479717,0.271074,0.00240099,0.00157643,-2.44858e-05,5,0.943962,11.6356,
0.79658,0.360957,1.19774,-0.0502697,0.0402536,-0.0954001,0.114246,0.179387,0.18634,-0.00423804,0,0,0,1.02162,0.479702,0.271049,-0.00375708,-0.00400789,1.1853e-05,5,0.943166,11.653,
0.797459,0.358274,1.19712,-0.0494736,0.0342059,-0.094329,0.111144,0.188437,0.19749,-0.00617129,0,0,0,1.02161,0.479687,0.271048,-0.00213996,-0.000264465,-3.46411e-07,5,0.942086,11.6664,
0.797993,0.355108,1.19793,-0.0448307,0.0392693,-0.0948136,0.111228,0.22773,0.141956,-0.00124342,0,0,0,1.02159,0.479671,0.271082,0.000123167,-0.00100666,2.66764e-06,5,0.940038,11.6901,
0.80021,0.352779,1.19346,-0.048517,0.0435485,-0.0947852,0.114152,0.233249,0.179757,-0.0107257,0,0,0,1.02162,0.47973,0.271076,0.00308111,0.00435779,-3.48898e-05,5,0.93853,11.7051,
0.800898,0.350322,1.19324,-0.043945,0.0375855,-0.0930622,0.108849,0.226002,0.216413,-0.00964493,0,0,0,1.02161,0.479719,0.271076,-0.00179252,0.000465338,1.50007e-05,5,0.936391,11.7231,
0.802459,0.347331,1.19,-0.0476115,0.0398086,-0.0944791,0.11223,0.225212,0.202409,-0.00579468,0,0,0,1.0216,0.479717,0.271059,-0.000409204,7.06482e-05,-3.37683e-05,5,0.935176,11.7371,
0.803269,0.344637,1.19062,-0.0447426,0.0338272,-0.0967292,0.111147,0.237851,0.200703,-0.0021872,0,0,0,1.02161,0.479689,0.271034,0.00385635,-0.000170689,-1.92225e-05,5,0.933732,11.7529,
0.80466,0.341655,1.1888,-0.0511512,0.0382386,-0.0954989,0.114055,0.267727,0.229186,-0.0251004,0,0,0,1.02162,0.479709,0.271029,-0.00129925,0.0043784,-3.23323e-05,5,0.931208,11.7674,
0.806541,0.339614,1.1851,-0.0460234,0.0395621,-0.092952,0.110233,0.265395,0.261672,-0.0225128,0,0,0,1.02164,0.479689,0.271047,0.000264363,-0.00131366,-6.08785e-06,5,0.929055,11.7871,
0.807679,0.336976,1.18386,-0.0526371,0.0336912,-0.0959719,0.113767,0.295333,0.223117,-0.020124,0,0,0,1.02162,0.479695,0.271069,0.00125047,-0.000599293,-6.45108e-07,5,0.927162,11.8025,
0.80965,0.334554,1.18053,-0.0460461,0.0358816,-0.0953908,0.111116,0.291306,0.245486,-0.0229779,0,0,0,1.0216,0.479694,0.271083,-0.00144357,-0.00127179,-3.32103e-06,5,0.925207,11.8176,
0.810782,0.332037,1.17986,-0.0423342,0.0345193,-0.0942469,0.108287,0.265288,0.255682,-0.00753556,0,0,0,1.0216,0.479697,0.271067,-0.0010057,0.000754959,3.68944e-05,5,0.921294,11.8367,
0.812932,0.3298,1.1749,-0.0505027,0.0394164,-0.0957655,0.114373,0.334794,0.222801,-0.0272491,0,0,0,1.0216,0.479695,0.271047,0.0059081,-0.000693855,1.16709e-05,5,0.918686,11.8556,
0.814501,0.326869,1.1741,-0.0475415,0.0337062,-0.0959006,0.11152,0.316676,0.246778,-0.0190771,0,0,0,1.02161,0.479718,0.271038,0.00360856,0.00547407,8.7658e-06,5,0.916789,11.8668,
0.81594,0.324677,1.17065,-0.0466626,0.0392092,-0.0959521,0.112884,0.351212,0.27338,-0.0398865,0,0,0,1.02162,0.479719,0.27103,0.00558269,-0.00116527,5.02728e-05,5,0.91417,11.8904,
0.818412,0.322627,1.16625,-0.0437944,0.0396522,-0.094246,0.110481,0.303096,0.295609,-0.00962676,0,0,0,1.02162,0.47972,0.271039,0.00414622,0.000937448,4.81841e-05,5,0.912664,11.9017,
0.819278,0.319343,1.16814,-0.0521756,0.0294841,-0.096802,0.113183,0.314222,0.286508,-0.011784,0,0,0,1.02161,0.479672,0.271048,0.000216296,0.00374528,-2.83487e-05,5,0.908775,11.919,
0.821455,0.31743,1.16381,-0.0454818,0.0289043,-0.0953242,0.108918,0.30214,0.302674,-0.00498755,0,0,0,1.02161,0.479715,0.27105,-0.00161408,0.00504577,-9.6409e-06,5,0.90573,11.934,
0.824332,0.315664,1.15874,-0.0481706,0.0354062,-0.0942309,0.11086,0.364101,0.282458,-0.0224195,0,0,0,1.02163,0.479705,0.271082,0.00496325,-7.00961e-05,-1.59808e-05,5,0.904127,11.9516,
0.8255,0.312556,1.1593,-0.0510611,0.0258076,-0.0966626,0.111745,0.341111,0.303668,-0.0232202,0,0,0,1.02163,0.479699,0.271049,0.00185123,-4.42805e-05,8.78253e-06,5,0.899476,11.976,
0.827611,0.3106,1.15484,-0.0488248,0.0330186,-0.0967138,0.112556,0.337896,0.310047,-0.0136955,0,0,0,1.02163,0.479682,0.271071,-0.00240413,-0.0018824,2.22048e-05,5,0.897988,11.9924,
0.830146,0.308681,1.15098,-0.0513442,0.0339791,-0.0958808,0.113197,0.336784,0.360038,-0.0168166,0,0,0,1.0216,0.479716,0.271069,-0.0046667,-0.00118944,3.13028e-05,5,0.895656,12.0065,
0.831957,0.306687,1.14953,-0.0472137,0.0319786,-0.0965187,0.111441,0.366304,0.369174,-0.0295857,0,0,0,1.02161,0.479686,0.271076,-0.00074058,0.00358072,-1.04267e-05,5,0.892706,12.0234,
0.834103,0.304524,1.14604,-0.050407,0.0349457,-0.0947606,0.112123,0.330729,0.292558,0.0148779,0,0,0,1.02162,0.479738,0.271042,0.000165702,0.00362363,1.15651e-05,5,0.890944,12.0381,
0.835461,0.301953,1.14616,-0.0465213,0.0313236,-0.0977399,0.112042,0.363509,0.278825,-0.000806138,0,0,0,1.02162,0.479684,0.271053,0.00277648,-0.0021102,9.95321e-06,5,0.889077,12.0537,
0.838248,0.3001,1.14185,-0.0496983,0.0334594,-0.0965346,0.112893,0.385009,0.355613,-0.0223189,0,0,0,1.02162,0.479661,0.271066,0.00292437,-0.00178963,5.21647e-05,5,0.887738,12.0703,
