0821_rse_led_circle_dist_A.csv
x,y,z,r,p,y,ori,vx,vy,vz,st_x,st_y,st_z,ugvx,ugvy,ugvz,ugv_vx,ugv_vy,ugv_vyaw,ms,dpth,t,
1.44332,0.269112,1.18117,-0.0367083,0.0372535,-0.0354562,0.0627976,0.0139641,0.0446964,-0.038147,0,0,0,1.66719,0.34705,0.247108,-0.00340571,-0.0097517,4.2349e-05,6,0.923056,2.17828,
1.46251,0.258425,1.16956,-0.0480111,0.032569,-0.0416941,0.0709811,-0.00663777,0.094885,-0.285998,0,0,0,1.66718,0.347074,0.247057,-0.0032777,0.000212552,6.99963e-05,5,0.918354,2.2001,
1.46612,0.256303,1.16856,-0.0443584,0.0396603,-0.0407631,0.0716224,0.738362,-0.316385,-0.620721,0,0,0,1.6672,0.347078,0.247024,0.00225159,0.00732327,4.22193e-05,5,0.917279,2.21708,
1.47021,0.254048,1.16826,-0.0445934,0.024437,-0.0418071,0.0654793,0.409739,-0.183207,-0.312924,0,0,0,1.66723,0.347041,0.247058,0.00618086,-0.00854707,2.50833e-05,5,0.91475,2.23288,
1.47437,0.252133,1.16506,-0.044276,0.0302961,-0.045364,0.0698184,0.345036,-0.139319,-0.218551,0,0,0,1.66727,0.347079,0.247151,0.0103545,0.00613712,-1.6108e-05,5,0.913175,2.24443,
1.47848,0.250523,1.16374,-0.0430352,0.0290642,-0.0446457,0.0680704,0.291707,-0.150619,-0.240307,0,0,0,1.66721,0.347042,0.247084,0.00103608,0.00274424,-3.45087e-05,5,0.911841,2.26625,
1.48294,0.248845,1.16036,-0.0429371,0.0329156,-0.0459551,0.0705214,0.276479,-0.086906,-0.222107,0,0,0,1.66725,0.346996,0.247058,0.00690639,-0.00629061,-1.06326e-05,5,0.910133,2.29007,
1.4912,0.245349,1.16048,-0.052345,0.02344,-0.0488971,0.0749638,0.212794,-0.0303748,-0.277109,0,0,0,1.66727,0.346996,0.247036,0.00516961,-0.000260197,-2.60042e-05,5,0.90985,2.30814,
1.49432,0.243393,1.16056,-0.0506526,0.0217717,-0.0494046,0.0736566,0.376613,-0.164431,-0.150427,0,0,0,1.66723,0.347059,0.247122,0.00344445,0.00569481,-1.26424e-06,5,0.908969,2.32601,
1.49884,0.242182,1.15688,-0.0508457,0.032421,-0.047902,0.0764926,0.219367,-0.197503,-0.0131167,0,0,0,1.6672,0.347062,0.247126,-0.000787599,-0.00828022,-1.38186e-05,5,0.908797,2.3446,
1.5021,0.240375,1.15972,-0.0483451,0.0273746,-0.0483834,0.0732311,0.247205,-0.0987341,-0.17422,0,0,0,1.66726,0.347119,0.247129,0.0028551,0.00325688,4.77547e-05,5,0.908645,2.36741,
1.50566,0.238935,1.1608,-0.0435144,0.0227139,-0.0481154,0.0683843,0.256267,-0.0944449,-0.0559757,0,0,0,1.6672,0.347065,0.247071,-0.00760112,0.0052965,-1.33395e-05,5,0.909153,2.38928,
1.51398,0.236129,1.15993,-0.0540693,0.0209212,-0.0510648,0.0768778,0.207653,-0.0425767,-0.151926,0,0,0,1.66718,0.34707,0.247032,-0.00389773,0.00698832,-4.7913e-05,5,0.909655,2.40772,
1.51777,0.234956,1.16084,-0.0547272,0.024614,-0.0495142,0.0773627,0.40415,0.00559857,-0.225529,0,0,0,1.66722,0.347165,0.247114,-0.00189514,-0.00115355,3.18095e-05,5,0.910735,2.42377,
1.52045,0.233625,1.16456,-0.0450403,0.0197826,-0.0503459,0.0700661,0.302433,-0.0492421,-0.106735,0,0,0,1.66719,0.347063,0.247101,-0.000285985,-0.0100038,-4.03063e-05,5,0.911694,2.4376,
1.52432,0.232153,1.16485,-0.0528659,0.0107517,-0.0508423,0.073931,0.209922,-0.0728869,0.0636753,0,0,0,1.6672,0.347025,0.247066,-0.00120024,-0.00600284,8.34452e-06,5,0.91285,2.45559,
1.52762,0.23147,1.16742,-0.0462918,0.0145935,-0.0485343,0.0683973,0.237495,-0.0468719,-0.00303489,0,0,0,1.66722,0.347105,0.247025,0.00688582,0.0138208,-2.22716e-05,5,0.915286,2.47699,
