0821_rse_led_circle_dist_B.csv
x,y,z,r,p,y,ori,vx,vy,vz,st_x,st_y,st_z,ugvx,ugvy,ugvz,ugv_vx,ugv_vy,ugv_vyaw,ms,dpth,t,
1.44332,0.269112,1.18117,-0.0367083,0.0372535,-0.0354562,0.0627976,0.0139641,0.0446964,-0.038147,0,0,0,1.66719,0.34705,0.247108,-0.00340571,-0.0097517,4.2349e-05,6,0.923056,1.89681,
1.45828,0.260456,1.17275,-0.0370681,0.0350633,-0.0393546,0.0640362,-0.00686703,0.092599,-0.211443,0,0,0,1.6672,0.34709,0.247058,-0.00186438,-0.00391846,7.11241e-05,5,0.919318,1.91641,
1.46598,0.256063,1.16848,-0.0440768,0.0395289,-0.0408281,0.0714167,0.294384,-0.0773486,-0.34892,0,0,0,1.6672,0.347078,0.247024,0.00225159,0.00732327,4.22193e-05,5,0.917299,1.93304,
1.47013,0.254108,1.16821,-0.0445837,0.024418,-0.0417995,0.0654611,0.405271,-0.218591,-0.344987,0,0,0,1.66722,0.347086,0.247051,-0.00467603,-0.00726431,-1.45366e-06,5,0.915302,1.94661,
1.47437,0.252132,1.16506,-0.0442783,0.0302924,-0.0453643,0.0698186,0.372948,-0.154472,-0.252942,0,0,0,1.66727,0.347079,0.247151,0.0103545,0.00613712,-1.6108e-05,5,0.913175,1.96784,
1.47848,0.250523,1.16374,-0.0430372,0.0290596,-0.0446461,0.0680699,0.315401,-0.159935,-0.264758,0,0,0,1.66721,0.347042,0.247084,0.00103608,0.00274424,-3.45087e-05,5,0.911841,1.9858,
1.48273,0.248636,1.16026,-0.0427729,0.0327334,-0.0459383,0.0703302,0.299496,-0.0773625,-0.240305,0,0,0,1.66723,0.347077,0.247127,-0.00367361,-0.0052443,-4.66407e-05,5,0.910311,2.00371,
1.48729,0.247278,1.15934,-0.045126,0.0292771,-0.0464409,0.0706275,0.297895,-0.0662731,-0.292886,0,0,0,1.66725,0.346996,0.247058,0.00690639,-0.00629061,-1.06326e-05,5,0.910085,2.01947,
1.49077,0.244863,1.16042,-0.0517035,0.0229621,-0.0488491,0.0743505,0.270771,-0.0102277,-0.222681,0,0,0,1.66723,0.347085,0.247106,-0.0070971,0.00357771,3.39965e-05,5,0.909304,2.03733,
1.4942,0.243484,1.16058,-0.0507519,0.021634,-0.0493762,0.0736673,0.180171,-0.15823,-0.00165147,0,0,0,1.6672,0.347062,0.247126,-0.000787599,-0.00828022,-1.38186e-05,5,0.908797,2.06537,
1.50201,0.240252,1.15978,-0.048252,0.0272846,-0.0483574,0.0731214,0.140695,-0.0661014,-0.0879306,0,0,0,1.66724,0.347075,0.247063,0.00765785,0.00374951,-7.88585e-06,5,0.908585,2.08053,
1.50582,0.239148,1.1609,-0.0436104,0.0228485,-0.0481498,0.0685112,0.324551,-0.149995,-0.0936899,0,0,0,1.66721,0.347016,0.24708,0.00400628,0.00329274,-3.52848e-08,5,0.908951,2.1031,
1.50975,0.237234,1.16114,-0.055331,0.0194327,-0.0500299,0.0767303,0.239556,-0.0956596,-0.019965,0,0,0,1.66718,0.34707,0.247032,-0.00389773,0.00698832,-4.7913e-05,5,0.909655,2.1231,
1.51413,0.236379,1.15996,-0.0543486,0.0210681,-0.0511129,0.0771414,0.113833,-0.246908,0.164208,0,0,0,1.66722,0.347165,0.247114,-0.00189514,-0.00115355,3.18095e-05,5,0.910129,2.14158,
1.51767,0.23478,1.16081,-0.0545543,0.0245236,-0.0495803,0.0772565,0.203359,-0.148463,-0.0308945,0,0,0,1.66719,0.347063,0.247101,-0.000285985,-0.0100038,-4.03063e-05,5,0.91169,2.15825,
1.52032,0.233479,1.16447,-0.0450356,0.0196908,-0.0503487,0.0700407,0.203913,-0.125442,-0.00487457,0,0,0,1.6672,0.347025,0.247066,-0.00120024,-0.00600284,8.34452e-06,5,0.91285,2.17588,
1.52445,0.232101,1.16481,-0.0527918,0.0109088,-0.0508064,0.0738739,0.192422,-0.0640751,0.0888561,0,0,0,1.66722,0.347105,0.247025,0.00688582,0.0138208,-2.22716e-05,5,0.915321,2.1938,
1.52771,0.231575,1.16742,-0.0463183,0.0146422,-0.0485855,0.0684607,0.203335,-0.0627077,0.0201868,0,0,0,1.66722,0.347079,0.24708,-0.00560489,-0.0115811,7.07867e-05,5,0.917166,2.21315,
1.53106,0.229842,1.16705,-0.0518987,0.0163912,-0.0516225,0.0747154,0.217229,-0.044806,0.0352855,0,0,0,1.66723,0.34705,0.247153,0.00259321,0.00308681,-8.14408e-06,5,0.91976,2.23326,
1.53417,0.22898,1.17095,-0.0449913,0.0202157,-0.0525105,0.0717068,0.222205,-0.0649059,-0.0527496,0,0,0,1.66721,0.346994,0.247115,0.000867621,-0.00906662,5.13952e-05,5,0.921377,2.25333,
1.53802,0.227809,1.17211,-0.049735,0.0176167,-0.0503843,0.0726478,0.169878,-0.099917,0.0997656,0,0,0,1.66723,0.347089,0.247104,0.00148844,-0.00315388,-2.75843e-05,5,0.926383,2.27297,
1.54406,0.225877,1.17626,-0.0510938,0.018839,-0.0514093,0.0745532,0.10617,-0.0848241,0.000630466,0,0,0,1.66723,0.347067,0.247116,-0.00171314,-0.00893345,2.49997e-05,5,0.930761,2.294,
1.54663,0.224773,1.18294,-0.0470719,0.0164623,-0.0498756,0.0702505,0.250409,-0.11093,0.129314,0,0,0,1.66723,0.347065,0.247098,0.00192215,0.00292959,3.05243e-05,5,0.934053,2.31331,
1.54905,0.223555,1.18786,-0.0427276,0.0115283,-0.0490016,0.0658419,0.177081,-0.115325,0.25596,0,0,0,1.66722,0.347095,0.247104,-0.00104582,-0.00794379,3.35071e-05,5,0.938512,2.33235,
1.55453,0.221866,1.19307,-0.045147,0.0237288,-0.0488771,0.0702659,0.113172,-0.10256,0.108373,0,0,0,1.6672,0.347088,0.247116,-0.00596006,-0.00212919,-7.2711e-06,5,0.939241,2.34985,
1.55693,0.220866,1.19653,-0.0521253,0.0260459,-0.0462702,0.0739783,0.247146,-0.0770703,0.165888,0,0,0,1.66717,0.347012,0.247097,-0.00538386,-0.00690048,2.71e-05,5,0.945092,2.37064,
1.55902,0.220375,1.20138,-0.0465883,0.0317684,-0.0459645,0.0722749,0.197096,-0.119913,0.135537,0,0,0,1.66723,0.347103,0.247141,-0.00266974,0.00209176,-1.31877e-05,5,0.950444,2.38679,
1.56132,0.219073,1.20544,-0.0419007,0.0364798,-0.0447668,0.0708617,0.153667,-0.0659656,0.173204,0,0,0,1.6672,0.34706,0.247111,0.000692085,-0.00161707,9.41008e-06,5,0.951801,2.401,
1.56401,0.21791,1.20875,-0.0465652,0.0252378,-0.0463066,0.0699609,0.134755,-0.0878455,0.167045,0,0,0,1.66723,0.347101,0.247095,-0.00593278,0.0018663,-7.66595e-06,5,0.956422,2.41718,
1.56617,0.217281,1.21342,-0.0466564,0.0350647,-0.0433149,0.0721867,0.162588,-0.0318522,0.115253,0,0,0,1.66721,0.347066,0.247023,-0.00132926,0.00948838,-2.02645e-05,5,0.961401,2.43341,
1.56857,0.216609,1.21516,-0.0451044,0.0347348,-0.0429424,0.0708306,0.214127,-0.0411967,0.0934197,0,0,0,1.66721,0.347082,0.247061,0.00646802,-0.000156902,-1.03636e-05,5,0.965358,2.45564,
1.57046,0.215273,1.22209,-0.0525191,0.0345724,-0.0426976,0.0754864,0.15967,-0.0500402,0.0852968,0,0,0,1.66721,0.347088,0.247103,-0.00173996,-0.00191872,7.95877e-06,5,0.967585,2.47059,
1.57279,0.214731,1.22594,-0.047116,0.0365639,-0.0415782,0.0722025,0.101034,-0.105337,0.273428,0,0,0,1.6672,0.347033,0.247111,0.000340153,-0.00135969,-1.6181e-05,5,0.97105,2.49157,
1.57535,0.213857,1.22727,-0.0521342,0.0400588,-0.0414823,0.0771741,0.13776,-0.120504,0.178126,0,0,0,1.66719,0.347054,0.247074,-0.00543796,0.00405754,-1.44762e-05,5,0.97433,2.50844,
1.57762,0.212926,1.23003,-0.057368,0.0403379,-0.0392567,0.0797959,0.154995,-0.0668643,0.0666247,0,0,0,1.66727,0.347134,0.247095,0.0023982,0.000594892,2.93659e-05,5,0.977192,2.52959,
1.57982,0.212086,1.23548,-0.0496227,0.0381491,-0.0413213,0.0744724,0.155651,-0.0370322,0.0673702,0,0,0,1.66719,0.347021,0.247134,-0.00350935,-0.00504294,6.48907e-05,5,0.979125,2.55109,
1.58242,0.211293,1.23636,-0.0566746,0.0412943,-0.0392738,0.0797913,0.167037,-0.00981413,0.132303,0,0,0,1.66724,0.347092,0.247093,0.00662648,0.00137764,5.70256e-05,5,0.982341,2.58316,
1.58688,0.209287,1.24239,-0.0589034,0.0412304,-0.0385422,0.0809958,0.116696,-0.00450711,-0.0387344,0,0,0,1.66721,0.347079,0.247127,-0.00745635,-0.0115558,2.63328e-05,5,0.983903,2.59954,
1.58944,0.209071,1.24028,-0.0617426,0.0455967,-0.0364062,0.0843375,0.214673,-0.000619088,0.139955,0,0,0,1.66722,0.347022,0.247127,0.000372915,0.000406114,5.76057e-06,5,0.984666,2.62073,
1.59391,0.207508,1.24463,-0.0659944,0.0467235,-0.0364167,0.0880381,0.15124,-0.0293746,-0.0801074,0,0,0,1.66723,0.347084,0.247124,0.00624601,0.0182506,-0.000145294,5,0.985021,2.63761,
1.59655,0.207668,1.24311,-0.0639497,0.0526277,-0.0358814,0.0895783,0.224377,-0.0338129,0.0668903,0,0,0,1.66725,0.34713,0.247129,-0.000915565,-0.000663002,2.89288e-05,5,0.985112,2.65826,
1.59878,0.207082,1.24461,-0.0723156,0.0446335,-0.035214,0.0913589,0.173209,0.0523818,-0.0894286,0,0,0,1.6672,0.347072,0.24711,-0.00549071,-0.00679406,3.71192e-05,5,0.984325,2.67506,
1.60088,0.206566,1.24688,-0.0658541,0.0449397,-0.0320512,0.0853668,0.180019,0.0172117,-0.0589101,0,0,0,1.66717,0.347033,0.247093,-0.00431529,-0.000543968,-2.49838e-06,5,0.983826,2.68913,
