0821_rse_led_circle_dist_C.csv
x,y,z,r,p,y,ori,vx,vy,vz,st_x,st_y,st_z,ugvx,ugvy,ugvz,ugv_vx,ugv_vy,ugv_vyaw,ms,dpth,t,
1.44322,0.269073,1.18115,-0.036761,0.0371867,-0.0353832,0.0627485,0.016838,0.0558067,-0.0253296,0,0,0,1.66722,0.347074,0.247118,0.00407127,0.0060387,7.92741e-06,6,0.920924,2.91668,
1.46242,0.258172,1.16955,-0.0478099,0.0323559,-0.0417126,0.0707631,0.0627499,0.101215,-0.0921448,0,0,0,1.66718,0.347074,0.247057,-0.0032777,0.000212552,6.99963e-05,5,0.918354,2.93861,
1.4701,0.254097,1.16816,-0.0446066,0.0244272,-0.0416928,0.0654127,0.350494,-0.242022,-0.176969,0,0,0,1.66722,0.347086,0.247051,-0.00467603,-0.00726431,-1.45366e-06,5,0.915302,2.95403,
1.47433,0.252222,1.16503,-0.0442943,0.0302798,-0.0454135,0.0698547,0.414901,-0.206476,-0.132368,0,0,0,1.66727,0.347079,0.247151,0.0103545,0.00613712,-1.6108e-05,5,0.913141,2.97393,
1.4786,0.250585,1.16382,-0.0431037,0.0291518,-0.0446922,0.0681792,0.300431,-0.137065,-0.157259,0,0,0,1.66724,0.347067,0.247136,-0.00358709,-0.00753852,5.6715e-05,5,0.912549,2.98886,
1.48279,0.248654,1.16031,-0.0427401,0.0327801,-0.04598,0.0703585,0.319863,-0.0407487,-0.186768,0,0,0,1.66724,0.347106,0.247131,0.00378344,0.00733346,3.11078e-05,5,0.910865,3.00834,
1.48715,0.247197,1.1593,-0.0450115,0.0291016,-0.0463776,0.0704443,0.291226,-0.0492247,-0.218417,0,0,0,1.66723,0.347077,0.247127,-0.00367361,-0.0052443,-4.66407e-05,5,0.910298,3.02294,
1.4912,0.245348,1.16049,-0.052356,0.0234063,-0.0489,0.0749634,0.297458,-0.0420952,-0.159638,0,0,0,1.66727,0.346996,0.247036,0.00516961,-0.000260197,-2.60042e-05,5,0.90985,3.04028,
1.49432,0.243392,1.16057,-0.0506687,0.021743,-0.049407,0.0736612,0.24627,-0.136506,0.00240885,0,0,0,1.66723,0.347059,0.247122,0.00344445,0.00569481,-1.26424e-06,5,0.908969,3.05964,
1.49884,0.242182,1.15688,-0.0508358,0.0324375,-0.0479005,0.076492,0.162621,-0.150831,0.0906611,0,0,0,1.66724,0.347075,0.247063,0.00765785,0.00374951,-7.88585e-06,5,0.9087,3.08349,
1.5021,0.240375,1.15972,-0.0483379,0.0273791,-0.0483828,0.0732276,0.244461,-0.0419338,-0.113171,0,0,0,1.66726,0.347119,0.247129,0.0028551,0.00325688,4.77547e-05,5,0.908645,3.10035,
1.50582,0.239147,1.16091,-0.0436222,0.0228154,-0.0481524,0.06851,0.202647,-0.10129,0.0720267,0,0,0,1.66721,0.347016,0.24708,0.00400628,0.00329274,-3.52848e-08,5,0.908932,3.11539,
1.50975,0.237235,1.16114,-0.0553242,0.0194445,-0.0500289,0.0767276,0.181365,-0.063561,0.0951547,0,0,0,1.6672,0.347065,0.247071,-0.00760112,0.0052965,-1.33395e-05,5,0.909153,3.13146,
1.51427,0.236443,1.15995,-0.0544768,0.0212093,-0.0511412,0.0772854,0.0317992,-0.328285,0.365975,0,0,0,1.66721,0.34714,0.247071,0.00120482,0.0299873,9.72621e-05,5,0.910165,3.14689,
1.51771,0.234858,1.16083,-0.0546078,0.0245432,-0.0495564,0.0772847,0.198285,-0.0378147,0.00866714,0,0,0,1.66719,0.347063,0.247101,-0.000285985,-0.0100038,-4.03063e-05,5,0.911694,3.16384,
1.52032,0.233393,1.16451,-0.0448869,0.0197079,-0.0503983,0.0699862,0.215898,-0.033167,0.0274077,0,0,0,1.66719,0.347023,0.247072,-0.00247318,0.00161765,5.72628e-05,5,0.91213,3.17712,
1.52439,0.232074,1.16487,-0.0527939,0.0108413,-0.0507985,0.0738613,0.174857,-0.0817853,0.165569,0,0,0,1.6672,0.347025,0.247066,-0.00120024,-0.00600284,8.34452e-06,5,0.912829,3.19264,
