0821_rse_led_circle_dist_D.csv
x,y,z,r,p,y,ori,vx,vy,vz,st_x,st_y,st_z,ugvx,ugvy,ugvz,ugv_vx,ugv_vy,ugv_vyaw,ms,dpth,t,
1.44332,0.269112,1.18117,-0.0367083,0.0372535,-0.0354562,0.0627976,0.0139641,0.0446964,-0.038147,0,0,0,1.66722,0.347074,0.247118,0.00407127,0.0060387,7.92741e-06,6,0.92147,7.92855,
1.46242,0.258171,1.16955,-0.0478227,0.0323493,-0.0417139,0.0707695,0.0539029,0.0852815,-0.0912188,0,0,0,1.66718,0.347074,0.247057,-0.0032777,0.000212552,6.99963e-05,5,0.918354,7.94894,
1.46596,0.256052,1.16855,-0.0442704,0.0391878,-0.0408697,0.071374,1.19303,-0.568111,-0.748592,0,0,0,1.6672,0.347078,0.247024,0.00225159,0.00732327,4.22193e-05,5,0.917299,7.96276,
1.47011,0.254063,1.16819,-0.0445631,0.0243891,-0.0417724,0.0654198,0.223382,-0.114797,-0.0672178,0,0,0,1.66723,0.347041,0.247058,0.00618086,-0.00854707,2.50833e-05,5,0.914774,7.98331,
1.47442,0.252199,1.16503,-0.0445054,0.0304027,-0.0454537,0.0700638,0.304314,-0.1116,-0.0869915,0,0,0,1.66724,0.347067,0.247136,-0.00358709,-0.00753852,5.6715e-05,5,0.912549,7.99944,
1.47849,0.250528,1.1637,-0.042875,0.029248,-0.04462,0.0680304,0.261171,-0.13872,-0.193464,0,0,0,1.66721,0.347042,0.247084,0.00103608,0.00274424,-3.45087e-05,5,0.911841,8.01509,
1.48274,0.248624,1.16021,-0.0428344,0.0328438,-0.0459523,0.0704257,0.289064,-0.0256514,-0.156324,0,0,0,1.66723,0.347077,0.247127,-0.00367361,-0.0052443,-4.66407e-05,5,0.910298,8.02844,
1.48742,0.247363,1.15923,-0.0450529,0.0298657,-0.0464406,0.0708187,0.296208,-0.061289,-0.255129,0,0,0,1.66725,0.346996,0.247058,0.00690639,-0.00629061,-1.06326e-05,5,0.910133,8.04442,
1.49077,0.244863,1.16042,-0.0516959,0.0229762,-0.0488477,0.0743484,0.268396,-0.000656052,-0.115903,0,0,0,1.66723,0.347085,0.247106,-0.0070971,0.00357771,3.39965e-05,5,0.909304,8.06482,
1.4943,0.243313,1.1605,-0.0504738,0.021991,-0.049286,0.073518,0.220383,-0.0687037,0.0658298,0,0,0,1.6672,0.347097,0.247133,-0.00190027,0.00601101,-1.42553e-05,5,0.908925,8.08165,
1.49884,0.242183,1.15688,-0.0508273,0.0324507,-0.0478991,0.076491,0.151767,-0.146287,0.091699,0,0,0,1.66724,0.347075,0.247063,0.00765785,0.00374951,-7.88585e-06,5,0.908797,8.09762,
1.50209,0.240394,1.15964,-0.0480346,0.0278085,-0.0483234,0.0731471,0.262818,-0.0376971,-0.195179,0,0,0,1.66726,0.347119,0.247129,0.0028551,0.00325688,4.77547e-05,5,0.908645,8.1119,
1.50582,0.239148,1.16091,-0.0436118,0.0228395,-0.0481502,0.0685096,0.169097,-0.124341,0.179451,0,0,0,1.66721,0.347016,0.24708,0.00400628,0.00329274,-3.52848e-08,5,0.908966,8.12803,
1.50981,0.237461,1.16116,-0.0555126,0.0195302,-0.0500441,0.0768922,0.282245,-0.051955,-0.0225771,0,0,0,1.66718,0.34707,0.247032,-0.00389773,0.00698832,-4.7913e-05,5,0.909655,8.15025,
1.51414,0.236378,1.15992,-0.0543289,0.0212152,-0.0511057,0.0771606,0.0350252,-0.340418,0.348887,0,0,0,1.66721,0.34714,0.247071,0.00120482,0.0299873,9.72621e-05,5,0.910129,8.16513,
