0821_rse_led_hover_A.csv
x,y,z,r,p,y,ori,vx,vy,vz,st_x,st_y,st_z,ugvx,ugvy,ugvz,ugv_vx,ugv_vy,ugv_vyaw,ms,dpth,t,
0.570465,0.754856,1.11468,0,0,0,0.111673,-0.016572,-0.013767,0.0169303,0,0,0,0.547576,0.824183,0.272974,0.00444947,-0.00182432,2.38604e-05,6,0.818689,6.22512,
0.568266,0.754643,1.11536,6.67069e+186,3.29887e-315,6.92046e-310,0.109426,0.0322674,0.0616087,0.201995,0,0,0,0.547593,0.824204,0.272996,0.00108243,0.00282376,3.85165e-05,5,0.818812,6.24956,
0.568248,0.754573,1.11539,6.67069e+186,3.38153e-315,6.92046e-310,0.110831,-0.0543357,0.0274767,0.11575,0,0,0,0.547595,0.824185,0.273015,0.000993346,0.000365406,-2.22409e-05,5,0.818829,6.26176,
0.568046,0.754437,1.11501,6.67069e+186,3.46419e-315,6.92046e-310,0.110599,0.00767353,0.0578502,0.0270678,0,0,0,0.54759,0.824157,0.273012,-0.00409106,-0.00218914,-5.14056e-06,5,0.818923,6.27829,
0.567684,0.754495,1.11595,6.67069e+186,3.54685e-315,6.92046e-310,0.109414,0.0114438,0.0228056,0.0246765,0,0,0,0.547577,0.824183,0.273014,-0.00365905,0.00335501,8.56866e-06,5,0.818959,6.29317,
0.567469,0.75427,1.11702,6.67069e+186,3.62951e-315,6.92046e-310,0.110735,-0.0153239,0.0448477,0.049211,0,0,0,0.547592,0.82418,0.272991,5.31631e-05,-0.0027997,1.5615e-05,5,0.818936,6.31217,
0.566927,0.754345,1.11603,6.67069e+186,3.71217e-315,6.92046e-310,0.109513,0.00283983,0.044515,0.0600875,0,0,0,0.547582,0.824162,0.273021,-0.00666639,0.000864249,6.38708e-06,5,0.819105,6.32591,
0.566857,0.754309,1.11607,6.67069e+186,3.79482e-315,6.92045e-310,0.109499,0.0141826,0.0413935,-0.0059203,0,0,0,0.547583,0.824157,0.273027,0.000464282,-0.00135737,4.88307e-05,5,0.819086,6.34156,
0.566563,0.754265,1.11515,6.67069e+186,3.87748e-315,6.92046e-310,0.110668,0.00324783,0.0328363,0.0203861,0,0,0,0.547587,0.824184,0.273018,-0.0012919,0.00221991,3.11466e-05,5,0.819114,6.35408,
0.566497,0.754203,1.11571,6.67069e+186,3.96014e-315,6.92046e-310,0.1104,-0.00167288,0.022924,-0.00549176,0,0,0,0.547592,0.824194,0.273013,0.0004271,0.000744249,1.37263e-05,5,0.819124,6.36877,
0.566398,0.754183,1.11489,6.67069e+186,4.04279e-315,6.92046e-310,0.108878,-0.00188208,0.000838537,0.0539889,0,0,0,0.547585,0.824197,0.272997,-0.000875632,-0.00139102,4.53421e-05,5,0.819133,6.38502,
