0821_rse_led_hover_C.csv
x,y,z,r,p,y,ori,vx,vy,vz,st_x,st_y,st_z,ugvx,ugvy,ugvz,ugv_vx,ugv_vy,ugv_vyaw,ms,dpth,t,
0.570474,0.754752,1.1147,0,0,0,0.111592,0.0648737,0.0261457,-0.0457748,0,0,0,0.547577,0.824194,0.273004,0.00479073,0.000808224,-2.21589e-05,6,0.818613,5.64694,
0.568315,0.75474,1.11475,6.67069e+186,3.21621e-315,6.94548e-310,0.109515,0.0245555,0.016135,-0.000684032,0,0,0,0.547605,0.824176,0.272976,0.000274131,-0.000892602,1.21664e-05,5,0.818721,5.66759,
0.568188,0.754491,1.11534,6.67069e+186,3.38153e-315,6.94548e-310,0.110795,-0.0671646,-0.0257787,0.0487398,0,0,0,0.547593,0.824204,0.272996,0.00108243,0.00282376,3.85165e-05,5,0.818831,5.68464,
0.568068,0.754481,1.11501,6.67069e+186,3.46419e-315,6.94547e-310,0.110608,-0.0170342,-0.00313354,0.0239246,0,0,0,0.547592,0.824171,0.273015,0.00131062,-0.00120627,-2.66384e-05,5,0.818888,5.69791,
0.567641,0.754402,1.11594,6.67069e+186,3.54685e-315,6.94548e-310,0.109354,0.0126528,0.0371676,-0.0379001,0,0,0,0.54759,0.824157,0.273012,-0.00409106,-0.00218914,-5.14056e-06,5,0.818948,5.71161,
0.567469,0.75427,1.11702,6.67069e+186,3.62951e-315,6.94548e-310,0.110736,-0.0445085,0.038949,0.0121593,0,0,0,0.547592,0.82418,0.272991,5.31631e-05,-0.0027997,1.5615e-05,5,0.818936,5.72817,
0.566992,0.754301,1.11607,6.67069e+186,3.71217e-315,6.94548e-310,0.10952,-0.0424897,0.0322942,0.0305706,0,0,0,0.547592,0.82418,0.272991,5.31631e-05,-0.0027997,1.5615e-05,5,0.818936,5.74376,
0.566923,0.754304,1.11606,6.67069e+186,3.79482e-315,6.94548e-310,0.109481,-0.0702468,0.0172903,-0.00225691,0,0,0,0.547582,0.824162,0.273021,-0.00666639,0.000864249,6.38708e-06,5,0.81921,5.76075,
0.566538,0.754234,1.11514,6.67069e+186,3.87748e-315,6.94548e-310,0.110629,-0.0289071,0.00773714,0.000889809,0,0,0,0.547587,0.824184,0.273018,-0.0012919,0.00221991,3.11466e-05,5,0.819122,5.78022,
0.566441,0.754153,1.11571,6.67069e+186,3.96014e-315,6.94548e-310,0.110382,-0.037017,0.00380462,-0.0290633,0,0,0,0.547587,0.824184,0.273018,-0.0012919,0.00221991,3.11466e-05,5,0.819122,5.79539,
0.566327,0.754278,1.11489,6.67069e+186,4.04279e-315,6.94546e-310,0.108958,-0.0234743,-0.0321793,0.0327603,0,0,0,0.547585,0.824197,0.272997,-0.000875632,-0.00139102,4.53421e-05,5,0.819136,5.81093,
0.566238,0.754114,1.11477,6.67069e+186,4.12545e-315,6.94548e-310,0.107529,3.08473e-05,-0.00511703,-0.0235512,0,0,0,0.547598,0.824183,0.272988,-0.00392696,-0.00216426,1.94723e-05,5,0.819106,5.82863,
0.566238,0.754114,1.11477,6.67069e+186,4.2081e-315,6.94548e-310,0.107529,-0.0016452,-0.0113889,-0.0119263,0,0,0,0.547598,0.824183,0.272988,-0.00392696,-0.00216426,1.94723e-05,5,0.819106,5.84667,
0.56605,0.754006,1.11445,6.67069e+186,4.29076e-315,6.94548e-310,0.108743,0.0191504,0.0216077,-0.0256567,0,0,0,0.547605,0.824167,0.273039,0.00137235,-0.00169026,-1.03519e-05,5,0.819005,5.86293,
0.565868,0.753818,1.11571,6.67069e+186,4.37341e-315,6.94548e-310,0.108641,0.0360085,-0.00145007,-0.0321906,0,0,0,0.547595,0.82416,0.27304,0.0031794,0.00202516,3.19763e-05,5,0.818802,5.8772,
0.565312,0.753537,1.11507,6.67069e+186,4.45606e-315,6.94548e-310,0.110991,-0.00135591,0.0259206,0.0196885,0,0,0,0.547562,0.824211,0.273014,-0.00477333,0.00249422,-2.92976e-05,5,0.818706,5.89794,
0.565165,0.75314,1.11738,6.67069e+186,4.53872e-315,6.94548e-310,0.109385,-0.0116966,0.0189719,-0.0251705,0,0,0,0.547562,0.824211,0.273014,-0.00477333,0.00249422,-2.92976e-05,5,0.818706,5.91191,
0.565068,0.75299,1.11681,6.67069e+186,4.62137e-315,6.94548e-310,0.109035,-0.0240526,0.0138591,0.0622832,0,0,0,0.547592,0.824192,0.272957,0.00520409,0.00208436,2.05325e-06,5,0.818355,5.93067,
0.564763,0.752861,1.11563,6.67069e+186,4.70402e-315,6.94548e-310,0.110581,-0.0207612,0.0205894,-0.00510859,0,0,0,0.547592,0.824192,0.272957,0.00520409,0.00208436,2.05325e-06,5,0.818355,5.94569,
0.564727,0.753032,1.1149,6.67069e+186,4.7867e-315,6.94548e-310,0.11051,-0.0391308,-0.0131325,-0.0192754,0,0,0,0.547606,0.824184,0.272988,0.00134217,0.00151283,1.91677e-05,5,0.818077,5.9657,
0.564544,0.752847,1.11397,6.67069e+186,4.86938e-315,6.94548e-310,0.111776,-0.0307266,0.0103171,-0.0320047,0,0,0,0.547584,0.824217,0.27301,-0.00486529,0.00614325,1.88282e-05,5,0.817833,5.98132,
0.564392,0.752858,1.11358,6.6707e+186,1.14096e-317,6.94548e-310,0.108926,-0.00740669,-0.00484079,-0.0512908,0,0,0,0.547589,0.824206,0.273019,-0.00331717,-0.00187897,-2.3045e-05,5,0.81774,5.99608,
0.564304,0.752447,1.11461,6.6707e+186,9.40918e-317,6.94548e-310,0.110507,-0.0227309,-0.0317399,-0.00684122,0,0,0,0.547564,0.82418,0.273021,-0.0001574,-0.00372867,1.41877e-05,5,0.817508,6.01525,
0.564229,0.752195,1.11501,6.6707e+186,1.76773e-316,6.94548e-310,0.110945,0.0031843,-0.021684,0.030012,0,0,0,0.547563,0.824144,0.272985,0.00235341,0.000891999,1.71665e-05,5,0.817218,6.02892,
0.563966,0.752042,1.11504,6.6707e+186,2.59459e-316,6.94548e-310,0.109665,0.00530854,-0.0168594,0.0320678,0,0,0,0.547563,0.824144,0.272985,0.00235341,0.000891999,1.71665e-05,5,0.817218,6.04537,
0.563817,0.751904,1.11253,6.6707e+186,3.4214e-316,6.94548e-310,0.111168,-0.0393156,-0.0199528,0.0398945,0,0,0,0.547654,0.824217,0.273013,-0.00100947,-0.00307223,6.00072e-05,5,0.816733,6.06637,
0.563686,0.751772,1.11331,6.6707e+186,4.2482e-316,6.94548e-310,0.108673,-0.0275773,-0.0364612,-0.0677611,0,0,0,0.547606,0.824179,0.273012,-0.00532712,-0.00340367,-2.17056e-06,5,0.816184,6.07982,
0.563037,0.751591,1.11086,6.6707e+186,5.07498e-316,6.94548e-310,0.109919,0.0102576,0.00352456,-0.0200753,0,0,0,0.547554,0.824162,0.273052,0.00258474,-0.00190697,-1.85986e-05,5,0.815852,6.09806,
0.562809,0.751078,1.11293,6.6707e+186,5.90176e-316,6.94548e-310,0.111953,-0.0105545,0.0571768,-0.134544,0,0,0,0.547552,0.824182,0.273018,-0.00215818,0.00123507,1.3323e-05,5,0.815382,6.11802,
0.562645,0.750951,1.11197,6.6707e+186,6.72854e-316,6.94548e-310,0.113278,-0.0235112,-0.0669842,0.0776751,0,0,0,0.547592,0.824183,0.27302,0.00361622,0.00203236,-3.02357e-05,5,0.815019,6.12991,
0.562589,0.750721,1.11234,6.6707e+186,7.55531e-316,6.94548e-310,0.113022,-0.0162844,0.00250528,-0.028929,0,0,0,0.547665,0.824203,0.272968,0.00817068,0.00486437,-2.85356e-05,5,0.814336,6.14713,
0.562429,0.750723,1.11209,6.6707e+186,8.38207e-316,6.94548e-310,0.11025,0.0136722,-0.0238096,0.00750204,0,0,0,0.547659,0.824213,0.272964,0.000785516,0.00240021,-1.55322e-05,5,0.814076,6.16469,
0.561917,0.750209,1.11046,6.6707e+186,9.20887e-316,6.94548e-310,0.10829,-0.0193171,-0.0258398,0.0102006,0,0,0,0.547588,0.824167,0.272984,-0.00645452,-0.00194162,2.66011e-06,5,0.813563,6.18195,
0.561004,0.749856,1.10838,6.6707e+186,1.08624e-315,6.94548e-310,0.112181,-0.00870263,-0.0118615,-0.0244555,0,0,0,0.547581,0.82418,0.273003,0.0071247,0.000879431,3.22849e-07,5,0.811959,6.22264,
0.560893,0.74953,1.10832,6.6707e+186,1.16891e-315,6.94548e-310,0.112702,-0.0448231,-0.0106266,-0.080951,0,0,0,0.547587,0.824231,0.273001,0.000254846,0.00252937,-2.15617e-05,5,0.811415,6.24006,
0.560602,0.749366,1.10886,6.6707e+186,1.25158e-315,6.94548e-310,0.111665,-0.037615,-0.0399553,-0.0119248,0,0,0,0.54761,0.824185,0.273004,-0.0053907,-0.00043393,5.10249e-06,5,0.810682,6.25476,
0.560406,0.74914,1.10714,6.6707e+186,1.33426e-315,6.94547e-310,0.110553,-0.0125168,-0.019582,0.0127974,0,0,0,0.54761,0.8242,0.273023,-0.00300595,0.00125773,-1.16696e-05,5,0.809817,6.26952,
0.559794,0.748919,1.10578,6.6707e+186,1.41693e-315,6.94548e-310,0.11202,-0.052387,-0.0127836,-0.0415842,0,0,0,0.547576,0.824195,0.273032,-0.00164885,-0.004409,-3.65428e-06,5,0.809125,6.28427,
0.559387,0.748419,1.10494,6.6707e+186,1.4996e-315,6.94547e-310,0.111359,-0.00274497,-0.00333014,-0.0826869,0,0,0,0.547554,0.824197,0.273001,0.00529353,0.000661485,-2.97703e-05,5,0.808541,6.2989,
0.558883,0.748239,1.10439,6.6707e+186,1.58227e-315,6.94548e-310,0.111808,-0.0268146,-0.018648,-0.0491858,0,0,0,0.54759,0.824164,0.272973,0.00204747,0.000445466,5.60165e-05,5,0.807836,6.31586,
