0821_rse_led_linear_A.csv
x,y,z,r,p,y,ori,vx,vy,vz,st_x,st_y,st_z,ugvx,ugvy,ugvz,ugv_vx,ugv_vy,ugv_vyaw,ms,dpth,t,
1.41449,0.799567,1.28312,-0.0542478,0.0153634,-0.0917551,0.107327,0.0398371,0.0696924,-0.0830909,0,0,0,1.40213,0.872192,0.275452,0.00400187,0.000387302,-4.3004e-06,6,0.987656,16.8415,
1.41384,0.800025,1.27988,-0.056262,0.0139552,-0.0907834,0.107369,0.0426133,-0.00131683,-0.0765424,0,0,0,1.40217,0.872234,0.275458,-0.000457258,-0.00529357,3.13794e-05,5,0.987523,16.8615,
1.41376,0.799655,1.28058,-0.0591813,0.0103067,-0.0921673,0.109748,-0.00141757,0.0242234,-0.162202,0,0,0,1.40214,0.872272,0.275456,0.000784167,0.00264985,-2.02172e-06,5,0.987428,16.8787,
1.4137,0.799781,1.28146,-0.060554,0.00759157,-0.0916016,0.109866,0.0132269,0.0262038,-0.0714674,0,0,0,1.40217,0.872228,0.275471,0.00418978,-0.00853489,3.24999e-05,5,0.987499,16.8955,
1.41345,0.799886,1.28097,-0.0524993,0.0146331,-0.0917976,0.106416,0.00946591,-0.00151823,0.00089861,0,0,0,1.40215,0.872273,0.275459,-0.00549735,0.000178581,-3.40689e-05,5,0.987297,16.9131,
1.41351,0.799891,1.28096,-0.0524271,0.0147388,-0.0918804,0.106465,-0.0193486,-0.0294638,0.0091708,0,0,0,1.40211,0.872219,0.275455,-0.00119362,-0.00618054,5.75991e-06,5,0.987239,16.9284,
1.41318,0.799796,1.28152,-0.0537862,0.017557,-0.092216,0.107776,-0.0125672,-0.00625347,-0.000392958,0,0,0,1.40215,0.872239,0.275487,0.00284854,0.00221959,5.98472e-06,5,0.987562,16.945,
1.41315,0.799963,1.27962,-0.0508651,0.0239036,-0.0915739,0.106915,-0.00151729,0.00317248,0.000644112,0,0,0,1.40216,0.87222,0.275469,0.00545307,-0.00476117,2.64901e-05,5,0.98729,16.9587,
1.41308,0.800073,1.28156,-0.0536651,0.019704,-0.0913459,0.1073,-0.0250521,0.00746682,-0.0590747,0,0,0,1.40217,0.872255,0.27547,-0.00209895,0.00144031,3.84336e-06,5,0.98749,16.9793,
1.41303,0.799904,1.28116,-0.0585463,0.0180474,-0.0924084,0.110419,-0.0771571,-0.0384039,0.118534,0,0,0,1.40214,0.87222,0.275423,-0.00358972,0.00217224,-2.72362e-06,5,0.987577,16.9967,
1.41285,0.799942,1.28085,-0.0555242,0.0187203,-0.0916465,0.108327,-0.000435951,-0.0417733,0.0178088,0,0,0,1.40211,0.872229,0.275448,-0.00206661,0.000388895,-8.35432e-06,5,0.987744,17.0133,
1.41298,0.800141,1.28169,-0.0558582,0.0162301,-0.0917178,0.108213,-0.0250873,-0.012492,-0.00105741,0,0,0,1.40213,0.87221,0.275363,0.00214767,-0.00155606,-3.02927e-05,5,0.987783,17.026,
1.41291,0.800267,1.28273,-0.0588643,0.01742,-0.0910613,0.109383,-0.0166837,0.00138168,0.0217016,0,0,0,1.40213,0.87221,0.275363,0.00214767,-0.00155606,-3.02927e-05,5,0.987783,17.0412,
1.41288,0.800153,1.28233,-0.0566043,0.01635,-0.091334,0.108288,0.0335127,-0.0016304,0.00816049,0,0,0,1.40214,0.872229,0.275436,0.00539076,0.00615138,-6.8643e-05,5,0.987969,17.0585,
1.41301,0.800217,1.28234,-0.0609937,0.0162506,-0.090678,0.110064,0.0120395,0.0243379,-0.027781,0,0,0,1.40216,0.872256,0.275469,0.00181955,0.00105827,-3.98811e-06,5,0.98781,17.0736,
1.41295,0.800194,1.28295,-0.0651907,0.0155687,-0.0899196,0.111729,-0.0227596,-0.0244672,0.0322714,0,0,0,1.40217,0.872256,0.27547,0.00388202,0.00057201,-8.1129e-06,5,0.987955,17.0932,
1.41313,0.800325,1.28443,-0.0640061,0.00758153,-0.0901342,0.110598,-0.0101115,-0.0357882,0.0381999,0,0,0,1.40213,0.872221,0.275473,-0.00651569,-0.00502017,1.0536e-05,5,0.987906,17.1097,
1.41295,0.800375,1.28562,-0.0649961,0.00592356,-0.0889258,0.110138,0.036039,0.0270895,0.0146063,0,0,0,1.40211,0.872203,0.275461,0.00175588,0.00351883,3.59406e-05,5,0.987802,17.1264,
