0821_rse_led_linear_B.csv
x,y,z,r,p,y,ori,vx,vy,vz,st_x,st_y,st_z,ugvx,ugvy,ugvz,ugv_vx,ugv_vy,ugv_vyaw,ms,dpth,t,
1.41463,0.799674,1.28312,-0.0543441,0.0154561,-0.0917404,0.107374,0.00593435,0.0476985,-0.0306092,0,0,0,1.40216,0.872261,0.275445,0.000942596,0.0071246,-2.80804e-05,6,0.987533,4.36878,
1.41391,0.799883,1.27988,-0.0561406,0.0140476,-0.0907401,0.10728,-0.0325248,0.0131411,-0.0186512,0,0,0,1.40214,0.872231,0.275404,-0.00730272,-0.00146477,-1.79176e-06,5,0.987483,4.39654,
1.4137,0.799782,1.28146,-0.0605427,0.0076125,-0.0916014,0.109861,-0.00960093,0.0345877,-0.108696,0,0,0,1.40217,0.872228,0.275471,0.00418978,-0.00853489,3.24999e-05,5,0.987499,4.41915,
1.41343,0.799887,1.28096,-0.0524363,0.0146184,-0.0918485,0.106428,0.00656087,-0.0318175,0.00797117,0,0,0,1.40215,0.872273,0.275459,-0.00549735,0.000178581,-3.40689e-05,5,0.987267,4.43678,
1.41351,0.799891,1.28096,-0.0524303,0.0147372,-0.0918803,0.106466,-0.0204889,-0.0411545,0.0123649,0,0,0,1.40211,0.872219,0.275455,-0.00119362,-0.00618054,5.75991e-06,5,0.987239,4.45302,
1.41329,0.799883,1.28155,-0.0538826,0.0176538,-0.0922681,0.107881,0.025261,-0.00708374,-0.0365865,0,0,0,1.40215,0.872239,0.275487,0.00284854,0.00221959,5.98472e-06,5,0.987567,4.47134,
1.41329,0.800042,1.27962,-0.0509534,0.0240132,-0.0915559,0.106963,0.0129455,0.00290035,-0.0133145,0,0,0,1.40216,0.872247,0.275469,-0.00115059,0.000264721,1.50407e-05,5,0.98757,4.48541,
1.41308,0.800073,1.28156,-0.0536653,0.0197021,-0.0913459,0.1073,-0.0194748,0.00740557,-0.0645723,0,0,0,1.40217,0.872255,0.27547,-0.00209895,0.00144031,3.84336e-06,5,0.98749,4.50123,
1.41303,0.799904,1.28116,-0.0585463,0.0180467,-0.0924084,0.110419,-0.0749694,-0.0383717,0.116177,0,0,0,1.40214,0.87222,0.275423,-0.00358972,0.00217224,-2.72362e-06,5,0.987577,4.52006,
1.41295,0.800031,1.28089,-0.0556075,0.0188313,-0.0917083,0.108437,-0.0180405,0.0100115,0.00577682,0,0,0,1.40211,0.872229,0.275448,-0.00206661,0.000388895,-8.35432e-06,5,0.987749,4.53851,
