0821_rse_led_linear_C.csv
x,y,z,r,p,y,ori,vx,vy,vz,st_x,st_y,st_z,ugvx,ugvy,ugvz,ugv_vx,ugv_vy,ugv_vyaw,ms,dpth,t,
1.41463,0.799674,1.28312,0,0,0,0.107374,0.00593435,0.0476985,-0.0306092,0,0,0,1.40216,0.872261,0.275445,0.000942596,0.0071246,-2.80804e-05,6,0.987533,3.96523,
1.41391,0.799882,1.27988,6.67147e+186,1.03958e-316,6.92002e-310,0.107291,-0.0256747,-0.00557257,0.0272908,0,0,0,1.40214,0.872231,0.275404,-0.00730272,-0.00146477,-1.79176e-06,5,0.987483,3.98366,
1.41375,0.799759,1.28061,6.67147e+186,1.86787e-316,6.92002e-310,0.109773,-0.027478,0.0243268,-0.114785,0,0,0,1.40214,0.872272,0.275456,0.000784167,0.00264985,-2.02172e-06,5,0.987397,3.99633,
1.4137,0.799781,1.28146,6.67147e+186,2.69616e-316,6.92006e-310,0.109865,0.0133312,0.0387283,-0.0640052,0,0,0,1.40217,0.872228,0.275471,0.00418978,-0.00853489,3.24999e-05,5,0.987499,4.00913,
1.41347,0.799897,1.28097,6.67147e+186,3.52449e-316,6.92002e-310,0.106424,0.00172504,-0.0161436,0.0312237,0,0,0,1.40217,0.87226,0.275454,0.00365682,0.00385122,-5.75834e-05,5,0.987371,4.02306,
1.41343,0.799887,1.28096,6.67147e+186,4.35278e-316,6.92002e-310,0.10642,0.00333772,-0.0354461,-0.00356653,0,0,0,1.40215,0.872273,0.275459,-0.00549735,0.000178581,-3.40689e-05,5,0.987267,4.0404,
1.41318,0.799796,1.28152,6.67147e+186,5.18106e-316,6.92002e-310,0.107774,-0.0138081,0.012022,0.00336405,0,0,0,1.40212,0.872221,0.275474,0.00085514,0.00171077,-1.89337e-05,5,0.987391,4.05585,
1.41314,0.799972,1.2796,6.67147e+186,6.00934e-316,6.92002e-310,0.106891,0.022261,0.0142681,-0.011075,0,0,0,1.40216,0.87222,0.275469,0.00545307,-0.00476117,2.64901e-05,5,0.987294,4.07192,
1.41297,0.800011,1.28156,6.67147e+186,6.83764e-316,6.92002e-310,0.107256,-0.0152031,0.0440133,-0.0803081,0,0,0,1.40216,0.872247,0.275469,-0.00115059,0.000264721,1.50407e-05,5,0.987545,4.09015,
1.41303,0.799888,1.28119,6.67147e+186,7.66592e-316,6.92002e-310,0.110423,0.0678327,0.0505731,-0.0563561,0,0,0,1.40216,0.872231,0.275487,0.000848244,0.00213819,-3.81372e-05,5,0.98756,4.10606,
1.41286,0.799942,1.28085,6.67147e+186,8.4942e-316,6.92002e-310,0.108325,0.0403551,-0.036872,-0.00721203,0,0,0,1.40214,0.872227,0.275447,0.000529124,0.00139977,-1.20194e-05,5,0.987663,4.12535,
1.41294,0.800097,1.28166,6.67147e+186,9.32249e-316,6.92002e-310,0.108172,0.0182975,0.0207469,-0.0321109,0,0,0,1.40211,0.872229,0.275448,-0.00206661,0.000388895,-8.35432e-06,5,0.987778,4.14006,
1.41291,0.800267,1.28273,6.67147e+186,1.01508e-315,6.92002e-310,0.109381,-0.0130821,0.0120447,0.0271439,0,0,0,1.40213,0.87221,0.275363,0.00214767,-0.00155606,-3.02927e-05,5,0.987783,4.15797,
1.41297,0.800194,1.28233,6.67147e+186,1.09791e-315,6.92002e-310,0.10833,0.0631697,0.00769856,-0.00792995,0,0,0,1.40214,0.872229,0.275436,0.00539076,0.00615138,-6.8643e-05,5,0.987967,4.17334,
1.41301,0.800217,1.28234,6.67147e+186,1.18074e-315,6.92002e-310,0.110062,-0.00180974,0.0447606,-0.0114187,0,0,0,1.40214,0.872258,0.275459,-0.000292893,0.00180438,-5.17587e-06,5,0.98795,4.18963,
1.41292,0.80029,1.28294,6.67147e+186,1.26357e-315,6.92002e-310,0.111807,-0.0441823,-0.0501583,0.0835779,0,0,0,1.40216,0.872254,0.275449,-0.000583751,-0.000230123,4.41235e-05,5,0.987851,4.21039,
1.41308,0.800366,1.28444,6.67147e+186,1.3464e-315,6.92002e-310,0.110589,-0.00183574,-0.0393881,0.0413526,0,0,0,1.40213,0.872221,0.275473,-0.00651569,-0.00502017,1.0536e-05,5,0.987907,4.22434,
1.41295,0.800375,1.28562,6.67147e+186,1.42922e-315,6.92002e-310,0.110135,0.0371935,0.0356589,0.0211704,0,0,0,1.40211,0.872203,0.275461,0.00175588,0.00351883,3.59406e-05,5,0.987802,4.24442,
1.41313,0.800876,1.28411,6.67147e+186,1.51205e-315,6.92002e-310,0.109171,-0.0141641,0.0292251,0.0707237,0,0,0,1.40211,0.872205,0.275438,-0.00066952,-0.00019242,4.92491e-05,5,0.987669,4.25684,
1.41354,0.801189,1.2832,6.67147e+186,1.59488e-315,6.92002e-310,0.108031,0.00364239,0.0574845,-0.0478796,0,0,0,1.40216,0.872278,0.275465,-0.0012292,-0.000530805,8.99775e-06,5,0.987627,4.27852,
1.41339,0.801409,1.283,6.67147e+186,1.67771e-315,6.92002e-310,0.105619,-0.0211526,-0.00567114,-0.00306921,0,0,0,1.40215,0.872233,0.275443,-0.00556006,-0.00868093,2.33367e-05,5,0.987449,4.29081,
1.41345,0.801487,1.28195,6.67147e+186,1.76054e-315,6.92002e-310,0.105701,-0.0102402,0.0283202,-0.0264606,0,0,0,1.40215,0.872206,0.275434,-0.00485984,0.000868408,-2.76645e-05,5,0.987226,4.3104,
1.41345,0.801721,1.28176,6.67147e+186,1.84337e-315,6.92002e-310,0.104192,-0.00835999,0.0219256,-0.0487453,0,0,0,1.40215,0.872206,0.275434,-0.00485984,0.000868408,-2.76645e-05,5,0.987226,4.32677,
1.4135,0.802212,1.28132,6.67147e+186,1.9262e-315,6.92002e-310,0.105054,0.0544183,0.0187357,-0.0721093,0,0,0,1.40216,0.872272,0.275487,0.00319811,0.00677058,-4.73009e-05,5,0.986775,4.34107,
1.41363,0.802333,1.28062,6.67147e+186,2.00903e-315,6.92002e-310,0.105675,0.0215303,0.038586,-0.0554214,0,0,0,1.40215,0.872218,0.275463,-0.000997398,-0.00418199,-1.7651e-05,5,0.986699,4.36156,
1.41369,0.802394,1.28188,6.67147e+186,2.09186e-315,6.92002e-310,0.108191,-0.007571,0.0567847,-0.0458343,0,0,0,1.40212,0.872252,0.275456,-0.00348323,0.000300192,2.82631e-05,5,0.986333,4.37489,
1.41399,0.802565,1.28144,6.67147e+186,2.17469e-315,6.92002e-310,0.107683,-0.00959369,0.0285269,0.0365937,0,0,0,1.40213,0.872214,0.275434,0.000560459,-0.00451086,3.71988e-05,5,0.98622,4.3974,
1.41404,0.80278,1.28122,6.67147e+186,2.25751e-315,6.92002e-310,0.109789,0.0291314,0.0377256,-0.0313064,0,0,0,1.40216,0.872214,0.27542,-0.0011729,-0.00543296,-5.9749e-06,5,0.985894,4.41256,
1.41401,0.803136,1.28185,6.67147e+186,2.34035e-315,6.92002e-310,0.107594,0.0312564,-0.0470453,0.00239285,0,0,0,1.40213,0.872231,0.275416,-0.000544599,0.00458508,-5.65102e-05,5,0.985702,4.42934,
1.41438,0.803379,1.28117,6.67147e+186,2.42317e-315,6.92e-310,0.1045,-0.00462493,0.0125425,0.03555,0,0,0,1.40215,0.872279,0.27543,-0.00435288,0.00293009,1.92382e-06,5,0.985466,4.44456,
