0821_rse_led_linear_D.csv
x,y,z,r,p,y,ori,vx,vy,vz,st_x,st_y,st_z,ugvx,ugvy,ugvz,ugv_vx,ugv_vy,ugv_vyaw,ms,dpth,t,
1.41461,0.799702,1.28311,-0.0543567,0.0154441,-0.0917629,0.107398,0.00593457,0.0476984,-0.0306103,0,0,0,1.40216,0.872261,0.275445,0.000942596,0.0071246,-2.80804e-05,6,0.98754,5.22751,
1.41391,0.799881,1.27986,-0.0561018,0.0141264,-0.0907354,0.107264,-0.0164261,0.0209034,0.0265811,0,0,0,1.40214,0.872231,0.275404,-0.00730272,-0.00146477,-1.79176e-06,5,0.987483,5.24752,
1.41374,0.799792,1.28062,-0.059083,0.0104556,-0.092156,0.109697,0.0434113,0.0904549,-0.0447431,0,0,0,1.40217,0.872228,0.275471,0.00418978,-0.00853489,3.24999e-05,5,0.987499,5.26508,
1.4137,0.799785,1.28144,-0.0604294,0.00772153,-0.091602,0.109804,0.0456374,0.100355,-0.0449227,0,0,0,1.40217,0.872228,0.275471,0.00418978,-0.00853489,3.24999e-05,5,0.987499,5.28044,
1.41343,0.799887,1.28096,-0.0524364,0.0146234,-0.0918483,0.106428,0.0366573,0.0284597,0.0028488,0,0,0,1.40215,0.872273,0.275459,-0.00549735,0.000178581,-3.40689e-05,5,0.987267,5.29916,
1.41317,0.799798,1.28151,-0.0538649,0.0177032,-0.0922114,0.107831,0.0166244,0.0964175,0.00431861,0,0,0,1.40212,0.872221,0.275474,0.00085514,0.00171077,-1.89337e-05,5,0.987391,5.3198,
1.41328,0.800037,1.27964,-0.0511876,0.0239155,-0.0915502,0.107047,0.042597,0.106757,-0.0223552,0,0,0,1.40216,0.87222,0.275469,0.00545307,-0.00476117,2.64901e-05,5,0.987294,5.33453,
1.41297,0.799898,1.2815,-0.0532337,0.0198919,-0.0913213,0.107098,0.0261591,0.143821,-0.0212489,0,0,0,1.40216,0.872247,0.275469,-0.00115059,0.000264721,1.50407e-05,5,0.98757,5.34912,
1.41302,0.799893,1.28115,-0.0582141,0.0184051,-0.0924352,0.110318,0.114519,0.159569,-0.105022,0,0,0,1.40216,0.872231,0.275487,0.000848244,0.00213819,-3.81372e-05,5,0.98756,5.36864,
1.41286,0.799941,1.28085,-0.0555697,0.018691,-0.0916449,0.108344,0.0794106,0.0885537,-0.016754,0,0,0,1.40214,0.872227,0.275447,0.000529124,0.00139977,-1.20194e-05,5,0.987663,5.38633,
1.41299,0.800108,1.28167,-0.0556542,0.0163541,-0.0917367,0.108141,0.0644237,0.149446,-0.0278387,0,0,0,1.40211,0.872229,0.275448,-0.00206661,0.000388895,-8.35432e-06,5,0.987749,5.39975,
1.4129,0.800275,1.28269,-0.0587004,0.0177933,-0.0910586,0.109344,0.0329049,0.148604,-0.0023985,0,0,0,1.40213,0.87221,0.275363,0.00214767,-0.00155606,-3.02927e-05,5,0.987783,5.41889,
1.41281,0.800162,1.2823,-0.0565369,0.0162937,-0.0913386,0.10825,0.109529,0.166784,-0.0701351,0,0,0,1.40212,0.872208,0.275429,0.0012569,0.000682642,2.37147e-05,5,0.987812,5.43155,
