0821_rse_led_rotate_A.csv
x,y,z,r,p,y,ori,vx,vy,vz,st_x,st_y,st_z,ugvx,ugvy,ugvz,ugv_vx,ugv_vy,ugv_vyaw,ms,dpth,t,
0.499094,0.338044,1.19848,-0.0590286,0.0154977,-0.0785271,0.099082,-0.014709,0.0236772,-0.00246493,0,0,0,0.48183,0.383858,0.27029,0.00322323,0.000190351,-1.51929e-05,6,0.90437,23.7082,
0.498962,0.336158,1.19709,-0.0583577,0.0153099,-0.0787332,0.0988263,-0.00967551,0.0189955,-0.0210695,0,0,0,0.481819,0.383872,0.270263,0.00149923,0.00681893,-6.14266e-05,5,0.90371,23.7332,
0.498968,0.335565,1.19599,-0.061394,0.0131091,-0.0812362,0.102337,-0.00936837,-0.0592246,-0.0643047,0,0,0,0.481819,0.38389,0.270266,-0.00434644,0.000754014,-1.70385e-05,5,0.903321,23.7496,
0.498909,0.335248,1.19557,-0.0570391,0.0149617,-0.0809277,0.0997777,-0.0191689,-0.0603909,-0.0603198,0,0,0,0.481824,0.383875,0.270291,0.00158784,-0.00300791,5.99503e-08,5,0.902869,23.7632,
0.498631,0.334935,1.19655,-0.0585039,0.0183002,-0.0811213,0.101239,-0.0268945,-0.0180646,-0.0396367,0,0,0,0.481812,0.383857,0.270319,-0.000501294,0.0018508,8.13013e-07,5,0.90205,23.7828,
0.498886,0.334305,1.19725,-0.0609431,0.0131562,-0.0792911,0.100541,-0.0293777,-0.0672152,0.0282375,0,0,0,0.481807,0.38385,0.270319,-0.000752229,-0.00163224,1.06047e-05,5,0.901708,23.7971,
0.498968,0.333563,1.19541,-0.0599983,0.0153599,-0.0789226,0.0999485,-0.000873613,-0.0431757,0.0334944,0,0,0,0.481818,0.383853,0.270335,-0.000254653,0.00369487,-7.72892e-06,5,0.90153,23.8128,
0.498971,0.33324,1.1937,-0.0554689,0.0190498,-0.0808051,0.0994072,-0.0102124,-0.0211629,-0.0569456,0,0,0,0.481842,0.383884,0.270324,-0.000814692,0.00660788,5.39976e-06,5,0.900972,23.8281,
0.498972,0.332969,1.19363,-0.0614515,0.0138707,-0.0816798,0.102803,-0.00700047,-0.03834,-0.0888555,0,0,0,0.481839,0.383879,0.270287,0.00203644,-0.00055016,2.36197e-05,5,0.90065,23.844,
0.499037,0.332623,1.19346,-0.0607779,0.0150362,-0.0812298,0.102185,-9.17996e-05,-0.0375682,-0.0408152,0,0,0,0.48184,0.383847,0.270288,-0.00126039,-0.00290963,-4.32411e-06,5,0.900313,23.8589,
0.499263,0.331849,1.19302,-0.0653074,0.0124945,-0.080656,0.104203,0.0322907,-0.000313074,-0.0369715,0,0,0,0.481803,0.383876,0.27028,-0.0034984,-0.0019983,1.95054e-05,5,0.899939,23.8714,
