0821_rse_led_rotate_B.csv
x,y,z,r,p,y,ori,vx,vy,vz,st_x,st_y,st_z,ugvx,ugvy,ugvz,ugv_vx,ugv_vy,ugv_vyaw,ms,dpth,t,
0.499049,0.33805,1.19845,-0.0590362,0.0154389,-0.078536,0.0990857,-0.0147084,0.0236767,-0.00246578,0,0,0,0.48183,0.383858,0.27029,0.00322323,0.000190351,-1.51929e-05,6,0.904402,4.32098,
0.498936,0.336246,1.19709,-0.0584459,0.0152931,-0.0787396,0.0988807,-0.0140518,0.0246314,-0.0218844,0,0,0,0.481819,0.383872,0.270263,0.00149923,0.00681893,-6.14266e-05,5,0.903711,4.34514,
0.498987,0.335508,1.19601,-0.0613339,0.0131302,-0.0812303,0.102298,-0.0110269,-0.0569984,-0.0646623,0,0,0,0.481819,0.38389,0.270266,-0.00434644,0.000754014,-1.70385e-05,5,0.903306,4.36134,
0.498983,0.335272,1.19559,-0.0570825,0.0150405,-0.0809018,0.0997914,-0.0197803,-0.0594609,-0.0604628,0,0,0,0.481824,0.383875,0.270291,0.00158784,-0.00300791,5.99503e-08,5,0.902853,4.37718,
0.498563,0.334871,1.19652,-0.0584132,0.0182443,-0.0811234,0.10118,-0.0163584,-0.0380621,-0.0406341,0,0,0,0.481841,0.383873,0.270288,0.00232899,-0.00304116,-1.37749e-05,5,0.902495,4.39159,
0.498983,0.334347,1.19727,-0.0610078,0.0132539,-0.0792847,0.100586,-0.022709,-0.110192,0.0335837,0,0,0,0.481807,0.38385,0.270319,-0.000752229,-0.00163224,1.06047e-05,5,0.901695,4.40644,
0.498968,0.333563,1.19541,-0.0600053,0.0153554,-0.0789224,0.0999519,0.00171437,-0.0594359,0.035454,0,0,0,0.481818,0.383853,0.270335,-0.000254653,0.00369487,-7.72892e-06,5,0.90153,4.42109,
0.498999,0.333213,1.1937,-0.0554306,0.019074,-0.0807979,0.0993845,-0.0139633,-0.0212622,-0.0568643,0,0,0,0.481842,0.383884,0.270324,-0.000814692,0.00660788,5.39976e-06,5,0.900976,4.43645,
0.498967,0.332909,1.19361,-0.0613926,0.0138881,-0.0817252,0.102806,-0.00838092,-0.0382179,-0.0889766,0,0,0,0.481839,0.383879,0.270287,0.00203644,-0.00055016,2.36197e-05,5,0.900667,4.45245,
0.499037,0.332623,1.19346,-0.0607779,0.015036,-0.0812298,0.102185,0.000888561,-0.0342922,-0.0408043,0,0,0,0.48184,0.383847,0.270288,-0.00126039,-0.00290963,-4.32411e-06,5,0.900313,4.46871,
