0821_rse_led_rotate_C.csv
x,y,z,r,p,y,ori,vx,vy,vz,st_x,st_y,st_z,ugvx,ugvy,ugvz,ugv_vx,ugv_vy,ugv_vyaw,ms,dpth,t,
0.499049,0.33805,1.19845,-0.0590362,0.0154389,-0.078536,0.0990857,-0.0147084,0.0236767,-0.00246578,0,0,0,0.48183,0.383858,0.27029,0.00322323,0.000190351,-1.51929e-05,6,0.904402,4.67876,
0.498962,0.336157,1.19709,-0.0583747,0.0153018,-0.0787325,0.0988346,-0.0102211,0.0192413,-4.35907e-06,0,0,0,0.481819,0.383872,0.270263,0.00149923,0.00681893,-6.14266e-05,5,0.90371,4.70123,
0.499034,0.335618,1.19602,-0.0614395,0.0131591,-0.0812167,0.102353,-0.00724034,-0.0582066,-0.0530593,0,0,0,0.481819,0.38389,0.270266,-0.00434644,0.000754014,-1.70385e-05,5,0.903303,4.71728,
0.498983,0.335272,1.19559,-0.057083,0.0150384,-0.0809019,0.0997914,-0.0109543,-0.0616404,-0.0492657,0,0,0,0.481824,0.383875,0.270291,0.00158784,-0.00300791,5.99503e-08,5,0.902853,4.73521,
0.498563,0.334871,1.19652,-0.0584125,0.0182435,-0.0811235,0.101179,-0.0120878,-0.0340882,-0.033176,0,0,0,0.481812,0.383857,0.270319,-0.000501294,0.0018508,8.13013e-07,5,0.90205,4.75416,
0.498886,0.334305,1.19725,-0.0609497,0.013152,-0.0792908,0.100545,-0.0251537,-0.0991673,0.0415283,0,0,0,0.481807,0.38385,0.270319,-0.000752229,-0.00163224,1.06047e-05,5,0.901708,4.77255,
0.498968,0.333563,1.19541,-0.0599914,0.0153612,-0.0789229,0.0999448,0.00290052,-0.0193601,0.0355061,0,0,0,0.481818,0.383853,0.270335,-0.000254653,0.00369487,-7.72892e-06,5,0.90153,4.78999,
0.498938,0.333278,1.19368,-0.055482,0.0190336,-0.0808821,0.099474,0.00307527,-0.0533089,-0.0511416,0,0,0,0.481839,0.383879,0.270287,0.00203644,-0.00055016,2.36197e-05,5,0.900667,4.80695,
0.498967,0.332909,1.19361,-0.0613955,0.0138851,-0.0817251,0.102807,-0.00179679,-0.0488887,-0.082085,0,0,0,0.481839,0.383879,0.270287,0.00203644,-0.00055016,2.36197e-05,5,0.900667,4.81942,
0.499037,0.332623,1.19346,-0.0607776,0.0150355,-0.0812298,0.102185,0.00320048,-0.0364382,-0.0333259,0,0,0,0.481815,0.383883,0.27026,-0.00268316,0.00421013,-3.00206e-05,5,0.899996,4.83462,
0.499263,0.331849,1.19302,-0.0653041,0.0124986,-0.0806561,0.104202,0.0184957,0.00847085,-0.0262262,0,0,0,0.481803,0.383876,0.27028,-0.0034984,-0.0019983,1.95054e-05,5,0.899939,4.85064,
