0821_rse_led_rotate_D.csv
x,y,z,r,p,y,ori,vx,vy,vz,st_x,st_y,st_z,ugvx,ugvy,ugvz,ugv_vx,ugv_vy,ugv_vyaw,ms,dpth,t,
0.499013,0.33806,1.19843,-0.0590585,0.0153905,-0.078554,0.0991066,-0.00407487,-0.00970348,0.0024385,0,0,0,0.481817,0.383847,0.270279,-0.000714199,-0.00295748,-1.47984e-05,6,0.904178,2.1614,
0.498961,0.336156,1.19708,-0.0583122,0.0153928,-0.0787332,0.0988107,-0.0151259,0.00381594,0.000542404,0,0,0,0.481819,0.383872,0.270263,0.00149923,0.00681893,-6.14266e-05,5,0.90371,2.17685,
0.49903,0.335618,1.196,-0.0612344,0.0133682,-0.0812254,0.102261,-0.0109744,-0.111046,-0.0842831,0,0,0,0.481819,0.38389,0.270266,-0.00434644,0.000754014,-1.70385e-05,5,0.903303,2.18902,
0.498888,0.335305,1.19557,-0.0572608,0.0147875,-0.0809436,0.0998941,0.0103336,-0.0496708,-0.0631816,0,0,0,0.481827,0.383872,0.27029,0.00362671,-0.00273426,-1.44372e-05,5,0.903286,2.20496,
0.49867,0.334945,1.19653,-0.058559,0.0185178,-0.0810953,0.101284,-0.0188874,-0.0366021,-0.0154227,0,0,0,0.481824,0.383875,0.270291,0.00158784,-0.00300791,5.99503e-08,5,0.902853,2.21548,
0.499009,0.334283,1.19723,-0.0604938,0.0134957,-0.0793148,0.100328,-0.0392704,-0.0075062,0.0612238,0,0,0,0.481812,0.383857,0.270319,-0.000501294,0.0018508,8.13013e-07,5,0.90205,2.22824,
0.498902,0.333748,1.1954,-0.0602188,0.0154196,-0.0789401,0.100101,0.007987,-0.119732,0.0641528,0,0,0,0.481807,0.38385,0.270319,-0.000752229,-0.00163224,1.06047e-05,5,0.901708,2.24506,
0.498913,0.33311,1.1937,-0.0555824,0.0189402,-0.0808506,0.099488,-0.00601471,-0.0259896,-0.104031,0,0,0,0.481818,0.383853,0.270335,-0.000254653,0.00369487,-7.72892e-06,5,0.90153,2.26029,
0.498972,0.332969,1.19363,-0.0614492,0.0138701,-0.0816799,0.102801,-0.00632555,-0.0527269,-0.099159,0,0,0,0.481839,0.383879,0.270287,0.00203644,-0.00055016,2.36197e-05,5,0.90065,2.27918,
0.499028,0.332752,1.19349,-0.0608848,0.0151457,-0.081219,0.102253,-0.00153865,-0.0475988,-0.00465427,0,0,0,0.481839,0.383879,0.270287,0.00203644,-0.00055016,2.36197e-05,5,0.90065,2.29339,
0.499307,0.331853,1.19301,-0.0649384,0.0129519,-0.0805896,0.103967,-0.0356972,-0.0143902,0.00304173,0,0,0,0.481815,0.383883,0.27026,-0.00268316,0.00421013,-3.00206e-05,5,0.899985,2.315,
0.499253,0.331207,1.19281,-0.0526255,0.0152582,-0.0812529,0.0976593,-0.000334278,-0.0597774,-0.019263,0,0,0,0.481816,0.383873,0.270253,0.00188918,0.00467723,-1.66107e-05,5,0.899558,2.32892,
