0821_rse_uav_circle_A.csv
x,y,z,r,p,y,ori,vx,vy,vz,ms,dpth,t,
1.2162,0.533185,1.18463,0.0288283,0.00541101,-0.000836562,0.0293459,0,0,0,0,0,0.210537,
1.2143,0.536667,1.18795,0.0307131,0.00573013,-0.0017204,0.0312952,-0.109647,0.168464,0.151492,0,0,0.225441,
1.21367,0.537773,1.18887,0.0280369,0.00526181,-0.000720437,0.0285373,-0.109647,0.168464,0.151492,0,0,0.243132,
1.21143,0.541929,1.19254,0.0382039,0.00900296,-0.0031959,0.039394,-0.11977,0.166451,0.135289,0,0,0.263587,
1.20975,0.544852,1.19477,0.0353952,0.0106612,-0.00333827,0.0371332,-0.11977,0.166451,0.135289,0,0,0.278287,
1.20858,0.546467,1.19606,0.0348144,0.0103093,-0.00318107,0.0364633,-0.123738,0.184018,0.127999,0,0,0.293268,
1.20618,0.550398,1.19886,0.0302984,0.00956639,-0.0020901,0.0318508,-0.132899,0.167417,0.104982,0,0,0.314589,
1.20429,0.553378,1.20077,0.0350189,0.0110512,-0.00167083,0.0367678,-0.132899,0.167417,0.104982,0,0,0.327301,
1.20212,0.556649,1.20251,0.0274054,0.00742671,0.000271215,0.0283942,-0.132899,0.167417,0.104982,0,0,0.345583,
1.20119,0.558448,1.20355,0.032235,0.00670995,-0.00129758,0.0329557,-0.126354,0.165104,0.079768,0,0,0.36079,
1.19857,0.562508,1.20527,0.039724,0.0116506,-0.00417172,0.0416298,-0.126354,0.165104,0.079768,0,0,0.376295,
1.19776,0.563646,1.20553,0.0377574,0.0113009,-0.000993222,0.03943,-0.126354,0.165104,0.079768,0,0,0.391657,
1.19506,0.567543,1.20658,0.0399887,0.0138675,-0.00260333,0.0424216,-0.136826,0.168845,0.0553072,0,0,0.410172,
1.19266,0.570791,1.20706,0.0345811,0.0109752,0.00103449,0.0362901,-0.136826,0.168845,0.0553072,0,0,0.42814,
1.19093,0.573714,1.20726,0.0365333,0.0130706,-0.00292594,0.0389289,-0.14394,0.163912,0.0283803,0,0,0.448233,
1.18843,0.576923,1.20707,0.0298153,0.00927655,0.000349148,0.0312254,-0.14394,0.163912,0.0283803,0,0,0.464782,
1.18694,0.579205,1.20683,0.0351642,0.0114683,-0.00119538,0.0370127,-0.132793,0.156054,-0.00427567,0,0,0.477085,
1.1862,0.580351,1.20671,0.0408304,0.0132566,-0.0034826,0.0430912,-0.148928,0.153138,-0.0303142,0,0,0.495322,
1.18372,0.583538,1.20582,0.0345796,0.010752,-0.00142644,0.0362479,-0.148928,0.153138,-0.0303142,0,0,0.51141,
1.18115,0.586954,1.20492,0.0427289,0.0126756,-0.00256812,0.0446586,-0.140328,0.149543,-0.0579592,0,0,0.530272,
1.17907,0.589551,1.20368,0.0363751,0.00918884,-0.000336784,0.0375206,-0.140328,0.149543,-0.0579592,0,0,0.554302,
1.1757,0.593837,1.20125,0.0331887,0.00997675,0.00104754,0.0346665,-0.153434,0.145063,-0.0796508,0,0,0.570206,
1.17456,0.595646,1.20035,0.0423445,0.0139693,-0.0014562,0.0446223,-0.153434,0.145063,-0.0796508,0,0,0.584277,
1.1729,0.597753,1.19885,0.0364162,0.0101809,0.000173157,0.037812,-0.16315,0.13722,-0.0924685,0,0,0.601823,
1.17068,0.600462,1.19698,0.0380335,0.0108261,0.00133272,0.0395596,-0.16315,0.13722,-0.0924685,0,0,0.614699,
1.16817,0.603549,1.19454,0.04174,0.0133375,-0.000790576,0.043831,-0.16315,0.13722,-0.0924685,0,0,0.628709,
1.16585,0.606173,1.1923,0.0390493,0.0101771,0.00123845,0.0403664,-0.154394,0.139223,-0.121123,0,0,0.646506,
1.16404,0.608231,1.1902,0.0357677,0.0113751,0.00199937,0.0375751,-0.154394,0.139223,-0.121123,0,0,0.66256,
1.16142,0.611293,1.18735,0.0381633,0.0126191,0.00144127,0.0402124,-0.172334,0.131794,-0.124051,0,0,0.678987,
1.15967,0.61334,1.18521,0.0364224,0.0121778,0.00325935,0.0385234,-0.172334,0.131794,-0.124051,0,0,0.697599,
1.15745,0.615811,1.18255,0.0353993,0.0106552,0.0028636,0.0370641,-0.172621,0.119804,-0.140261,0,0,0.71487,
1.15484,0.618865,1.17927,0.0396123,0.0139123,-0.000679046,0.0419939,-0.172621,0.119804,-0.140261,0,0,0.735492,
1.15215,0.621974,1.17606,0.0449049,0.0153831,-0.000790814,0.0474787,-0.162762,0.126754,-0.153095,0,0,0.752871,
1.14991,0.624452,1.17327,0.0456761,0.0136477,0.000674105,0.0476715,-0.162762,0.126754,-0.153095,0,0,0.769947,
1.14899,0.625361,1.17219,0.0487826,0.0144173,-0.00165262,0.0509063,-0.173804,0.123577,-0.157355,0,0,0.784585,
1.14572,0.628691,1.16786,0.0437509,0.0149068,-0.00112541,0.0462419,-0.173804,0.123577,-0.157355,0,0,0.799373,
1.14246,0.631907,1.1638,0.0455629,0.0142447,0.000490951,0.0477366,-0.180448,0.108648,-0.156502,0,0,0.818294,
