0821_rse_uav_circle_B.csv
x,y,z,r,p,y,ori,vx,vy,vz,ms,dpth,t,
0.785002,0.421517,1.16491,0.0275964,0.0433534,0.00486278,0.0515634,0.0214677,-0.203447,0.190547,0,0,40.7342,
0.784946,0.418256,1.16822,0.0341729,0.0454959,0.00300018,0.0569367,0.0287265,-0.204476,0.187238,0,0,40.7581,
0.784837,0.415586,1.17065,0.0317533,0.0451697,0.00336604,0.0552712,0.0287265,-0.204476,0.187238,0,0,40.7733,
0.784816,0.411083,1.17478,0.0310465,0.0456148,0.00323316,0.0552295,0.033332,-0.203026,0.175001,0,0,40.791,
0.784911,0.408518,1.17699,0.0262711,0.0445201,0.00637699,0.0520125,0.033332,-0.203026,0.175001,0,0,40.8092,
0.784911,0.408518,1.17699,0.0262711,0.0445201,0.00637699,0.0520125,0.0283557,-0.196182,0.165782,0,0,40.8235,
0.785094,0.402819,1.18183,0.0338328,0.0472769,0.00133711,0.0581309,0.0283557,-0.196182,0.165782,0,0,40.8377,
0.785389,0.398954,1.18479,0.0346823,0.0503202,0.000533077,0.0611072,0.0450598,-0.196772,0.145102,0,0,40.8537,
0.785546,0.395712,1.18706,0.0344977,0.0497239,0.000940271,0.0605111,0.0450598,-0.196772,0.145102,0,0,40.8731,
0.785622,0.393077,1.18857,0.025518,0.0457168,0.00349821,0.0524332,0.0513142,-0.191426,0.124482,0,0,40.8906,
0.785899,0.390061,1.19061,0.0273649,0.0469764,0.0036164,0.0544418,0.0513142,-0.191426,0.124482,0,0,40.9033,
0.786194,0.388044,1.1917,0.0252608,0.046188,0.00365927,0.0527299,0.0513142,-0.191426,0.124482,0,0,40.9235,
0.786973,0.383352,1.19441,0.0323643,0.0504523,0.00192056,0.0599434,0.0507208,-0.187999,0.104921,0,0,40.9398,
0.78773,0.379016,1.19624,0.033473,0.0508794,-0.000476745,0.0609094,0.0541283,-0.189628,0.0891573,0,0,40.9546,
0.788107,0.376071,1.19724,0.0301628,0.050763,0.00125413,0.0590435,0.0541283,-0.189628,0.0891573,0,0,40.9746,
0.788613,0.373511,1.19783,0.0189401,0.0461248,0.00447092,0.0500224,0.0541283,-0.189628,0.0891573,0,0,40.9898,
0.789392,0.37014,1.19891,0.0288782,0.0509918,0.00144954,0.0585995,0.0676094,-0.174517,0.0616068,0,0,41.0053,
0.789392,0.37014,1.19891,0.0288782,0.0509918,0.00144954,0.0585995,0.0676094,-0.174517,0.0616068,0,0,41.0215,
0.790687,0.36538,1.1998,0.027442,0.0503506,0.00185354,0.0573495,0.0734256,-0.184181,0.0414194,0,0,41.038,
0.791606,0.361774,1.20008,0.0268911,0.049451,0.00109959,0.0562862,0.0734256,-0.184181,0.0414194,0,0,41.0573,
0.792171,0.359679,1.20012,0.0362148,0.0529646,-0.000698734,0.0641738,0.0745518,-0.186208,0.0174224,0,0,41.0705,
0.793144,0.356614,1.19974,0.0246756,0.0494816,0.00233885,0.0553154,0.0745518,-0.186208,0.0174224,0,0,41.0872,
0.794464,0.352648,1.19921,0.024371,0.0482718,0.0021764,0.054094,0.082687,-0.17571,-0.0123519,0,0,41.104,
0.795743,0.349258,1.19835,0.0209146,0.0482453,0.00177064,0.0525956,0.082687,-0.17571,-0.0123519,0,0,41.1252,
0.796412,0.347682,1.19799,0.0256351,0.049882,0.000747596,0.0560788,0.0985429,-0.171328,-0.0356252,0,0,41.1426,
0.797581,0.344944,1.19699,0.0225933,0.0498653,0.00176162,0.0547542,0.0985429,-0.171328,-0.0356252,0,0,41.1591,
