0821_rse_uav_circle_C.csv
x,y,z,r,p,y,ori,vx,vy,vz,ms,dpth,t,
0.784939,0.418902,1.16753,0.0302695,0.0439162,0.00375307,0.0534212,0.0287265,-0.204476,0.187238,0,0,2.24143,
0.784837,0.415586,1.17065,0.0317533,0.0451697,0.00336604,0.0552712,0.0287265,-0.204476,0.187238,0,0,2.25988,
0.78466,0.412894,1.17289,0.0249031,0.0437283,0.00704294,0.0507361,0.0287265,-0.204476,0.187238,0,0,2.27581,
0.784816,0.409675,1.17592,0.0295878,0.0458922,0.004598,0.0547383,0.033332,-0.203026,0.175001,0,0,2.29196,
0.784911,0.408518,1.17699,0.0262711,0.0445201,0.00637699,0.0520125,0.033332,-0.203026,0.175001,0,0,2.30735,
0.78508,0.404018,1.181,0.036376,0.0466147,0.0011756,0.059121,0.0283557,-0.196182,0.165782,0,0,2.32142,
0.785094,0.402819,1.18183,0.0338328,0.0472769,0.00133711,0.0581309,0.0283557,-0.196182,0.165782,0,0,2.33785,
0.785389,0.398954,1.18479,0.0346823,0.0503202,0.000533077,0.0611072,0.0450598,-0.196772,0.145102,0,0,2.35343,
0.78549,0.394491,1.18793,0.0341908,0.0481711,0.00230803,0.0590827,0.0450598,-0.196772,0.145102,0,0,2.37079,
0.785622,0.393077,1.18857,0.025518,0.0457168,0.00349821,0.0524332,0.0513142,-0.191426,0.124482,0,0,2.38445,
0.786108,0.388661,1.19136,0.0256776,0.0463537,0.00319612,0.0530499,0.0513142,-0.191426,0.124482,0,0,2.40144,
0.786108,0.388661,1.19136,0.0256776,0.0463537,0.00319612,0.0530499,0.0513142,-0.191426,0.124482,0,0,2.41931,
0.786973,0.383352,1.19441,0.0323643,0.0504523,0.00192056,0.0599434,0.0507208,-0.187999,0.104921,0,0,2.43441,
0.787235,0.3814,1.19525,0.0307644,0.0487958,0.00139281,0.0576814,0.0541283,-0.189628,0.0891573,0,0,2.44852,
0.787967,0.377275,1.19689,0.0324973,0.050475,0.000974457,0.0600244,0.0541283,-0.189628,0.0891573,0,0,2.46634,
0.788613,0.373511,1.19783,0.0189401,0.0461248,0.00447092,0.0500224,0.0541283,-0.189628,0.0891573,0,0,2.4828,
0.789392,0.37014,1.19891,0.0288782,0.0509918,0.00144954,0.0585995,0.0676094,-0.174517,0.0616068,0,0,2.5029,
0.789392,0.37014,1.19891,0.0288782,0.0509918,0.00144954,0.0585995,0.0676094,-0.174517,0.0616068,0,0,2.51793,
0.790687,0.36538,1.1998,0.027442,0.0503506,0.00185354,0.0573495,0.0734256,-0.184181,0.0414194,0,0,2.5383,
0.791606,0.361774,1.20008,0.0268911,0.049451,0.00109959,0.0562862,0.0734256,-0.184181,0.0414194,0,0,2.55024,
0.792171,0.359679,1.20012,0.0362148,0.0529646,-0.000698734,0.0641738,0.0745518,-0.186208,0.0174224,0,0,2.5665,
0.793144,0.356614,1.19974,0.0246756,0.0494816,0.00233885,0.0553154,0.0745518,-0.186208,0.0174224,0,0,2.58382,
0.794464,0.352648,1.19921,0.024371,0.0482718,0.0021764,0.054094,0.082687,-0.17571,-0.0123519,0,0,2.60067,
0.794883,0.351661,1.19911,0.0314198,0.0520886,-0.000730811,0.0608435,0.082687,-0.17571,-0.0123519,0,0,2.61858,
0.796412,0.347682,1.19799,0.0256351,0.049882,0.000747596,0.0560788,0.0985429,-0.171328,-0.0356252,0,0,2.63888,
0.797581,0.344944,1.19699,0.0225933,0.0498653,0.00176162,0.0547542,0.0985429,-0.171328,-0.0356252,0,0,2.6587,
0.799004,0.341722,1.19574,0.0287915,0.0516329,-0.00115982,0.0591421,0.0969402,-0.168966,-0.0568057,0,0,2.67127,
0.799741,0.340227,1.19498,0.0334292,0.0539737,-0.00211086,0.0635505,0.0969402,-0.168966,-0.0568057,0,0,2.68688,
0.801503,0.336359,1.19277,0.0227441,0.0505431,0.00113565,0.0554236,0.106712,-0.169715,-0.0737998,0,0,2.70615,
0.802905,0.334019,1.19125,0.0338408,0.0545176,-0.00324252,0.0642929,0.106712,-0.169715,-0.0737998,0,0,2.72439,
0.804598,0.330843,1.18897,0.0325226,0.053012,-0.00189662,0.0622464,0.120744,-0.156032,-0.100422,0,0,2.74297,
0.805507,0.329245,1.18772,0.0246165,0.0495493,-1.10759e-05,0.0553263,0.120744,-0.156032,-0.100422,0,0,2.75759,
0.807691,0.325729,1.18484,0.0261268,0.0508246,-0.000490798,0.0571532,0.120744,-0.156032,-0.100422,0,0,2.77036,
