0821_rse_uav_circle_dist_A.csv
x,y,z,r,p,y,ori,vx,vy,vz,ms,dpth,t,
1.46904,0.256482,1.16273,0.0180538,0.0535673,0.00455352,0.0566714,0.26195,-0.101471,-0.189389,0,0,2.17833,
1.47593,0.252859,1.15928,0.0110471,0.0492418,0.00514722,0.0506997,0.262039,-0.101676,-0.16926,0,0,2.20014,
1.47852,0.251799,1.15872,0.0216831,0.0533106,0.00188934,0.0575626,0.259279,-0.0869132,-0.144852,0,0,2.21712,
1.48313,0.249431,1.15705,0.018221,0.0490584,-0.000382772,0.052337,0.259279,-0.0869132,-0.144852,0,0,2.23291,
1.48601,0.248048,1.156,0.00966719,0.0461776,0.0031231,0.047267,0.259279,-0.0869132,-0.144852,0,0,2.24449,
1.48994,0.246084,1.1554,0.00775394,0.0435212,0.00182979,0.0442373,0.256513,-0.0865263,-0.107184,0,0,2.26628,
1.49769,0.242703,1.1551,0.0118341,0.0431639,-0.000393299,0.0447605,0.252413,-0.0752174,-0.0774669,0,0,2.2901,
1.49921,0.242007,1.15507,0.010455,0.0429774,-0.000413325,0.0442347,0.252413,-0.0752174,-0.0774669,0,0,2.30818,
1.50448,0.239851,1.1552,0.00960779,0.0445526,-0.000596771,0.0455833,0.249892,-0.0544788,-0.0506456,0,0,2.32604,
1.5091,0.238028,1.15589,0.0131908,0.0423594,-0.00251581,0.0444525,0.249892,-0.0544788,-0.0506456,0,0,2.34463,
1.5135,0.236354,1.15644,0.0144757,0.0439591,-0.00335682,0.0464254,0.24107,-0.0542736,-0.0248264,0,0,2.36745,
1.51927,0.234059,1.15795,0.0134212,0.0400746,-0.00349165,0.0424281,0.24107,-0.0542736,-0.0248264,0,0,2.38933,
1.52203,0.232971,1.1589,0.00788781,0.0357509,-0.000722707,0.0366205,0.238277,-0.0476023,0.000292967,0,0,2.40776,
1.52624,0.231545,1.16073,0.00814128,0.0357642,-0.000580516,0.0366859,0.238277,-0.0476023,0.000292967,0,0,2.42381,
1.52857,0.230809,1.1621,0.020449,0.0411099,-0.00595779,0.0463532,0.223049,-0.0425526,0.0309215,0,0,2.43765,
1.53174,0.229463,1.16371,0.0118431,0.0363088,-0.00280163,0.0383096,0.223049,-0.0425526,0.0309215,0,0,2.45563,
1.53639,0.228005,1.16691,0.0220051,0.0408111,-0.00535305,0.0467243,0.215172,-0.0431504,0.0638378,0,0,2.47704,
1.53962,0.226827,1.16934,0.0215565,0.0409491,-0.00463163,0.0465509,0.215172,-0.0431504,0.0638378,0,0,2.49373,
1.54335,0.225406,1.17255,0.0188769,0.039546,-0.00415102,0.0440512,0.204029,-0.038242,0.102906,0,0,2.51198,
1.54527,0.224738,1.17448,0.0224331,0.0394359,-0.00517826,0.0457139,0.204029,-0.038242,0.102906,0,0,2.52747,
1.54943,0.223325,1.1789,0.0251138,0.0401775,-0.00419763,0.0476099,0.182943,-0.0397662,0.139425,0,0,2.54429,
1.55285,0.222044,1.18308,0.0256411,0.040908,-0.00360652,0.0484523,0.182943,-0.0397662,0.139425,0,0,2.56126,
1.55437,0.221467,1.18519,0.0245072,0.0439895,-0.0014526,0.0503911,0.171386,-0.0374055,0.169437,0,0,2.57657,
1.55704,0.220495,1.18885,0.0280075,0.051498,-0.00316477,0.0587441,0.171386,-0.0374055,0.169437,0,0,2.59229,
1.55915,0.219775,1.19216,0.0289182,0.0534394,-0.00236112,0.0608363,0.157662,-0.0447834,0.190333,0,0,2.60757,
1.56064,0.219019,1.19454,0.0220885,0.0518296,-0.000585412,0.0563482,0.157662,-0.0447834,0.190333,0,0,2.62352,
1.56357,0.217941,1.1994,0.0280296,0.0578996,-0.000249494,0.0643294,0.157662,-0.0447834,0.190333,0,0,2.63869,
1.56599,0.217089,1.20356,0.0293176,0.0601329,0.000676559,0.0668916,0.146676,-0.0447331,0.205744,0,0,2.65694,
1.57078,0.215284,1.21158,0.0249512,0.0620837,0.00450629,0.067008,0.142747,-0.0320735,0.207487,0,0,2.68116,
1.57182,0.214945,1.21321,0.0250519,0.0624791,0.00425537,0.0673978,0.142747,-0.0320735,0.207487,0,0,2.69653,
1.57501,0.213651,1.21851,0.0224769,0.064342,0.00555992,0.0683212,0.146676,-0.0239332,0.188648,0,0,2.7125,
1.57774,0.212602,1.22277,0.0147113,0.0624654,0.00899587,0.0647372,0.146676,-0.0239332,0.188648,0,0,2.73416,
1.57932,0.212273,1.22521,0.0242799,0.0657053,0.00495186,0.0701648,0.146676,-0.0239332,0.188648,0,0,2.74832,
1.5822,0.211176,1.22906,0.0228898,0.0690527,0.00478347,0.0728513,0.146076,-0.0205465,0.165912,0,0,2.76697,
1.58483,0.210139,1.23255,0.014771,0.0665975,0.00766035,0.068589,0.142524,-0.0341458,0.141843,0,0,2.78698,
1.58784,0.209183,1.23564,0.00612626,0.0669095,0.00816958,0.0676592,0.142524,-0.0341458,0.141843,0,0,2.80619,
1.59006,0.208472,1.23787,0.00758453,0.0703314,0.00761755,0.0711192,0.141766,-0.0177872,0.101289,0,0,2.82704,
1.59345,0.207586,1.24075,0.0119568,0.0716063,0.00740396,0.0729303,0.141766,-0.0177872,0.101289,0,0,2.84571,
1.59626,0.206725,1.24254,0.0034269,0.0678385,0.00853372,0.0684442,0.142313,-0.0160001,0.0689765,0,0,2.86675,
1.5991,0.205989,1.24397,0.000145494,0.065079,0.0107269,0.0659562,0.142313,-0.0160001,0.0689765,0,0,2.88655,
