0821_rse_uav_circle_dist_B.csv
x,y,z,r,p,y,ori,vx,vy,vz,ms,dpth,t,
1.46904,0.256482,1.16273,0.0180538,0.0535673,0.00455352,0.0566714,0.26195,-0.101471,-0.189389,0,0,1.89686,
1.47444,0.253673,1.16002,0.0104521,0.0513266,0.00707205,0.052819,0.262039,-0.101676,-0.16926,0,0,1.91644,
1.47852,0.251799,1.15872,0.0216831,0.0533106,0.00188934,0.0575626,0.262039,-0.101676,-0.16926,0,0,1.93311,
1.48148,0.250242,1.15727,0.0127986,0.049077,0.00105569,0.0507225,0.259279,-0.0869132,-0.144852,0,0,1.94664,
1.48601,0.248048,1.156,0.00966719,0.0461776,0.0031231,0.047267,0.259279,-0.0869132,-0.144852,0,0,1.96788,
1.48994,0.246084,1.1554,0.00775394,0.0435212,0.00182979,0.0442373,0.256513,-0.0865263,-0.107184,0,0,1.98583,
1.49523,0.243707,1.15485,0.00818292,0.0438109,0.00203823,0.0446068,0.256513,-0.0865263,-0.107184,0,0,2.00374,
1.49769,0.242703,1.1551,0.0118341,0.0431639,-0.000393299,0.0447605,0.252413,-0.0752174,-0.0774669,0,0,2.01951,
1.50226,0.240818,1.15517,0.0142628,0.0471647,-0.00146965,0.0493056,0.252413,-0.0752174,-0.0774669,0,0,2.03736,
1.5091,0.238028,1.15589,0.0131908,0.0423594,-0.00251581,0.0444525,0.249892,-0.0544788,-0.0506456,0,0,2.06541,
1.51121,0.2371,1.15603,0.010008,0.0418069,-0.00077256,0.0429986,0.249892,-0.0544788,-0.0506456,0,0,2.08056,
1.5178,0.234502,1.15748,0.0128303,0.0403728,-0.00302371,0.0424884,0.24107,-0.0542736,-0.0248264,0,0,2.10313,
1.52203,0.232971,1.1589,0.00788781,0.0357509,-0.000722707,0.0366205,0.238277,-0.0476023,0.000292967,0,0,2.12315,
1.52421,0.232358,1.15972,0.0134547,0.0391868,-0.00436906,0.0416893,0.238277,-0.0476023,0.000292967,0,0,2.14162,
1.52857,0.230809,1.1621,0.020449,0.0411099,-0.00595779,0.0463532,0.223049,-0.0425526,0.0309215,0,0,2.15829,
1.53174,0.229463,1.16371,0.0118431,0.0363088,-0.00280163,0.0383096,0.223049,-0.0425526,0.0309215,0,0,2.17591,
1.53639,0.228005,1.16691,0.0220051,0.0408111,-0.00535305,0.0467243,0.215172,-0.0431504,0.0638378,0,0,2.19383,
1.53962,0.226827,1.16934,0.0215565,0.0409491,-0.00463163,0.0465509,0.215172,-0.0431504,0.0638378,0,0,2.21318,
1.54335,0.225406,1.17255,0.0188769,0.039546,-0.00415102,0.0440512,0.204029,-0.038242,0.102906,0,0,2.23332,
1.54527,0.224738,1.17448,0.0224331,0.0394359,-0.00517826,0.0457139,0.204029,-0.038242,0.102906,0,0,2.25336,
1.55054,0.222872,1.18022,0.0277601,0.0413504,-0.00445914,0.0500536,0.182943,-0.0397662,0.139425,0,0,2.27303,
1.55437,0.221467,1.18519,0.0245072,0.0439895,-0.0014526,0.0503911,0.171386,-0.0374055,0.169437,0,0,2.29404,
1.55704,0.220495,1.18885,0.0280075,0.051498,-0.00316477,0.0587441,0.171386,-0.0374055,0.169437,0,0,2.31336,
