0821_rse_uav_circle_dist_C.csv
x,y,z,r,p,y,ori,vx,vy,vz,ms,dpth,t,
1.47213,0.254888,1.1612,0.0165028,0.0522008,0.00498534,0.0549341,0.262039,-0.101676,-0.16926,0,0,2.91671,
1.47593,0.252859,1.15928,0.0110471,0.0492418,0.00514722,0.0506997,0.262039,-0.101676,-0.16926,0,0,2.93866,
1.48148,0.250242,1.15727,0.0127986,0.049077,0.00105569,0.0507225,0.259279,-0.0869132,-0.144852,0,0,2.95406,
1.48601,0.248048,1.156,0.00966719,0.0461776,0.0031231,0.047267,0.259279,-0.0869132,-0.144852,0,0,2.97396,
1.48752,0.247336,1.1557,0.0110839,0.0460088,0.00311712,0.0474106,0.256513,-0.0865263,-0.107184,0,0,2.98891,
1.49279,0.244796,1.15498,0.00497781,0.0420615,0.0049617,0.0426324,0.256513,-0.0865263,-0.107184,0,0,3.00837,
1.49523,0.243707,1.15485,0.00818292,0.0438109,0.00203823,0.0446068,0.252413,-0.0752174,-0.0774669,0,0,3.02297,
1.49921,0.242007,1.15507,0.010455,0.0429774,-0.000413325,0.0442347,0.252413,-0.0752174,-0.0774669,0,0,3.04031,
1.50448,0.239851,1.1552,0.00960779,0.0445526,-0.000596771,0.0455833,0.252413,-0.0752174,-0.0774669,0,0,3.05968,
1.51053,0.237379,1.15597,0.0131732,0.0428361,-0.0034906,0.0429986,0.249892,-0.0544788,-0.0506456,0,0,3.08354,
1.5135,0.236354,1.15644,0.0144757,0.0439591,-0.00335682,0.0464254,0.24107,-0.0542736,-0.0248264,0,0,3.10038,
1.5178,0.234502,1.15748,0.0128303,0.0403728,-0.00302371,0.0424884,0.24107,-0.0542736,-0.0248264,0,0,3.11543,
1.51927,0.234059,1.15795,0.0134212,0.0400746,-0.00349165,0.0424281,0.238277,-0.0476023,0.000292967,0,0,3.1315,
1.52421,0.232358,1.15972,0.0134547,0.0391868,-0.00436906,0.0416893,0.238277,-0.0476023,0.000292967,0,0,3.14693,
1.52857,0.230809,1.1621,0.020449,0.0411099,-0.00595779,0.0463532,0.223049,-0.0425526,0.0309215,0,0,3.16388,
1.52978,0.230328,1.16274,0.0173809,0.0370203,-0.00545809,0.0413021,0.223049,-0.0425526,0.0309215,0,0,3.17716,
1.53174,0.229463,1.16371,0.0118431,0.0363088,-0.00280163,0.0383096,0.223049,-0.0425526,0.0309215,0,0,3.19268,
1.53639,0.228005,1.16691,0.0220051,0.0408111,-0.00535305,0.0467243,0.215172,-0.0431504,0.0638378,0,0,3.20913,
1.53962,0.226827,1.16934,0.0215565,0.0409491,-0.00463163,0.0465509,0.215172,-0.0431504,0.0638378,0,0,3.22359,
1.54208,0.225864,1.17151,0.0231133,0.041051,-0.00472127,0.0473931,0.204029,-0.038242,0.102906,0,0,3.24333,
1.54527,0.224738,1.17448,0.0224331,0.0394359,-0.00517826,0.0457139,0.204029,-0.038242,0.102906,0,0,3.25856,
1.54943,0.223325,1.1789,0.0251138,0.0401775,-0.00419763,0.0476099,0.182943,-0.0397662,0.139425,0,0,3.27744,
1.55285,0.222044,1.18308,0.0256411,0.040908,-0.00360652,0.0484523,0.182943,-0.0397662,0.139425,0,0,3.29421,
1.55437,0.221467,1.18519,0.0245072,0.0439895,-0.0014526,0.0503911,0.171386,-0.0374055,0.169437,0,0,3.30917,
1.55704,0.220495,1.18885,0.0280075,0.051498,-0.00316477,0.0587441,0.171386,-0.0374055,0.169437,0,0,3.32582,
1.55915,0.219775,1.19216,0.0289182,0.0534394,-0.00236112,0.0608363,0.171386,-0.0374055,0.169437,0,0,3.33861,
1.56064,0.219019,1.19454,0.0220885,0.0518296,-0.000585412,0.0563482,0.157662,-0.0447834,0.190333,0,0,3.35843,
1.56357,0.217941,1.1994,0.0280296,0.0578996,-0.000249494,0.0643294,0.157662,-0.0447834,0.190333,0,0,3.37374,
1.56599,0.217089,1.20356,0.0293176,0.0601329,0.000676559,0.0668916,0.146676,-0.0447331,0.205744,0,0,3.38943,
1.56891,0.215888,1.20824,0.022003,0.0603256,0.00328458,0.0642619,0.142747,-0.0320735,0.207487,0,0,3.41228,
1.57182,0.214945,1.21321,0.0250519,0.0624791,0.00425537,0.0673978,0.142747,-0.0320735,0.207487,0,0,3.42533,
1.57356,0.214158,1.21625,0.0252858,0.0633615,0.00497572,0.0683418,0.142747,-0.0320735,0.207487,0,0,3.44204,
1.57774,0.212602,1.22277,0.0147113,0.0624654,0.00899587,0.0647372,0.146676,-0.0239332,0.188648,0,0,3.46465,
1.57932,0.212273,1.22521,0.0242799,0.0657053,0.00495186,0.0701648,0.146676,-0.0239332,0.188648,0,0,3.4771,
1.5822,0.211176,1.22906,0.0228898,0.0690527,0.00478347,0.0728513,0.146076,-0.0205465,0.165912,0,0,3.49617,
1.58351,0.210719,1.23093,0.0205639,0.0680249,0.0069199,0.0713322,0.146076,-0.0205465,0.165912,0,0,3.51125,
1.58633,0.209808,1.23428,0.0154813,0.0686719,0.00789902,0.070777,0.142524,-0.0341458,0.141843,0,0,3.52908,
1.58784,0.209183,1.23564,0.00612626,0.0669095,0.00816958,0.0676592,0.142524,-0.0341458,0.141843,0,0,3.54159,
1.59006,0.208472,1.23787,0.00758453,0.0703314,0.00761755,0.0711192,0.142524,-0.0341458,0.141843,0,0,3.55713,
