0821_rse_uav_circle_dist_D.csv
x,y,z,r,p,y,ori,vx,vy,vz,ms,dpth,t,
1.47131,0.255347,1.16158,0.0167228,0.0516757,0.00469679,0.054479,0.26195,-0.101471,-0.189389,0,0,7.92866,
1.47593,0.252859,1.15928,0.0110471,0.0492418,0.00514722,0.0506997,0.262039,-0.101676,-0.16926,0,0,7.94898,
1.47852,0.251799,1.15872,0.0216831,0.0533106,0.00188934,0.0575626,0.259279,-0.0869132,-0.144852,0,0,7.9628,
1.48313,0.249431,1.15705,0.018221,0.0490584,-0.000382772,0.052337,0.259279,-0.0869132,-0.144852,0,0,7.98338,
1.48752,0.247336,1.1557,0.0110839,0.0460088,0.00311712,0.0474106,0.256513,-0.0865263,-0.107184,0,0,7.99948,
1.48994,0.246084,1.1554,0.00775394,0.0435212,0.00182979,0.0442373,0.256513,-0.0865263,-0.107184,0,0,8.01514,
1.49523,0.243707,1.15485,0.00818292,0.0438109,0.00203823,0.0446068,0.256513,-0.0865263,-0.107184,0,0,8.02848,
1.49769,0.242703,1.1551,0.0118341,0.0431639,-0.000393299,0.0447605,0.252413,-0.0752174,-0.0774669,0,0,8.04445,
1.50226,0.240818,1.15517,0.0142628,0.0471647,-0.00146965,0.0493056,0.252413,-0.0752174,-0.0774669,0,0,8.06485,
1.50691,0.23893,1.15561,0.0162674,0.0479215,-0.00364099,0.0507655,0.249892,-0.0544788,-0.0506456,0,0,8.08168,
1.5091,0.238028,1.15589,0.0131908,0.0423594,-0.00251581,0.0444525,0.249892,-0.0544788,-0.0506456,0,0,8.09766,
1.5135,0.236354,1.15644,0.0144757,0.0439591,-0.00335682,0.0464254,0.249892,-0.0544788,-0.0506456,0,0,8.11193,
1.5178,0.234502,1.15748,0.0128303,0.0403728,-0.00302371,0.0424884,0.24107,-0.0542736,-0.0248264,0,0,8.12808,
1.52203,0.232971,1.1589,0.00788781,0.0357509,-0.000722707,0.0366205,0.238277,-0.0476023,0.000292967,0,0,8.15028,
1.52421,0.232358,1.15972,0.0134547,0.0391868,-0.00436906,0.0416893,0.238277,-0.0476023,0.000292967,0,0,8.16519,
1.52857,0.230809,1.1621,0.020449,0.0411099,-0.00595779,0.0463532,0.223049,-0.0425526,0.0309215,0,0,8.17887,
1.52978,0.230328,1.16274,0.0173809,0.0370203,-0.00545809,0.0413021,0.223049,-0.0425526,0.0309215,0,0,8.19538,
1.53426,0.228518,1.16551,0.0140864,0.0351607,-0.00185149,0.0379345,0.223049,-0.0425526,0.0309215,0,0,8.20949,
1.53639,0.228005,1.16691,0.0220051,0.0408111,-0.00535305,0.0467243,0.215172,-0.0431504,0.0638378,0,0,8.22199,
1.53826,0.2272,1.16824,0.0158697,0.0386137,-0.00219252,0.0418209,0.215172,-0.0431504,0.0638378,0,0,8.23554,
1.54335,0.225406,1.17255,0.0188769,0.039546,-0.00415102,0.0440512,0.204029,-0.038242,0.102906,0,0,8.25995,
1.54575,0.224518,1.17494,0.0225147,0.0394238,-0.00462842,0.0456794,0.204029,-0.038242,0.102906,0,0,8.27632,
1.54943,0.223325,1.1789,0.0251138,0.0401775,-0.00419763,0.0476099,0.182943,-0.0397662,0.139425,0,0,8.29082,
1.55054,0.222872,1.18022,0.0277601,0.0413504,-0.00445914,0.0500536,0.182943,-0.0397662,0.139425,0,0,8.30594,
1.55437,0.221467,1.18519,0.0245072,0.0439895,-0.0014526,0.0503911,0.171386,-0.0374055,0.169437,0,0,8.32207,
1.55704,0.220495,1.18885,0.0280075,0.051498,-0.00316477,0.0587441,0.171386,-0.0374055,0.169437,0,0,8.34008,
1.55915,0.219775,1.19216,0.0289182,0.0534394,-0.00236112,0.0608363,0.157662,-0.0447834,0.190333,0,0,8.35488,
1.56064,0.219019,1.19454,0.0220885,0.0518296,-0.000585412,0.0563482,0.157662,-0.0447834,0.190333,0,0,8.36913,
1.56446,0.217497,1.20095,0.0203144,0.0550975,0.00358772,0.0587976,0.157662,-0.0447834,0.190333,0,0,8.38687,
1.56599,0.217089,1.20356,0.0293176,0.0601329,0.000676559,0.0668916,0.146676,-0.0447331,0.205744,0,0,8.40058,
1.56891,0.215888,1.20824,0.022003,0.0603256,0.00328458,0.0642619,0.146676,-0.0447331,0.205744,0,0,8.42169,
1.57182,0.214945,1.21321,0.0250519,0.0624791,0.00425537,0.0673978,0.142747,-0.0320735,0.207487,0,0,8.43907,
1.57501,0.213651,1.21851,0.0224769,0.064342,0.00555992,0.0683212,0.146676,-0.0239332,0.188648,0,0,8.4592,
1.57774,0.212602,1.22277,0.0147113,0.0624654,0.00899587,0.0647372,0.146676,-0.0239332,0.188648,0,0,8.47645,
1.57932,0.212273,1.22521,0.0242799,0.0657053,0.00495186,0.0701648,0.146676,-0.0239332,0.188648,0,0,8.49183,
1.58064,0.211706,1.22696,0.0170031,0.0654458,0.00784866,0.0680073,0.146076,-0.0205465,0.165912,0,0,8.50683,
1.58351,0.210719,1.23093,0.0205639,0.0680249,0.0069199,0.0713322,0.146076,-0.0205465,0.165912,0,0,8.52535,
1.58633,0.209808,1.23428,0.0154813,0.0686719,0.00789902,0.070777,0.142524,-0.0341458,0.141843,0,0,8.54365,
1.58917,0.208785,1.23711,0.00911438,0.0702563,0.00714093,0.0711715,0.142524,-0.0341458,0.141843,0,0,8.56234,
1.59211,0.207863,1.2396,0.00619396,0.0705455,0.00671369,0.0711135,0.141766,-0.0177872,0.101289,0,0,8.58274,
1.59626,0.206725,1.24254,0.0034269,0.0678385,0.00853372,0.0684442,0.142313,-0.0160001,0.0689765,0,0,8.60934,
1.59764,0.206375,1.2433,0.00350224,0.0675625,0.00915207,0.0682533,0.142313,-0.0160001,0.0689765,0,0,8.62255,
1.60191,0.205605,1.2448,-0.000422835,0.0677139,0.0123678,0.0688376,0.142566,-0.00653794,0.023201,0,0,8.64692,
1.60335,0.205321,1.24493,-0.000711516,0.0701691,0.0111157,0.0710512,0.142566,-0.00653794,0.023201,0,0,8.66579,
1.60574,0.204996,1.2452,-0.000801481,0.0673928,0.0130675,0.0686574,0.149024,0.00342771,-0.0101878,0,0,8.68611,
1.60947,0.20462,1.24454,-0.002175,0.0677411,0.0132141,0.0690658,0.149024,0.00342771,-0.0101878,0,0,8.70625,
