0821_rse_uav_hover_A.csv
x,y,z,r,p,y,ori,vx,vy,vz,ms,dpth,t,
0.567342,0.751054,1.11681,0.0337234,0.0287159,-0.00231115,0.0443776,-0.0237023,0.00700513,-0.0256936,0,0,6.22515,
0.567008,0.750972,1.11693,0.0341801,0.028959,-0.00170643,0.0448488,-0.0237023,0.00700513,-0.0256936,0,0,6.24959,
0.566827,0.750881,1.11697,0.0341341,0.028887,-0.0024276,0.0448085,-0.0241528,-0.000776824,-0.0222713,0,0,6.26179,
0.566586,0.750759,1.11704,0.0343951,0.02861,-0.00201602,0.0448054,-0.0286287,0.016792,-0.0156434,0,0,6.27831,
0.566478,0.750743,1.11704,0.0337066,0.0288023,-0.00145805,0.0443753,-0.0286287,0.016792,-0.0156434,0,0,6.2932,
0.566379,0.750701,1.11704,0.0331761,0.0290192,-0.0016693,0.0441258,-0.0278669,0.0184823,-0.0120256,0,0,6.3122,
0.566059,0.750584,1.1172,0.0361426,0.029196,-0.00150343,0.0465021,-0.0278669,0.0184823,-0.0120256,0,0,6.32593,
0.565842,0.750451,1.11717,0.0342875,0.0296193,-0.00128725,0.0453411,-0.0278669,0.0184823,-0.0120256,0,0,6.34159,
0.565717,0.750424,1.1172,0.0356439,0.029635,-0.000954828,0.046374,-0.0278669,0.0184823,-0.0120256,0,0,6.35412,
0.56543,0.750279,1.11717,0.0353143,0.0300847,-0.00145137,0.0464299,-0.0306496,0.0120062,-0.0137281,0,0,6.3688,
0.565345,0.750209,1.11717,0.035654,0.0291949,-0.00153191,0.0461237,-0.0184733,0.00986307,-0.0193297,0,0,6.38504,
0.565174,0.75006,1.1171,0.0357742,0.0277108,-0.0017435,0.045303,-0.0184733,0.00986307,-0.0193297,0,0,6.40083,
0.56498,0.749874,1.11703,0.0367262,0.0277768,-0.00308888,0.0461841,-0.0184733,0.00986307,-0.0193297,0,0,6.41836,
0.564883,0.749797,1.11699,0.0349803,0.027237,-0.00257379,0.0444351,-0.0149473,0.0107413,-0.02352,0,0,6.43199,
0.564652,0.749659,1.11682,0.0346587,0.02721,-0.00247206,0.0441585,-0.0149473,0.0107413,-0.02352,0,0,6.44816,
0.564393,0.749534,1.11666,0.0354344,0.027709,-0.00309139,0.0451209,-0.0224265,0.00387579,-0.0183832,0,0,6.46783,
0.564393,0.749534,1.11666,0.0354344,0.027709,-0.00309139,0.0451209,-0.0224265,0.00387579,-0.0183832,0,0,6.48509,
0.564135,0.749237,1.11624,0.0340301,0.0268982,-0.00380834,0.043583,-0.0227637,-0.00297236,-0.0172681,0,0,6.50232,
0.564135,0.749237,1.11624,0.0340301,0.0268982,-0.00380834,0.043583,-0.0227637,-0.00297236,-0.0172681,0,0,6.51519,
0.563774,0.748974,1.11593,0.0340069,0.0250386,-0.0034198,0.0424022,-0.0181561,-0.00400949,-0.0191249,0,0,6.53309,
0.563506,0.748724,1.11568,0.033824,0.0240289,-0.0042464,0.0417478,-0.0181561,-0.00400949,-0.0191249,0,0,6.5506,
0.563376,0.748637,1.11559,0.0352642,0.0241241,-0.00388615,0.0429404,-0.0108006,0.0154185,-0.0216045,0,0,6.5663,
0.563227,0.748437,1.11534,0.0335585,0.0250746,-0.00463961,0.0421933,-0.0108006,0.0154185,-0.0216045,0,0,6.58491,
0.562761,0.748133,1.11498,0.0372124,0.0267645,-0.00323882,0.0459862,-0.0135726,0.00133098,-0.0212137,0,0,6.59935,
0.562647,0.747935,1.11464,0.0353776,0.0249136,-0.00312222,0.0434131,-0.0135726,0.00133098,-0.0212137,0,0,6.61763,
0.562602,0.747809,1.11448,0.0361855,0.0238976,-0.00336038,0.0435273,-0.0181177,0.0128564,-0.0190902,0,0,6.6343,
0.562254,0.747558,1.11393,0.0347429,0.0231396,-0.00297808,0.0418775,-0.0181177,0.0128564,-0.0190902,0,0,6.65174,
0.561856,0.74728,1.11358,0.0357881,0.0236045,-0.00276645,0.0429871,-0.0181177,0.0128564,-0.0190902,0,0,6.66748,
0.561691,0.747104,1.11333,0.0358603,0.0237516,-0.00312724,0.0431565,-0.023433,0.00788428,-0.0197076,0,0,6.68093,
0.561357,0.746722,1.11266,0.0346758,0.023762,-0.00346944,0.0422124,-0.00754946,-0.0062775,-0.0313881,0,0,6.69794,
0.561081,0.746429,1.11192,0.0302816,0.0206014,-0.00317375,0.0367888,-0.00754946,-0.0062775,-0.0313881,0,0,6.72268,
0.560902,0.746333,1.11151,0.0345615,0.0224594,-0.00420205,0.0414703,-0.0178442,-0.00133055,-0.0312525,0,0,6.74165,
0.560524,0.746099,1.11106,0.0343893,0.0221594,-0.00401475,0.0411435,-0.0178442,-0.00133055,-0.0312525,0,0,6.75505,
0.559695,0.745539,1.10944,0.032015,0.0209873,-0.00398436,0.0385219,-0.019554,-0.000642109,-0.0336617,0,0,6.78986,
0.559481,0.745351,1.10885,0.0325449,0.0211178,-0.00424221,0.0390641,-0.019554,-0.000642109,-0.0336617,0,0,6.81034,
0.559153,0.745046,1.10806,0.0317622,0.0203399,-0.00460801,0.0380358,-0.0178784,-0.00649454,-0.0385724,0,0,6.82495,
0.558636,0.744748,1.10719,0.0326119,0.0201104,-0.0044957,0.0386146,-0.0169276,-0.00846453,-0.0422763,0,0,6.83903,
0.55815,0.744486,1.10645,0.0299209,0.0206308,-0.00336988,0.0365279,-0.0169276,-0.00846453,-0.0422763,0,0,6.8545,
0.557857,0.744296,1.10582,0.0312527,0.0208889,-0.00384013,0.0378193,-0.0169276,-0.00846453,-0.0422763,0,0,6.8665,
0.557129,0.743845,1.10469,0.0306683,0.0216627,-0.00322334,0.0377135,-0.0144861,0.000515443,-0.044941,0,0,6.88686,
0.556943,0.743737,1.10435,0.0303882,0.0217113,-0.00334718,0.0375259,-0.0144861,0.000515443,-0.044941,0,0,6.90077,
0.556396,0.743339,1.103,0.0332616,0.0219535,-0.00464584,0.0401649,-0.0208072,0.00398138,-0.0440003,0,0,6.91742,
0.555772,0.743037,1.10211,0.0313032,0.0212309,-0.00321903,0.0379882,-0.0208072,0.00398138,-0.0440003,0,0,6.9381,
0.555411,0.742794,1.10154,0.0296513,0.0216639,-0.0029718,0.0368678,-0.0208072,0.00398138,-0.0440003,0,0,6.95116,
0.554939,0.742549,1.10065,0.0289327,0.0200618,-0.00263676,0.0353275,-0.0267151,0.00304757,-0.0420503,0,0,6.97008,
0.554864,0.742512,1.10041,0.0275387,0.0195429,-0.0035658,0.0339841,-0.0267151,0.00304757,-0.0420503,0,0,6.98572,
0.553554,0.741941,1.09893,0.0312155,0.0215875,-0.00363489,0.0381582,-0.0302484,0.00118929,-0.0374082,0,0,7.0019,
0.553258,0.741824,1.09833,0.0305088,0.0227013,-0.00254018,0.0381354,-0.0266335,-0.00470741,-0.0402087,0,0,7.02128,
0.552345,0.741315,1.09697,0.0301044,0.0201252,-0.00239617,0.0363106,-0.0266335,-0.00470741,-0.0402087,0,0,7.03974,
0.551844,0.741087,1.09636,0.0312069,0.020388,-0.00318956,0.0374395,-0.0266335,-0.00470741,-0.0402087,0,0,7.0537,
0.551041,0.740738,1.09541,0.0310158,0.0210944,-0.00182617,0.0375692,-0.0271602,-0.00176957,-0.0409155,0,0,7.06956,
0.550445,0.740538,1.09465,0.0317615,0.0218555,-0.00311534,0.0387077,-0.0271602,-0.00176957,-0.0409155,0,0,7.08808,
0.550045,0.740311,1.09421,0.028673,0.0221963,-0.00326186,0.0364348,-0.0358147,-0.00506226,-0.0332455,0,0,7.1034,
0.549594,0.740153,1.09368,0.0309645,0.0223411,-0.00372474,0.038397,-0.0358147,-0.00506226,-0.0332455,0,0,7.12012,
0.548214,0.739572,1.09249,0.0308489,0.0224433,-0.0038529,0.0383775,-0.0416393,-0.00968479,-0.0272584,0,0,7.13837,
0.547279,0.739215,1.09175,0.0328573,0.0228002,-0.00283823,0.0401196,-0.0416393,-0.00968479,-0.0272584,0,0,7.15802,
0.547025,0.739142,1.09154,0.0343329,0.023398,-0.00347587,0.0417257,-0.0432989,-0.0167602,-0.0252606,0,0,7.17187,
0.546353,0.738796,1.09085,0.0315965,0.0217703,-0.00370626,0.0385815,-0.0432989,-0.0167602,-0.0252606,0,0,7.19118,
0.545769,0.738586,1.0904,0.0307102,0.02276,-0.00378076,0.0384451,-0.035879,-0.0106463,-0.0237288,0,0,7.20268,
0.54528,0.738288,1.09001,0.0322882,0.0229621,-0.00473295,0.0399456,-0.035879,-0.0106463,-0.0237288,0,0,7.22149,
0.544017,0.737867,1.08912,0.0325323,0.0232329,-0.00464059,0.0402878,-0.0361889,-0.00995989,-0.0240437,0,0,7.23995,
0.543429,0.737532,1.08863,0.0287923,0.0249384,-0.00373325,0.0383079,-0.0361889,-0.00995989,-0.0240437,0,0,7.25595,
