0821_rse_uav_hover_C.csv
x,y,z,r,p,y,ori,vx,vy,vz,ms,dpth,t,
0.567502,0.751106,1.11677,0.0340211,0.028881,-0.00152729,0.0446688,-0.0237023,0.00700513,-0.0256936,0,0,5.64697,
0.567298,0.751056,1.11684,0.0340303,0.0285025,-0.00195705,0.0444534,-0.0237023,0.00700513,-0.0256936,0,0,5.66762,
0.567008,0.750972,1.11693,0.0341801,0.028959,-0.00170643,0.0448488,-0.0237023,0.00700513,-0.0256936,0,0,5.68469,
0.56665,0.750847,1.11701,0.0331814,0.0285042,-0.00159616,0.043789,-0.0241528,-0.000776824,-0.0222713,0,0,5.69794,
0.566586,0.750759,1.11704,0.0343951,0.02861,-0.00201602,0.0448054,-0.0286287,0.016792,-0.0156434,0,0,5.71164,
0.566379,0.750701,1.11704,0.0331761,0.0290192,-0.0016693,0.0441258,-0.0286287,0.016792,-0.0156434,0,0,5.72819,
0.566379,0.750701,1.11704,0.0331761,0.0290192,-0.0016693,0.0441258,-0.0278669,0.0184823,-0.0120256,0,0,5.7438,
0.565832,0.750463,1.11729,0.0361454,0.0286936,-0.000769333,0.046164,-0.0278669,0.0184823,-0.0120256,0,0,5.76078,
0.565717,0.750424,1.1172,0.0356439,0.029635,-0.000954828,0.046374,-0.0278669,0.0184823,-0.0120256,0,0,5.78024,
0.565717,0.750424,1.1172,0.0356439,0.029635,-0.000954828,0.046374,-0.0306496,0.0120062,-0.0137281,0,0,5.79541,
0.565345,0.750209,1.11717,0.035654,0.0291949,-0.00153191,0.0461237,-0.0306496,0.0120062,-0.0137281,0,0,5.81096,
0.565174,0.75006,1.1171,0.0357742,0.0277108,-0.0017435,0.045303,-0.0184733,0.00986307,-0.0193297,0,0,5.82866,
0.565174,0.75006,1.1171,0.0357742,0.0277108,-0.0017435,0.045303,-0.0184733,0.00986307,-0.0193297,0,0,5.84671,
0.564883,0.749797,1.11699,0.0349803,0.027237,-0.00257379,0.0444351,-0.0149473,0.0107413,-0.02352,0,0,5.86296,
0.564652,0.749659,1.11682,0.0346587,0.02721,-0.00247206,0.0441585,-0.0149473,0.0107413,-0.02352,0,0,5.87723,
0.564393,0.749534,1.11666,0.0354344,0.027709,-0.00309139,0.0451209,-0.0224265,0.00387579,-0.0183832,0,0,5.89798,
0.564393,0.749534,1.11666,0.0354344,0.027709,-0.00309139,0.0451209,-0.0224265,0.00387579,-0.0183832,0,0,5.91195,
0.564135,0.749237,1.11624,0.0340301,0.0268982,-0.00380834,0.043583,-0.0227637,-0.00297236,-0.0172681,0,0,5.9307,
0.564135,0.749237,1.11624,0.0340301,0.0268982,-0.00380834,0.043583,-0.0227637,-0.00297236,-0.0172681,0,0,5.94571,
0.563774,0.748974,1.11593,0.0340069,0.0250386,-0.0034198,0.0424022,-0.0181561,-0.00400949,-0.0191249,0,0,5.96572,
0.563506,0.748724,1.11568,0.033824,0.0240289,-0.0042464,0.0417478,-0.0181561,-0.00400949,-0.0191249,0,0,5.98135,
0.563376,0.748637,1.11559,0.0352642,0.0241241,-0.00388615,0.0429404,-0.0108006,0.0154185,-0.0216045,0,0,5.99611,
0.563227,0.748437,1.11534,0.0335585,0.0250746,-0.00463961,0.0421933,-0.0108006,0.0154185,-0.0216045,0,0,6.01527,
0.562761,0.748133,1.11498,0.0372124,0.0267645,-0.00323882,0.0459862,-0.0135726,0.00133098,-0.0212137,0,0,6.02894,
