0821_rse_uav_linear_A.csv
x,y,z,r,p,y,ori,vx,vy,vz,ms,dpth,t,
1.41562,0.799167,1.28854,0.0309581,0.0218797,-0.000393318,0.0379145,-0.0162819,0.0308994,0.00287549,0,0,16.8416,
1.41552,0.799169,1.28839,0.0303511,0.0225154,-0.000901968,0.0378091,0.00101343,0.0285056,-0.00506727,0,0,16.8615,
1.41531,0.799179,1.28825,0.0291255,0.0239285,-0.00108072,0.0377194,0.00101343,0.0285056,-0.00506727,0,0,16.8787,
1.41527,0.799186,1.28837,0.0318345,0.0234623,-0.000488183,0.0395533,-0.00116769,0.0207393,-0.002019,0,0,16.8955,
1.41517,0.799263,1.28817,0.0285657,0.0245772,-0.000888049,0.0377016,-0.00116769,0.0207393,-0.002019,0,0,16.9131,
1.41504,0.799183,1.2881,0.0272153,0.0251421,-0.00208065,0.0371283,-0.00731182,0.0141748,0.00487408,0,0,16.9285,
1.41497,0.799438,1.28847,0.0324676,0.0228354,7.9794e-05,0.0396926,-0.00731182,0.0141748,0.00487408,0,0,16.945,
1.41494,0.799268,1.28819,0.0289433,0.0259601,-0.00225571,0.0389663,-0.00731182,0.0141748,0.00487408,0,0,16.9587,
1.41489,0.799508,1.28839,0.0316854,0.0248356,-0.000773278,0.0402731,-0.00380315,0.013744,0.00692129,0,0,16.9794,
1.41486,0.799597,1.28845,0.0295062,0.0240552,-0.00053045,0.0380774,-0.000626173,0.0147672,0.0127958,0,0,16.9967,
1.41472,0.799697,1.28864,0.0317243,0.0232836,-0.000105561,0.0393523,-0.000626173,0.0147672,0.0127958,0,0,17.0133,
1.41478,0.799789,1.28868,0.0303702,0.0231029,-0.000212927,0.0381608,0.0103358,0.0342395,0.00737815,0,0,17.026,
1.41478,0.799789,1.28868,0.0303702,0.0231029,-0.000212927,0.0381608,0.0103358,0.0342395,0.00737815,0,0,17.0412,
1.41481,0.800031,1.28886,0.0281616,0.0203802,0.00141031,0.034779,0.0103358,0.0342395,0.00737815,0,0,17.0585,
1.41495,0.800165,1.28872,0.0255459,0.0214906,-0.000421081,0.0333889,-0.00214114,0.0218851,0.0093643,0,0,17.0738,
1.41491,0.800351,1.28889,0.0292204,0.0202936,0.00152292,0.0355956,-0.00214114,0.0218851,0.0093643,0,0,17.0933,
1.41479,0.800469,1.28887,0.0329933,0.0228127,0.0012958,0.0401202,0.000279347,0.016403,0.0053879,0,0,17.1097,
1.41482,0.800527,1.28874,0.0331486,0.02373,0.000662578,0.0407653,0.000279347,0.016403,0.0053879,0,0,17.1264,
1.41491,0.800613,1.28863,0.0329475,0.0251642,0.000245714,0.0414557,0.00470691,0.0195818,0.000878431,0,0,17.1417,
1.41501,0.80107,1.28861,0.0335878,0.0235651,0.00235118,0.0410739,0.00470691,0.0195818,0.000878431,0,0,17.1627,
1.41504,0.801127,1.28834,0.0341154,0.0261569,8.77085e-05,0.0429873,0.00470691,0.0195818,0.000878431,0,0,17.1753,
1.41508,0.801256,1.28822,0.0341005,0.0266668,-5.86143e-05,0.0432891,0.012521,0.0322093,-0.00423318,0,0,17.1936,
1.41508,0.801256,1.28822,0.0341005,0.0266668,-5.86143e-05,0.0432891,-0.0020679,0.0325198,0.00439255,0,0,17.2095,
1.4154,0.801952,1.28776,0.0343755,0.0254626,-0.00071784,0.0427914,-0.0020679,0.0325198,0.00439255,0,0,17.2232,
1.4154,0.801952,1.28776,0.0343755,0.0254626,-0.00071784,0.0427914,-0.0020679,0.0325198,0.00439255,0,0,17.2413,
1.41553,0.802516,1.28743,0.0340689,0.0249246,1.90883e-05,0.042212,0.00462506,0.0304225,0.001821,0,0,17.2563,
1.41566,0.802747,1.28734,0.0348733,0.0233741,0.0012416,0.0419877,0.00462506,0.0304225,0.001821,0,0,17.2738,
1.41576,0.803024,1.28714,0.0359195,0.0225915,0.00151565,0.0424452,0.00512791,0.0308938,-0.000363957,0,0,17.2925,
1.41584,0.80335,1.28682,0.0325554,0.021581,0.00205239,0.0390937,0.00512791,0.0308938,-0.000363957,0,0,17.3086,
1.41599,0.803674,1.28661,0.0313053,0.0210671,0.00249781,0.0377942,0.0146548,0.031377,-0.00687967,0,0,17.3257,
1.4161,0.803855,1.28652,0.0313491,0.0204615,0.00293588,0.0375252,0.0146548,0.031377,-0.00687967,0,0,17.3379,
1.41635,0.804272,1.28632,0.0290982,0.0189667,0.00373157,0.0349039,0.0114703,0.032986,-0.000625897,0,0,17.3626,
1.41646,0.804602,1.28621,0.0308121,0.0188673,0.00398716,0.0363168,0.0114703,0.032986,-0.000625897,0,0,17.3773,
1.41667,0.804913,1.28602,0.0295567,0.018424,0.00378496,0.035004,0.0111414,0.0341378,0.00524954,0,0,17.3915,
1.41676,0.805158,1.28597,0.0307236,0.0178423,0.00407251,0.0357297,0.0111414,0.0341378,0.00524954,0,0,17.4096,
1.41693,0.8055,1.28585,0.0297936,0.0170369,0.00452296,0.034584,0.0148907,0.0306594,0.00569031,0,0,17.4297,
1.41713,0.805853,1.2857,0.0314902,0.019525,0.00341334,0.0371803,0.0148907,0.0306594,0.00569031,0,0,17.4455,
1.41733,0.806189,1.28561,0.0325904,0.0206193,0.00302296,0.0386569,0.0206645,0.0360376,0.00228985,0,0,17.4627,
1.41777,0.806968,1.28538,0.0317177,0.0213877,0.00269102,0.0383252,0.0140623,0.0372124,0.0074877,0,0,17.4988,
1.41795,0.807279,1.28547,0.0326568,0.0196368,0.00345857,0.0382333,0.0140623,0.0372124,0.0074877,0,0,17.5209,
1.41825,0.80767,1.28549,0.0332491,0.019783,0.00288486,0.0387719,0.0112482,0.0353066,0.011682,0,0,17.5371,
1.4183,0.807802,1.28554,0.0351838,0.0202882,0.00284589,0.0406882,0.0112482,0.0353066,0.011682,0,0,17.5547,
1.41862,0.808502,1.28577,0.0409957,0.0213889,0.0021744,0.0462697,0.0149145,0.0305754,0.0142511,0,0,17.5703,
1.41883,0.808844,1.28586,0.040427,0.0203895,0.00250192,0.0453234,0.0149145,0.0305754,0.0142511,0,0,17.587,
1.41889,0.808931,1.28582,0.0397941,0.0212077,0.00222916,0.0451261,0.0158985,0.0304992,0.0171981,0,0,17.6021,
1.41921,0.809361,1.28607,0.0391049,0.0186454,0.00367086,0.0434465,0.0158985,0.0304992,0.0171981,0,0,17.6194,
1.4196,0.809654,1.28605,0.0355811,0.0187775,0.00306683,0.0403228,0.0228309,0.0370473,0.014294,0,0,17.6335,
1.41963,0.809881,1.28631,0.0373384,0.0155805,0.00523412,0.0407581,0.0228309,0.0370473,0.014294,0,0,17.6505,
1.41996,0.810159,1.28634,0.0371632,0.0166321,0.00397518,0.0408784,0.0228309,0.0370473,0.014294,0,0,17.6655,
1.42009,0.810316,1.28635,0.0364765,0.0171377,0.00403127,0.0404714,0.0204233,0.039513,0.0150698,0,0,17.6813,
1.4204,0.810688,1.28651,0.0388801,0.0169095,0.00460837,0.0426118,0.0204233,0.039513,0.0150698,0,0,17.6961,
1.4205,0.810811,1.28645,0.0366571,0.0172502,0.00478581,0.0407572,0.00833914,0.0302045,0.0218264,0,0,17.7106,
1.42066,0.81117,1.28651,0.0352353,0.0159765,0.00547483,0.0390338,0.00833914,0.0302045,0.0218264,0,0,17.7296,
1.421,0.811564,1.28654,0.0336175,0.0166,0.00561112,0.0378685,0.00833914,0.0302045,0.0218264,0,0,17.7471,
1.42136,0.811861,1.28657,0.0301094,0.0162999,0.00455088,0.0345067,0.00944578,0.0312841,0.0237657,0,0,17.7633,
1.42141,0.811947,1.28661,0.0316095,0.0168888,0.00433336,0.036067,0.0212412,0.0348421,0.0173715,0,0,17.7771,
1.42174,0.812295,1.28683,0.0331285,0.0161184,0.00450741,0.0370835,0.0212412,0.0348421,0.0173715,0,0,17.7929,
1.42191,0.812492,1.28705,0.0363822,0.0154939,0.00367459,0.0396879,0.0212412,0.0348421,0.0173715,0,0,17.8088,
1.42208,0.812676,1.28724,0.0402299,0.0155815,0.00246559,0.0431941,0.02161,0.0376916,0.0170854,0,0,17.8281,
1.42229,0.813043,1.28717,0.0365583,0.01577,0.00417395,0.0400023,0.02161,0.0376916,0.0170854,0,0,17.8454,
1.42229,0.813043,1.28717,0.0365583,0.01577,0.00417395,0.0400023,0.00578959,0.0345305,0.0234307,0,0,17.8606,
1.4228,0.813816,1.28732,0.035507,0.0131013,0.0079342,0.0386216,0.00578959,0.0345305,0.0234307,0,0,17.8771,
1.42312,0.814069,1.28708,0.0348101,0.0151795,0.00646603,0.0384777,0.00764576,0.0312475,0.0203922,0,0,17.896,
1.42337,0.814287,1.28699,0.0328224,0.0143765,0.00622324,0.0363286,0.00764576,0.0312475,0.0203922,0,0,17.9129,
1.42356,0.814521,1.28691,0.0322128,0.0137028,0.00747189,0.0357483,0.00738299,0.0294579,0.0169816,0,0,17.9258,
