0821_rse_uav_linear_C.csv
x,y,z,r,p,y,ori,vx,vy,vz,ms,dpth,t,
1.41556,0.799163,1.28841,0.0303182,0.0225846,-0.00121564,0.0378356,-0.0162819,0.0308994,0.00287549,0,0,3.96526,
1.41543,0.799145,1.28836,0.0314318,0.0235468,-0.00106854,0.0392976,0.00101343,0.0285056,-0.00506727,0,0,3.9837,
1.41531,0.799179,1.28825,0.0291255,0.0239285,-0.00108072,0.0377194,0.00101343,0.0285056,-0.00506727,0,0,3.99635,
1.41527,0.799186,1.28837,0.0318345,0.0234623,-0.000488183,0.0395533,-0.00116769,0.0207393,-0.002019,0,0,4.00915,
1.41518,0.799264,1.28825,0.0306854,0.0241913,-0.000841107,0.0390909,-0.00116769,0.0207393,-0.002019,0,0,4.02309,
1.41513,0.799261,1.28814,0.028212,0.0250842,-0.00126924,0.0377836,-0.00731182,0.0141748,0.00487408,0,0,4.04043,
1.41493,0.799244,1.28826,0.0302832,0.0246683,-0.00135095,0.0390946,-0.00731182,0.0141748,0.00487408,0,0,4.05587,
1.41494,0.799268,1.28819,0.0289433,0.0259601,-0.00225571,0.0389663,-0.00731182,0.0141748,0.00487408,0,0,4.07194,
1.41486,0.799455,1.28845,0.0326276,0.0239601,-0.000508792,0.0404877,-0.00380315,0.013744,0.00692129,0,0,4.09019,
1.41486,0.799534,1.28846,0.0307742,0.024143,-0.000742306,0.0391279,-0.00380315,0.013744,0.00692129,0,0,4.10609,
1.41479,0.799659,1.28853,0.030123,0.0237981,4.91816e-05,0.0383884,-0.000626173,0.0147672,0.0127958,0,0,4.12537,
1.41472,0.799697,1.28864,0.0317243,0.0232836,-0.000105561,0.0393523,-0.000626173,0.0147672,0.0127958,0,0,4.14009,
1.41478,0.799789,1.28868,0.0303702,0.0231029,-0.000212927,0.0381608,0.0103358,0.0342395,0.00737815,0,0,4.15799,
1.41481,0.800031,1.28886,0.0281616,0.0203802,0.00141031,0.034779,0.0103358,0.0342395,0.00737815,0,0,4.17336,
1.41485,0.800134,1.28885,0.0288336,0.0212719,0.00115086,0.0358393,-0.00214114,0.0218851,0.0093643,0,0,4.18965,
1.41492,0.800223,1.28879,0.0266332,0.0203296,0.00015315,0.0335042,-0.00214114,0.0218851,0.0093643,0,0,4.21042,
1.41479,0.800469,1.28887,0.0329933,0.0228127,0.0012958,0.0401202,0.000279347,0.016403,0.0053879,0,0,4.22436,
1.41482,0.800527,1.28874,0.0331486,0.02373,0.000662578,0.0407653,0.000279347,0.016403,0.0053879,0,0,4.24444,
1.41491,0.800613,1.28863,0.0329475,0.0251642,0.000245714,0.0414557,0.00470691,0.0195818,0.000878431,0,0,4.25686,
1.41501,0.80107,1.28861,0.0335878,0.0235651,0.00235118,0.0410739,0.00470691,0.0195818,0.000878431,0,0,4.27854,
1.41499,0.801092,1.28844,0.0353126,0.0261113,0.00040231,0.0439147,0.00470691,0.0195818,0.000878431,0,0,4.29085,
1.41508,0.801256,1.28822,0.0341005,0.0266668,-5.86143e-05,0.0432891,0.012521,0.0322093,-0.00423318,0,0,4.31043,
1.41508,0.801256,1.28822,0.0341005,0.0266668,-5.86143e-05,0.0432891,-0.0020679,0.0325198,0.00439255,0,0,4.3268,
1.41538,0.801829,1.28783,0.0303183,0.0242829,-0.00014175,0.0388451,-0.0020679,0.0325198,0.00439255,0,0,4.3411,
1.4154,0.801952,1.28776,0.0343755,0.0254626,-0.00071784,0.0427914,0.00462506,0.0304225,0.001821,0,0,4.36159,
1.41553,0.802516,1.28743,0.0340689,0.0249246,1.90883e-05,0.042212,0.00462506,0.0304225,0.001821,0,0,4.37492,
1.41566,0.802747,1.28734,0.0348733,0.0233741,0.0012416,0.0419877,0.00462506,0.0304225,0.001821,0,0,4.39744,
1.41578,0.803057,1.287,0.0332686,0.0228315,0.00101886,0.0403521,0.00512791,0.0308938,-0.000363957,0,0,4.41259,
1.41584,0.80335,1.28682,0.0325554,0.021581,0.00205239,0.0390937,0.00512791,0.0308938,-0.000363957,0,0,4.42938,
1.41599,0.803674,1.28661,0.0313053,0.0210671,0.00249781,0.0377942,0.0146548,0.031377,-0.00687967,0,0,4.44458,
1.4161,0.803855,1.28652,0.0313491,0.0204615,0.00293588,0.0375252,0.0146548,0.031377,-0.00687967,0,0,4.45714,
1.41635,0.804272,1.28632,0.0290982,0.0189667,0.00373157,0.0349039,0.0114703,0.032986,-0.000625897,0,0,4.47501,
1.41646,0.804602,1.28621,0.0308121,0.0188673,0.00398716,0.0363168,0.0114703,0.032986,-0.000625897,0,0,4.50041,
1.41673,0.804987,1.28596,0.0285745,0.0181112,0.00344277,0.0339789,0.0111414,0.0341378,0.00524954,0,0,4.51363,
1.41676,0.805158,1.28597,0.0307236,0.0178423,0.00407251,0.0357297,0.0111414,0.0341378,0.00524954,0,0,4.52873,
1.41693,0.8055,1.28585,0.0297936,0.0170369,0.00452296,0.034584,0.0148907,0.0306594,0.00569031,0,0,4.54635,
1.41713,0.805853,1.2857,0.0314902,0.019525,0.00341334,0.0371803,0.0148907,0.0306594,0.00569031,0,0,4.56235,
1.41733,0.806189,1.28561,0.0325904,0.0206193,0.00302296,0.0386569,0.0206645,0.0360376,0.00228985,0,0,4.57732,
1.41761,0.806806,1.28566,0.0364298,0.0194675,0.00450956,0.0415116,0.0140623,0.0372124,0.0074877,0,0,4.61242,
1.41787,0.807207,1.28561,0.036261,0.0190271,0.00438104,0.0411463,0.0140623,0.0372124,0.0074877,0,0,4.63053,
1.41813,0.807506,1.28546,0.0307848,0.0189879,0.00386273,0.0363439,0.0140623,0.0372124,0.0074877,0,0,4.64681,
1.41825,0.80767,1.28549,0.0332491,0.019783,0.00288486,0.0387719,0.0112482,0.0353066,0.011682,0,0,4.66134,
1.4183,0.807802,1.28554,0.0351838,0.0202882,0.00284589,0.0406882,0.0149145,0.0305754,0.0142511,0,0,4.67415,
1.41862,0.808502,1.28577,0.0409957,0.0213889,0.0021744,0.0462697,0.0149145,0.0305754,0.0142511,0,0,4.69444,
1.41883,0.808844,1.28586,0.040427,0.0203895,0.00250192,0.0453234,0.0149145,0.0305754,0.0142511,0,0,4.7114,
1.41906,0.809196,1.28598,0.0422786,0.0207716,0.00288467,0.0471663,0.0158985,0.0304992,0.0171981,0,0,4.72558,
1.41939,0.809417,1.28595,0.0365841,0.0194692,0.0028594,0.0415156,0.0158985,0.0304992,0.0171981,0,0,4.74707,
1.41963,0.809881,1.28631,0.0373384,0.0155805,0.00523412,0.0407581,0.0228309,0.0370473,0.014294,0,0,4.76473,
1.41978,0.809952,1.28623,0.0381037,0.0178315,0.00369423,0.0422013,0.0228309,0.0370473,0.014294,0,0,4.77812,
1.42009,0.810316,1.28635,0.0364765,0.0171377,0.00403127,0.0404714,0.0204233,0.039513,0.0150698,0,0,4.79612,
1.42033,0.810429,1.28622,0.0338459,0.0190066,0.00277912,0.0388934,0.0204233,0.039513,0.0150698,0,0,4.80976,
1.4205,0.810811,1.28645,0.0366571,0.0172502,0.00478581,0.0407572,0.0204233,0.039513,0.0150698,0,0,4.82673,
1.42066,0.81117,1.28651,0.0352353,0.0159765,0.00547483,0.0390338,0.00833914,0.0302045,0.0218264,0,0,4.84298,
1.42089,0.811432,1.28653,0.0326627,0.0154494,0.00607028,0.0365964,0.00833914,0.0302045,0.0218264,0,0,4.86235,
1.421,0.811564,1.28654,0.0336175,0.0166,0.00561112,0.0378685,0.00944578,0.0312841,0.0237657,0,0,4.88181,
1.42141,0.811947,1.28661,0.0316095,0.0168888,0.00433336,0.036067,0.0212412,0.0348421,0.0173715,0,0,4.89746,
1.42174,0.812295,1.28683,0.0331285,0.0161184,0.00450741,0.0370835,0.0212412,0.0348421,0.0173715,0,0,4.91286,
1.42191,0.812492,1.28705,0.0363822,0.0154939,0.00367459,0.0396879,0.02161,0.0376916,0.0170854,0,0,4.93,
1.42208,0.812676,1.28724,0.0402299,0.0155815,0.00246559,0.0431941,0.02161,0.0376916,0.0170854,0,0,4.94542,
1.42229,0.813043,1.28717,0.0365583,0.01577,0.00417395,0.0400023,0.02161,0.0376916,0.0170854,0,0,4.96243,
1.42229,0.813043,1.28717,0.0365583,0.01577,0.00417395,0.0400023,0.00578959,0.0345305,0.0234307,0,0,4.98159,
1.4228,0.813816,1.28732,0.035507,0.0131013,0.0079342,0.0386216,0.00578959,0.0345305,0.0234307,0,0,4.99731,
1.42312,0.814069,1.28708,0.0348101,0.0151795,0.00646603,0.0384777,0.00764576,0.0312475,0.0203922,0,0,5.0155,
1.42338,0.814205,1.28691,0.0302901,0.015093,0.00574459,0.0342877,0.00764576,0.0312475,0.0203922,0,0,5.03034,
1.42356,0.814521,1.28691,0.0322128,0.0137028,0.00747189,0.0357483,0.00738299,0.0294579,0.0169816,0,0,5.04392,
1.42384,0.814873,1.28677,0.0312278,0.0135973,0.00790893,0.0349175,0.0165179,0.0287833,0.00979905,0,0,5.06584,
1.424,0.815061,1.28667,0.0310212,0.0138046,0.00857217,0.0349667,0.0165179,0.0287833,0.00979905,0,0,5.08462,
1.42419,0.815312,1.28656,0.0324679,0.0144477,0.00851159,0.0364874,0.0165179,0.0287833,0.00979905,0,0,5.09801,
1.42448,0.815698,1.28646,0.0353749,0.0162268,0.00787099,0.0396496,0.0165179,0.0287833,0.00979905,0,0,5.11718,
1.42464,0.815846,1.28629,0.0360667,0.0170717,0.00735292,0.0405185,0.0171717,0.0254072,0.0052476,0,0,5.13032,
1.42481,0.816047,1.28607,0.0361689,0.017403,0.00712591,0.04071,0.00563737,0.0315246,0.0117453,0,0,5.14957,
1.4251,0.816309,1.28587,0.0344214,0.0155339,0.00820677,0.0385884,0.00563737,0.0315246,0.0117453,0,0,5.16212,
1.42518,0.81641,1.28566,0.0378337,0.0188159,0.00619485,0.0426538,0.00563737,0.0315246,0.0117453,0,0,5.18149,
1.42563,0.816842,1.28514,0.0351201,0.0169959,0.00593909,0.0394205,0.0045953,0.0320267,0.00892915,0,0,5.1988,
1.42586,0.817058,1.28472,0.03361,0.0172887,0.00686944,0.0383627,0.0045953,0.0320267,0.00892915,0,0,5.21497,
1.42599,0.817216,1.28457,0.0321762,0.0168304,0.00705226,0.0369386,0.00445865,0.0325262,0.00763816,0,0,5.23056,
1.4262,0.817396,1.2843,0.0337999,0.0179935,0.00679464,0.0388355,0.0155268,0.028754,-0.000388135,0,0,5.24713,
1.42645,0.817745,1.28402,0.0372709,0.0188317,0.00699573,0.0422816,0.0155268,0.028754,-0.000388135,0,0,5.26338,
1.42651,0.817764,1.28384,0.0350505,0.0189916,0.00695997,0.0404102,0.0155268,0.028754,-0.000388135,0,0,5.28306,
1.42675,0.818126,1.28373,0.0360946,0.0162711,0.00807233,0.0403479,0.00543807,0.0216808,0.0130488,0,0,5.30262,
1.42705,0.81831,1.2832,0.0356337,0.0179234,0.00607028,0.0402982,0.00401786,0.0218263,0.0133033,0,0,5.32182,
1.42725,0.81861,1.28284,0.0345836,0.0175472,0.00641556,0.0392576,0.00401786,0.0218263,0.0133033,0,0,5.33912,
1.42742,0.818812,1.28259,0.0386905,0.0178166,0.00545507,0.0428992,0.00846917,0.0346432,0.0105717,0,0,5.35427,
1.42742,0.818812,1.28259,0.0386905,0.0178166,0.00545507,0.0428992,0.00846917,0.0346432,0.0105717,0,0,5.3712,
1.42767,0.818924,1.28214,0.034559,0.0182593,0.00475605,0.0393358,0.00846917,0.0346432,0.0105717,0,0,5.38443,
1.42774,0.819168,1.28204,0.0355149,0.0164049,0.00680446,0.0396577,0.0110265,0.0335387,0.00700538,0,0,5.39685,
1.4281,0.819486,1.2815,0.0324816,0.0168974,0.00618882,0.037087,0.0110265,0.0335387,0.00700538,0,0,5.41462,
1.42826,0.819676,1.28131,0.0343434,0.0159946,0.00685379,0.038451,0.00958297,0.0221737,0.0096003,0,0,5.43682,
1.4284,0.819834,1.28114,0.0343474,0.0161421,0.00686133,0.0385169,0.00958297,0.0221737,0.0096003,0,0,5.45053,
1.42854,0.820015,1.28086,0.0349661,0.0176021,0.0064167,0.0396188,0.00616645,0.0170829,0.0144045,0,0,5.4671,
1.42862,0.820232,1.28068,0.0367806,0.0179119,0.00715822,0.0414744,0.00616645,0.0170829,0.0144045,0,0,5.48304,
1.42874,0.820334,1.28046,0.0358214,0.0178634,0.00686529,0.0405583,0.00145717,0.0151813,0.0170063,0,0,5.49963,
1.42885,0.820526,1.28034,0.0400704,0.0205304,0.00705346,0.0455085,0.00145717,0.0151813,0.0170063,0,0,5.51501,
1.42899,0.82059,1.28016,0.0358768,0.0192311,0.00738499,0.0413083,0.00145717,0.0151813,0.0170063,0,0,5.53012,
1.42913,0.82084,1.28004,0.0357483,0.0165825,0.00856879,0.0402645,0.00352389,0.0170352,0.019042,0,0,5.54776,
1.42933,0.820969,1.27972,0.0353232,0.0188425,0.0072448,0.040625,0.00579728,0.0203668,0.0130489,0,0,5.56538,
1.42957,0.821186,1.27948,0.0357665,0.0184137,0.00691421,0.0407617,0.00579728,0.0203668,0.0130489,0,0,5.58332,
1.42973,0.821256,1.27918,0.0340407,0.0177753,0.00605683,0.0388293,0.00579728,0.0203668,0.0130489,0,0,5.59921,
1.42988,0.821525,1.27877,0.0341112,0.018796,0.00695265,0.0395058,0.00993185,0.0263861,0.00924035,0,0,5.61721,
1.43001,0.821708,1.27849,0.0338855,0.0195126,0.00654185,0.0395904,0.00993185,0.0263861,0.00924035,0,0,5.63653,
1.4301,0.821812,1.27839,0.0343144,0.0189653,0.00671226,0.0397216,0.00246652,0.0256128,0.0120614,0,0,5.65064,
1.43018,0.822022,1.27806,0.0324656,0.0196783,0.00821926,0.0387752,0.00246652,0.0256128,0.0120614,0,0,5.6655,
1.43015,0.822148,1.2781,0.0360349,0.0178504,0.00846949,0.0410291,-0.00598924,0.0208552,0.0165153,0,0,5.68333,
1.43026,0.822237,1.27775,0.0345275,0.0186981,0.00790905,0.0399897,-0.00598924,0.0208552,0.0165153,0,0,5.69809,
1.43035,0.822402,1.27755,0.0353793,0.0179574,0.00832738,0.0404744,-0.00446721,0.0176519,0.0138787,0,0,5.7157,
1.43048,0.822491,1.27722,0.0325241,0.0173949,0.00783658,0.0376476,-0.00446721,0.0176519,0.0138787,0,0,5.73218,
1.43061,0.822762,1.2766,0.0307402,0.0174253,0.00606106,0.0358059,-0.00205914,0.0150955,0.0103885,0,0,5.75597,
