0821_rse_uav_linear_D.csv
x,y,z,r,p,y,ori,vx,vy,vz,ms,dpth,t,
1.41556,0.799163,1.28841,0.0303182,0.0225846,-0.00121564,0.0378356,-0.0162819,0.0308994,0.00287549,0,0,5.22754,
1.41543,0.799145,1.28836,0.0314318,0.0235468,-0.00106854,0.0392976,0.00101343,0.0285056,-0.00506727,0,0,5.24755,
1.41527,0.799186,1.28837,0.0318345,0.0234623,-0.000488183,0.0395533,-0.00116769,0.0207393,-0.002019,0,0,5.2651,
1.41527,0.799186,1.28837,0.0318345,0.0234623,-0.000488183,0.0395533,-0.00116769,0.0207393,-0.002019,0,0,5.28049,
1.41513,0.799261,1.28814,0.028212,0.0250842,-0.00126924,0.0377836,-0.00731182,0.0141748,0.00487408,0,0,5.29919,
1.41493,0.799244,1.28826,0.0302832,0.0246683,-0.00135095,0.0390946,-0.00731182,0.0141748,0.00487408,0,0,5.31983,
1.41494,0.799268,1.28819,0.0289433,0.0259601,-0.00225571,0.0389663,-0.00731182,0.0141748,0.00487408,0,0,5.33457,
1.41486,0.799455,1.28845,0.0326276,0.0239601,-0.000508792,0.0404877,-0.00380315,0.013744,0.00692129,0,0,5.34916,
1.41486,0.799534,1.28846,0.0307742,0.024143,-0.000742306,0.0391279,-0.00380315,0.013744,0.00692129,0,0,5.36867,
1.41479,0.799659,1.28853,0.030123,0.0237981,4.91816e-05,0.0383884,-0.000626173,0.0147672,0.0127958,0,0,5.38637,
1.41472,0.799697,1.28864,0.0317243,0.0232836,-0.000105561,0.0393523,-0.000626173,0.0147672,0.0127958,0,0,5.39978,
1.41478,0.799789,1.28868,0.0303702,0.0231029,-0.000212927,0.0381608,0.0103358,0.0342395,0.00737815,0,0,5.41892,
1.41481,0.799927,1.28868,0.0276196,0.0228052,0.000540769,0.0358167,0.0103358,0.0342395,0.00737815,0,0,5.43159,
1.41495,0.800165,1.28872,0.0255459,0.0214906,-0.000421081,0.0333889,-0.00214114,0.0218851,0.0093643,0,0,5.45286,
1.41492,0.800223,1.28879,0.0266332,0.0203296,0.00015315,0.0335042,-0.00214114,0.0218851,0.0093643,0,0,5.468,
1.41479,0.800469,1.28887,0.0329933,0.0228127,0.0012958,0.0401202,0.000279347,0.016403,0.0053879,0,0,5.48795,
1.41482,0.800527,1.28874,0.0331486,0.02373,0.000662578,0.0407653,0.000279347,0.016403,0.0053879,0,0,5.5025,
1.41491,0.800613,1.28863,0.0329475,0.0251642,0.000245714,0.0414557,0.00470691,0.0195818,0.000878431,0,0,5.52157,
1.41501,0.80107,1.28861,0.0335878,0.0235651,0.00235118,0.0410739,0.00470691,0.0195818,0.000878431,0,0,5.53834,
1.41504,0.801127,1.28834,0.0341154,0.0261569,8.77085e-05,0.0429873,0.00470691,0.0195818,0.000878431,0,0,5.55286,
1.41508,0.801256,1.28822,0.0341005,0.0266668,-5.86143e-05,0.0432891,0.012521,0.0322093,-0.00423318,0,0,5.57065,
1.41508,0.801256,1.28822,0.0341005,0.0266668,-5.86143e-05,0.0432891,-0.0020679,0.0325198,0.00439255,0,0,5.58577,
1.41538,0.801829,1.28783,0.0303183,0.0242829,-0.00014175,0.0388451,-0.0020679,0.0325198,0.00439255,0,0,5.60094,
1.4154,0.801952,1.28776,0.0343755,0.0254626,-0.00071784,0.0427914,-0.0020679,0.0325198,0.00439255,0,0,5.61907,
1.41553,0.802516,1.28743,0.0340689,0.0249246,1.90883e-05,0.042212,0.00462506,0.0304225,0.001821,0,0,5.63375,
1.41566,0.802747,1.28734,0.0348733,0.0233741,0.0012416,0.0419877,0.00462506,0.0304225,0.001821,0,0,5.65634,
1.41576,0.803024,1.28714,0.0359195,0.0225915,0.00151565,0.0424452,0.00512791,0.0308938,-0.000363957,0,0,5.66949,
1.41584,0.80335,1.28682,0.0325554,0.021581,0.00205239,0.0390937,0.00512791,0.0308938,-0.000363957,0,0,5.68653,
1.41599,0.803674,1.28661,0.0313053,0.0210671,0.00249781,0.0377942,0.0146548,0.031377,-0.00687967,0,0,5.70629,
1.4161,0.803855,1.28652,0.0313491,0.0204615,0.00293588,0.0375252,0.0146548,0.031377,-0.00687967,0,0,5.71674,
1.41635,0.804272,1.28632,0.0290982,0.0189667,0.00373157,0.0349039,0.0114703,0.032986,-0.000625897,0,0,5.73828,
1.41646,0.804602,1.28621,0.0308121,0.0188673,0.00398716,0.0363168,0.0114703,0.032986,-0.000625897,0,0,5.75367,
1.41673,0.804987,1.28596,0.0285745,0.0181112,0.00344277,0.0339789,0.0111414,0.0341378,0.00524954,0,0,5.77262,
1.41676,0.805158,1.28597,0.0307236,0.0178423,0.00407251,0.0357297,0.0111414,0.0341378,0.00524954,0,0,5.78692,
1.41689,0.805421,1.28598,0.0305997,0.0166925,0.00487134,0.0351596,0.0148907,0.0306594,0.00569031,0,0,5.80115,
1.41708,0.805702,1.2857,0.0322474,0.0201235,0.00332613,0.0381277,0.0148907,0.0306594,0.00569031,0,0,5.82021,
1.41733,0.806189,1.28561,0.0325904,0.0206193,0.00302296,0.0386569,0.0206645,0.0360376,0.00228985,0,0,5.83923,
1.41761,0.806806,1.28566,0.0364298,0.0194675,0.00450956,0.0415116,0.0140623,0.0372124,0.0074877,0,0,5.87261,
1.41787,0.807207,1.28561,0.036261,0.0190271,0.00438104,0.0411463,0.0140623,0.0372124,0.0074877,0,0,5.89095,
1.41813,0.807506,1.28546,0.0307848,0.0189879,0.00386273,0.0363439,0.0140623,0.0372124,0.0074877,0,0,5.90399,
1.41825,0.80767,1.28549,0.0332491,0.019783,0.00288486,0.0387719,0.0112482,0.0353066,0.011682,0,0,5.92101,
1.4183,0.807802,1.28554,0.0351838,0.0202882,0.00284589,0.0406882,0.0149145,0.0305754,0.0142511,0,0,5.93656,
1.41862,0.808502,1.28577,0.0409957,0.0213889,0.0021744,0.0462697,0.0149145,0.0305754,0.0142511,0,0,5.95323,
1.41883,0.808844,1.28586,0.040427,0.0203895,0.00250192,0.0453234,0.0149145,0.0305754,0.0142511,0,0,5.9704,
1.41906,0.809196,1.28598,0.0422786,0.0207716,0.00288467,0.0471663,0.0158985,0.0304992,0.0171981,0,0,5.98679,
1.41939,0.809417,1.28595,0.0365841,0.0194692,0.0028594,0.0415156,0.0228309,0.0370473,0.014294,0,0,6.0081,
1.41963,0.809881,1.28631,0.0373384,0.0155805,0.00523412,0.0407581,0.0228309,0.0370473,0.014294,0,0,6.02284,
1.41978,0.809952,1.28623,0.0381037,0.0178315,0.00369423,0.0422013,0.0228309,0.0370473,0.014294,0,0,6.03913,
1.42009,0.810316,1.28635,0.0364765,0.0171377,0.00403127,0.0404714,0.0204233,0.039513,0.0150698,0,0,6.05353,
1.42033,0.810429,1.28622,0.0338459,0.0190066,0.00277912,0.0388934,0.0204233,0.039513,0.0150698,0,0,6.07248,
1.4205,0.810811,1.28645,0.0366571,0.0172502,0.00478581,0.0407572,0.0204233,0.039513,0.0150698,0,0,6.08603,
1.42066,0.81117,1.28651,0.0352353,0.0159765,0.00547483,0.0390338,0.00833914,0.0302045,0.0218264,0,0,6.10507,
1.421,0.811564,1.28654,0.0336175,0.0166,0.00561112,0.0378685,0.00833914,0.0302045,0.0218264,0,0,6.12319,
1.42136,0.811861,1.28657,0.0301094,0.0162999,0.00455088,0.0345067,0.00944578,0.0312841,0.0237657,0,0,6.14266,
1.42141,0.811947,1.28661,0.0316095,0.0168888,0.00433336,0.036067,0.0212412,0.0348421,0.0173715,0,0,6.1565,
1.42174,0.812295,1.28683,0.0331285,0.0161184,0.00450741,0.0370835,0.0212412,0.0348421,0.0173715,0,0,6.1734,
1.42191,0.812492,1.28705,0.0363822,0.0154939,0.00367459,0.0396879,0.0212412,0.0348421,0.0173715,0,0,6.18921,
1.42208,0.812676,1.28724,0.0402299,0.0155815,0.00246559,0.0431941,0.02161,0.0376916,0.0170854,0,0,6.20822,
1.42237,0.812973,1.28702,0.0339509,0.0166865,0.00355534,0.0379698,0.02161,0.0376916,0.0170854,0,0,6.221,
1.4227,0.813523,1.28719,0.0379317,0.0167291,0.00481513,0.0416986,0.00578959,0.0345305,0.0234307,0,0,6.24281,
1.4228,0.813816,1.28732,0.035507,0.0131013,0.0079342,0.0386216,0.00578959,0.0345305,0.0234307,0,0,6.25423,
1.42312,0.814069,1.28708,0.0348101,0.0151795,0.00646603,0.0384777,0.00764576,0.0312475,0.0203922,0,0,6.27296,
1.42338,0.814205,1.28691,0.0302901,0.015093,0.00574459,0.0342877,0.00764576,0.0312475,0.0203922,0,0,6.2895,
1.42356,0.814521,1.28691,0.0322128,0.0137028,0.00747189,0.0357483,0.00738299,0.0294579,0.0169816,0,0,6.30636,
1.42384,0.814873,1.28677,0.0312278,0.0135973,0.00790893,0.0349175,0.0165179,0.0287833,0.00979905,0,0,6.32848,
1.42399,0.814968,1.28664,0.0293081,0.0137924,0.00759277,0.0332229,0.0165179,0.0287833,0.00979905,0,0,6.34295,
1.42419,0.815312,1.28656,0.0324679,0.0144477,0.00851159,0.0364874,0.0165179,0.0287833,0.00979905,0,0,6.3617,
1.42448,0.815698,1.28646,0.0353749,0.0162268,0.00787099,0.0396496,0.0165179,0.0287833,0.00979905,0,0,6.37709,
1.42475,0.815982,1.28619,0.0374902,0.0174976,0.00694691,0.0418968,0.0171717,0.0254072,0.0052476,0,0,6.39331,
1.42481,0.816047,1.28607,0.0361689,0.017403,0.00712591,0.04071,0.00563737,0.0315246,0.0117453,0,0,6.41098,
1.4251,0.816309,1.28587,0.0344214,0.0155339,0.00820677,0.0385884,0.00563737,0.0315246,0.0117453,0,0,6.42543,
1.42518,0.81641,1.28566,0.0378337,0.0188159,0.00619485,0.0426538,0.0045953,0.0320267,0.00892915,0,0,6.44274,
1.42563,0.816842,1.28514,0.0351201,0.0169959,0.00593909,0.0394205,0.0045953,0.0320267,0.00892915,0,0,6.45786,
1.42586,0.817058,1.28472,0.03361,0.0172887,0.00686944,0.0383627,0.0045953,0.0320267,0.00892915,0,0,6.47308,
1.42616,0.817302,1.28443,0.0328151,0.0169411,0.00612918,0.0373893,0.00445865,0.0325262,0.00763816,0,0,6.49325,
1.4262,0.817396,1.2843,0.0337999,0.0179935,0.00679464,0.0388355,0.0155268,0.028754,-0.000388135,0,0,6.50579,
1.42645,0.817745,1.28402,0.0372709,0.0188317,0.00699573,0.0422816,0.0155268,0.028754,-0.000388135,0,0,6.52735,
1.42651,0.817764,1.28384,0.0350505,0.0189916,0.00695997,0.0404102,0.0155268,0.028754,-0.000388135,0,0,6.54631,
1.42675,0.818126,1.28373,0.0360946,0.0162711,0.00807233,0.0403479,0.00543807,0.0216808,0.0130488,0,0,6.55759,
1.42705,0.81831,1.2832,0.0356337,0.0179234,0.00607028,0.0402982,0.00401786,0.0218263,0.0133033,0,0,6.5784,
1.42718,0.818464,1.28301,0.0345584,0.0176484,0.0059475,0.0392105,0.00401786,0.0218263,0.0133033,0,0,6.59072,
1.42734,0.818682,1.28277,0.0338559,0.0172089,0.00705973,0.0385754,0.00401786,0.0218263,0.0133033,0,0,6.60846,
