0821_rse_uav_rotate_A.csv
x,y,z,r,p,y,ori,vx,vy,vz,ms,dpth,t,
0.497636,0.333812,1.20144,0.0385193,0.0289285,0.00950018,0.0489913,-0.00993513,0.0038667,0.00629209,0,0,23.7082,
0.497606,0.333252,1.20071,0.0348741,0.027827,0.0107351,0.0457742,-0.00993513,0.0038667,0.00629209,0,0,23.7332,
0.497666,0.332952,1.20029,0.0353963,0.0292932,0.0104428,0.0470011,-0.00527668,-0.00243258,0.00225723,0,0,23.7497,
0.497577,0.332611,1.19985,0.0465984,0.034203,0.00552056,0.0579889,-0.00527668,-0.00243258,0.00225723,0,0,23.7632,
0.497623,0.331687,1.19901,0.0432011,0.0339497,0.00576477,0.055168,-0.0123218,-0.00301498,0.00737005,0,0,23.7828,
0.497626,0.331399,1.19866,0.0423421,0.0343912,0.00539303,0.0547417,-0.0123218,-0.00301498,0.00737005,0,0,23.7972,
0.49759,0.33123,1.19847,0.0423435,0.0337794,0.0056321,0.054383,-0.0121167,-0.000160966,0.00839367,0,0,23.8128,
0.497666,0.330664,1.1979,0.035715,0.0310652,0.007464,0.0478322,-0.0121167,-0.000160966,0.00839367,0,0,23.8282,
0.497744,0.330285,1.19755,0.0338043,0.0293404,0.00809396,0.0453981,-0.0123389,-0.00124349,0.0107944,0,0,23.844,
0.497814,0.329928,1.19716,0.0350427,0.0299403,0.00769019,0.046641,-0.0123389,-0.00124349,0.0107944,0,0,23.859,
0.497857,0.329532,1.19674,0.0408367,0.0313549,0.00715202,0.0518904,-0.0123389,-0.00124349,0.0107944,0,0,23.8714,
0.497868,0.32913,1.19635,0.0421428,0.0325121,0.00619034,0.0535045,-0.0101084,-0.0090552,0.0112014,0,0,23.8894,
0.497849,0.328517,1.19578,0.034158,0.0297735,0.00839369,0.0459897,-0.0101084,-0.0090552,0.0112014,0,0,23.9039,
0.497963,0.328012,1.19551,0.041204,0.0326298,0.00517646,0.0527461,-0.00335699,-0.000923524,0.00727742,0,0,23.9217,
0.497991,0.327815,1.19538,0.0414712,0.0325627,0.00545152,0.0529375,-0.00335699,-0.000923524,0.00727742,0,0,23.9363,
0.498092,0.327121,1.19492,0.0409202,0.0326116,0.00629314,0.0526215,-0.00358349,-0.00271252,0.00646268,0,0,23.957,
0.49807,0.326488,1.19439,0.0346275,0.0290336,0.00775605,0.0457632,-0.00358349,-0.00271252,0.00646268,0,0,23.9706,
0.498072,0.32631,1.19425,0.0345057,0.0282712,0.00752793,0.0451568,-0.00204957,-0.00407857,0.00676629,0,0,23.9855,
0.498138,0.326082,1.19392,0.0305204,0.0282023,0.00793152,0.0422241,-0.00204957,-0.00407857,0.00676629,0,0,24.0004,
0.498224,0.325677,1.1938,0.0415788,0.0316197,0.00486383,0.0523995,0.000904435,-0.00151303,0.00755176,0,0,24.0184,
0.498259,0.325079,1.19344,0.0362745,0.0293572,0.00616625,0.0470005,0.000904435,-0.00151303,0.00755176,0,0,24.036,
0.498259,0.324437,1.19301,0.0331441,0.028659,0.00663877,0.0442442,0.000904435,-0.00151303,0.00755176,0,0,24.0581,
0.498387,0.323659,1.1926,0.031318,0.0278991,0.00712433,0.0424693,-9.17325e-05,0.0042664,0.00909971,0,0,24.072,
