0821_rse_uav_rotate_C.csv
x,y,z,r,p,y,ori,vx,vy,vz,ms,dpth,t,
0.497636,0.333812,1.20144,0.0385193,0.0289285,0.00950018,0.0489913,-0.0191125,0.00219158,0.0112278,0,0,4.67879,
0.497606,0.333252,1.20071,0.0348741,0.027827,0.0107351,0.0457742,-0.00993513,0.0038667,0.00629209,0,0,4.70127,
0.497666,0.332952,1.20029,0.0353963,0.0292932,0.0104428,0.0470011,-0.00527668,-0.00243258,0.00225723,0,0,4.71732,
0.497577,0.332611,1.19985,0.0465984,0.034203,0.00552056,0.0579889,-0.00527668,-0.00243258,0.00225723,0,0,4.73525,
0.497623,0.331687,1.19901,0.0432011,0.0339497,0.00576477,0.055168,-0.0123218,-0.00301498,0.00737005,0,0,4.75419,
0.497626,0.331399,1.19866,0.0423421,0.0343912,0.00539303,0.0547417,-0.0123218,-0.00301498,0.00737005,0,0,4.77258,
0.49759,0.33123,1.19847,0.0423435,0.0337794,0.0056321,0.054383,-0.0121167,-0.000160966,0.00839367,0,0,4.79004,
0.497744,0.330285,1.19755,0.0338043,0.0293404,0.00809396,0.0453981,-0.0121167,-0.000160966,0.00839367,0,0,4.80698,
0.497744,0.330285,1.19755,0.0338043,0.0293404,0.00809396,0.0453981,-0.0123389,-0.00124349,0.0107944,0,0,4.81947,
0.497793,0.329632,1.19682,0.0433794,0.0326103,0.00617661,0.0545384,-0.0123389,-0.00124349,0.0107944,0,0,4.83465,
0.497857,0.329532,1.19674,0.0408367,0.0313549,0.00715202,0.0518904,-0.0101084,-0.0090552,0.0112014,0,0,4.85068,
0.497949,0.32888,1.19613,0.0380066,0.0310986,0.00717322,0.0495426,-0.0101084,-0.0090552,0.0112014,0,0,4.86502,
0.497849,0.328517,1.19578,0.034158,0.0297735,0.00839369,0.0459897,-0.00335699,-0.000923524,0.00727742,0,0,4.88352,
0.497963,0.328012,1.19551,0.041204,0.0326298,0.00517646,0.0527461,-0.00335699,-0.000923524,0.00727742,0,0,4.90166,
0.497991,0.327815,1.19538,0.0414712,0.0325627,0.00545152,0.0529375,-0.00335699,-0.000923524,0.00727742,0,0,4.91624,
0.498092,0.327121,1.19492,0.0409202,0.0326116,0.00629314,0.0526215,-0.00358349,-0.00271252,0.00646268,0,0,4.93268,
0.49807,0.326488,1.19439,0.0346275,0.0290336,0.00775605,0.0457632,-0.00358349,-0.00271252,0.00646268,0,0,4.94755,
0.498072,0.32631,1.19425,0.0345057,0.0282712,0.00752793,0.0451568,-0.00204957,-0.00407857,0.00676629,0,0,4.96303,
0.498071,0.32586,1.19384,0.0345709,0.0284888,0.00828301,0.0454656,-0.00204957,-0.00407857,0.00676629,0,0,4.97844,
0.498224,0.325677,1.1938,0.0415788,0.0316197,0.00486383,0.0523995,0.000904435,-0.00151303,0.00755176,0,0,4.99308,
0.498259,0.325079,1.19344,0.0362745,0.0293572,0.00616625,0.0470005,0.000904435,-0.00151303,0.00755176,0,0,5.00983,
0.498259,0.324437,1.19301,0.0331441,0.028659,0.00663877,0.0442442,0.000904435,-0.00151303,0.00755176,0,0,5.0239,
0.49824,0.324227,1.19293,0.0329762,0.0281217,0.00736482,0.0438815,-9.17325e-05,0.0042664,0.00909971,0,0,5.04372,
0.498433,0.323411,1.19247,0.0339659,0.0284826,0.00690483,0.0447867,-0.00706389,0.00287116,0.0122673,0,0,5.06046,
0.498514,0.32322,1.19232,0.0373406,0.0311103,0.00502263,0.0488,-0.00706389,0.00287116,0.0122673,0,0,5.0782,
0.498466,0.322646,1.19227,0.0407247,0.0306364,0.0052186,0.0511633,-0.00706389,0.00287116,0.0122673,0,0,5.09407,
0.498499,0.322317,1.19223,0.0417166,0.0304042,0.00543659,0.0518383,-0.00547496,0.00534517,0.0162202,0,0,5.10927,
0.498504,0.321852,1.19203,0.0414032,0.0317819,0.00454675,0.0523341,-0.00547496,0.00534517,0.0162202,0,0,5.12512,
0.498463,0.32145,1.19178,0.0361879,0.0298004,0.00704453,0.0473239,-0.0014293,0.00704783,0.0146102,0,0,5.14499,
0.498552,0.320977,1.19174,0.0358965,0.0299749,0.00531418,0.0470051,-0.0014293,0.00704783,0.0146102,0,0,5.16154,
0.498571,0.320409,1.19165,0.0324485,0.0286855,0.00785418,0.0439324,-0.0123488,0.00384811,0.0194159,0,0,5.17758,
0.498636,0.319943,1.19169,0.0335356,0.0290681,0.00704316,0.044858,-0.0123488,0.00384811,0.0194159,0,0,5.19491,
0.498532,0.319602,1.19174,0.0340903,0.0282859,0.00724029,0.0448062,-0.0108668,0.00661163,0.0241166,0,0,5.21072,
0.498611,0.31919,1.19182,0.0424512,0.0316828,0.00549619,0.0531842,-0.0108668,0.00661163,0.0241166,0,0,5.22829,
0.498611,0.31919,1.19182,0.0424512,0.0316828,0.00549619,0.0531842,-0.0108668,0.00661163,0.0241166,0,0,5.242,
0.498712,0.318538,1.19175,0.0394043,0.03264,0.00377092,0.0512572,-0.00928897,-0.012836,0.0245527,0,0,5.26079,
0.498733,0.317815,1.19203,0.0418891,0.0317903,0.00333917,0.0526485,-0.00545752,-0.0067096,0.0206884,0,0,5.27773,
0.498662,0.317331,1.19203,0.0363474,0.0305482,0.00533614,0.0477155,-0.00545752,-0.0067096,0.0206884,0,0,5.2972,
0.498633,0.316972,1.19204,0.0340516,0.029226,0.00675631,0.0453046,-0.00545752,-0.0067096,0.0206884,0,0,5.31043,
0.498645,0.316839,1.19204,0.0317587,0.0285503,0.00738764,0.0432612,-0.012739,0.000410742,0.0210903,0,0,5.33011,
0.498611,0.316451,1.19211,0.0313822,0.0278313,0.00702167,0.0424561,-0.012739,0.000410742,0.0210903,0,0,5.34477,
0.498667,0.316215,1.19212,0.0311543,0.0277603,0.00697088,0.0422341,-0.0123776,0.00678569,0.0191217,0,0,5.36238,
0.498633,0.315297,1.19231,0.0317835,0.0290234,0.00827469,0.0437413,-0.0123776,0.00678569,0.0191217,0,0,5.37795,
0.498524,0.315049,1.19238,0.0328786,0.0296825,0.00666305,0.0447198,0.00586782,-0.0121883,0.0125194,0,0,5.3926,
0.498537,0.314585,1.19246,0.0323076,0.030026,0.00620715,0.0444721,0.00586782,-0.0121883,0.0125194,0,0,5.41368,
0.49865,0.314338,1.19253,0.0305014,0.028986,0.00654094,0.0425141,0.00586782,-0.0121883,0.0125194,0,0,5.42678,
0.498753,0.313746,1.19282,0.0406636,0.0329442,0.00316532,0.0523877,0.00239995,-0.00718188,0.0117674,0,0,5.44798,
0.498869,0.312608,1.19296,0.0366645,0.0305357,0.0036873,0.0478129,0.000327703,0.00508937,0.015969,0,0,5.48623,
0.498835,0.311932,1.19304,0.0284696,0.0267804,0.00631921,0.0395319,0.001993,-0.000881065,0.0180144,0,0,5.50712,
0.498805,0.311786,1.19306,0.0268662,0.0263413,0.00707259,0.0382181,0.001993,-0.000881065,0.0180144,0,0,5.52467,
0.498842,0.311406,1.19324,0.0253599,0.0258301,0.00757048,0.0369138,-0.00528333,-0.000434503,0.0230932,0,0,5.54187,
0.498831,0.310709,1.19385,0.0291515,0.0272384,0.00710221,0.0404535,-0.00555533,0.000323581,0.0255733,0,0,5.58541,
0.498829,0.309967,1.19467,0.0338446,0.0277503,0.00580941,0.044088,-0.0104529,0.00400289,0.030054,0,0,5.61951,
0.498974,0.309165,1.19541,0.0313506,0.0281636,0.00490827,0.0423761,-0.011442,0.00197948,0.0315639,0,0,5.64811,
0.499026,0.308988,1.19565,0.0314357,0.0278214,0.00445632,0.0421678,-0.011442,0.00197948,0.0315639,0,0,5.66296,
0.499041,0.30881,1.19613,0.038769,0.0315795,0.00209735,0.0500201,-0.0117818,-0.00323641,0.0296317,0,0,5.67645,
0.499027,0.308662,1.19643,0.0399873,0.0319351,0.00236158,0.0511983,-0.0117818,-0.00323641,0.0296317,0,0,5.69281,
0.49899,0.308468,1.19681,0.04108,0.0314868,0.00232473,0.0517807,-0.00620644,0.00491374,0.0251199,0,0,5.71093,
0.498975,0.308313,1.19725,0.0425226,0.0304228,0.00358093,0.0523619,-0.00620644,0.00491374,0.0251199,0,0,5.72725,
0.498919,0.308027,1.1975,0.0395373,0.0309229,0.00305698,0.0486629,-0.00886906,0.00442232,0.0246684,0,0,5.74447,
0.49898,0.307598,1.19802,0.0364011,0.0305896,0.00419034,0.0476817,-0.00886906,0.00442232,0.0246684,0,0,5.76174,
0.498905,0.307443,1.19841,0.0379925,0.0320252,0.00331133,0.049758,-0.00713226,0.00345556,0.0215643,0,0,5.77699,
0.49873,0.307221,1.1989,0.0414882,0.0332883,0.00188152,0.0531993,-0.00713226,0.00345556,0.0215643,0,0,5.79654,
0.498775,0.306884,1.19941,0.0403289,0.0326491,0.00263886,0.0519203,0.0020734,0.00770031,0.0155195,0,0,5.81439,
0.498762,0.30681,1.19956,0.0405375,0.0323764,0.00272306,0.0519154,0.0020734,0.00770031,0.0155195,0,0,5.82969,
0.498744,0.30659,1.19982,0.0390554,0.0322008,0.00264989,0.0506534,-0.00268148,0.0132509,0.0185895,0,0,5.84844,
0.498797,0.306407,1.20023,0.0383838,0.0312731,0.00351538,0.0495917,-0.00268148,0.0132509,0.0185895,0,0,5.86432,
